Studentid,Attendance,Major,Questions,Score,Seniority,Texting,Grade
31404,37,Communication,Rarely,16,Freshman,Always,Fail
31405,13,Stat,Rarely,92,Freshman,Always,Pass
31406,16,Polsci,Always,12,Freshman,Rarely,Pass
31407,51,Cs,Rarely,40,Freshman,Rarely,Fail
31408,16,Cs,Always,73,Junior,Always,Pass
31409,41,Communication,Always,50,Sophomore,Always,Pass
31410,59,Cs,Rarely,72,Sophomore,Always,Pass
31411,65,Polsci,Always,45,Freshman,Rarely,Pass
31412,20,Stat,Rarely,32,Sophomore,Always,Pass
31413,17,Polsci,Always,22,Junior,Rarely,Pass
31414,49,Polsci,Always,26,Freshman,Always,Pass
31415,79,Polsci,Rarely,3,Senior,Always,Fail
31416,13,Communication,Rarely,15,Freshman,Rarely,Fail
31417,62,Communication,Rarely,64,Senior,Rarely,Pass
31418,77,Communication,Rarely,92,Junior,Always,Fail
31419,89,Polsci,Rarely,28,Sophomore,Rarely,Fail
31420,50,Polsci,Rarely,26,Junior,Rarely,Fail
31421,50,Communication,Rarely,4,Senior,Always,Fail
31422,4,Cs,Rarely,83,Sophomore,Rarely,Pass
31423,18,Stat,Rarely,86,Sophomore,Rarely,Pass
31424,99,Communication,Rarely,57,Senior,Always,Pass
31425,32,Stat,Always,17,Sophomore,Rarely,Fail
31426,66,Communication,Rarely,94,Sophomore,Always,Pass
31427,85,Polsci,Always,17,Senior,Rarely,Pass
31428,52,Polsci,Always,48,Freshman,Rarely,Fail
31429,65,Polsci,Always,82,Senior,Rarely,Pass
31430,74,Stat,Always,8,Junior,Rarely,Pass
31431,23,Cs,Always,68,Senior,Always,Fail
31432,88,Stat,Always,19,Senior,Always,Fail
31433,5,Stat,Rarely,69,Senior,Always,Pass
31434,54,Cs,Always,56,Sophomore,Rarely,Pass
31435,37,Stat,Always,32,Sophomore,Always,Fail
31436,60,Stat,Always,53,Senior,Rarely,Pass
31437,46,Communication,Always,45,Freshman,Always,Pass
31438,66,Communication,Always,61,Junior,Always,Pass
31439,23,Stat,Always,14,Freshman,Always,Fail
31440,29,Polsci,Always,21,Senior,Rarely,Pass
31441,76,Cs,Rarely,34,Senior,Rarely,Fail
31442,23,Stat,Always,26,Junior,Always,Fail
31443,77,Polsci,Always,20,Senior,Rarely,Pass
31444,67,Cs,Always,59,Freshman,Rarely,Pass
31445,36,Communication,Always,85,Senior,Rarely,Pass
31446,15,Communication,Rarely,78,Senior,Always,Pass
31447,10,Stat,Rarely,43,Sophomore,Always,Fail
31448,5,Stat,Always,69,Freshman,Always,Pass
31449,40,Cs,Rarely,61,Senior,Always,Fail
31450,32,Stat,Always,20,Junior,Always,Fail
31451,55,Cs,Rarely,83,Sophomore,Rarely,Pass
31452,25,Stat,Always,19,Senior,Rarely,Pass
31453,85,Communication,Rarely,34,Junior,Rarely,Fail
31454,84,Stat,Always,90,Sophomore,Rarely,Pass
31455,51,Communication,Always,44,Senior,Always,Pass
31456,54,Polsci,Always,56,Sophomore,Always,Pass
31457,15,Communication,Rarely,15,Senior,Always,Fail
31458,23,Communication,Always,46,Junior,Always,Pass
31459,9,Cs,Always,98,Sophomore,Always,Pass
31460,94,Stat,Rarely,37,Freshman,Always,Pass
31461,40,Communication,Rarely,54,Sophomore,Rarely,Pass
31462,97,Cs,Always,47,Freshman,Always,Pass
31463,87,Stat,Rarely,9,Sophomore,Always,Fail
31464,0,Polsci,Always,43,Senior,Rarely,Pass
31465,28,Communication,Always,28,Senior,Rarely,Fail
31466,21,Cs,Always,0,Senior,Always,Fail
31467,68,Communication,Always,70,Freshman,Rarely,Fail
31468,34,Polsci,Rarely,89,Junior,Rarely,Pass
31469,33,Stat,Always,36,Sophomore,Rarely,Pass
31470,79,Stat,Always,68,Freshman,Always,Pass
31471,63,Stat,Always,5,Senior,Rarely,Fail
31472,78,Stat,Always,12,Freshman,Rarely,Pass
31473,51,Cs,Always,20,Freshman,Always,Fail
31474,78,Stat,Always,52,Junior,Always,Fail
31475,92,Cs,Always,20,Senior,Always,Fail
31476,84,Stat,Rarely,99,Senior,Always,Pass
31477,73,Stat,Rarely,10,Sophomore,Rarely,Pass
31478,46,Communication,Always,48,Sophomore,Always,Pass
31479,94,Cs,Rarely,92,Freshman,Rarely,Pass
31480,33,Stat,Rarely,89,Freshman,Always,Pass
31481,91,Polsci,Rarely,28,Junior,Rarely,Fail
31482,87,Polsci,Rarely,95,Junior,Rarely,Pass
31483,57,Communication,Always,13,Sophomore,Rarely,Fail
31484,72,Communication,Always,75,Freshman,Rarely,Pass
31485,85,Stat,Rarely,7,Junior,Always,Pass
31486,31,Communication,Rarely,50,Sophomore,Rarely,Pass
31487,87,Cs,Always,1,Sophomore,Rarely,Fail
31488,55,Communication,Always,82,Senior,Always,Pass
31489,80,Stat,Rarely,94,Freshman,Always,Pass
31490,71,Communication,Always,74,Junior,Always,Pass
31491,59,Communication,Always,85,Senior,Always,Pass
31492,69,Stat,Always,92,Junior,Rarely,Pass
31493,20,Polsci,Always,32,Junior,Always,Pass
31494,5,Cs,Rarely,4,Freshman,Rarely,Fail
31495,63,Cs,Rarely,71,Junior,Always,Pass
31496,86,Cs,Always,37,Sophomore,Always,Fail
31497,48,Cs,Always,84,Senior,Rarely,Pass
31498,12,Communication,Always,16,Sophomore,Always,Fail
31499,52,Cs,Always,90,Junior,Rarely,Pass
31500,42,Stat,Always,9,Junior,Rarely,Pass
31501,26,Stat,Rarely,25,Sophomore,Rarely,Pass
31502,64,Stat,Always,92,Sophomore,Always,Pass
31503,40,Communication,Always,41,Sophomore,Always,Pass
31504,20,Polsci,Rarely,67,Senior,Always,Pass
31505,33,Communication,Always,85,Junior,Rarely,Pass
31506,71,Polsci,Always,63,Junior,Rarely,Pass
31507,86,Communication,Rarely,51,Sophomore,Rarely,Pass
31508,43,Stat,Rarely,16,Junior,Always,Fail
31509,47,Stat,Rarely,49,Freshman,Rarely,Fail
31510,13,Communication,Rarely,33,Freshman,Rarely,Fail
31511,27,Communication,Always,91,Junior,Always,Pass
31512,17,Communication,Always,91,Junior,Always,Pass
31513,0,Polsci,Rarely,72,Senior,Always,Pass
31514,69,Communication,Rarely,48,Freshman,Rarely,Pass
31515,27,Communication,Rarely,3,Senior,Rarely,Fail
31516,7,Stat,Always,3,Senior,Always,Fail
31517,55,Communication,Rarely,31,Sophomore,Rarely,Fail
31518,83,Communication,Rarely,7,Junior,Always,Pass
31519,79,Cs,Rarely,44,Senior,Always,Fail
31520,15,Cs,Rarely,74,Senior,Always,Pass
31521,20,Cs,Rarely,31,Junior,Rarely,Fail
31522,89,Communication,Always,73,Senior,Rarely,Pass
31523,64,Communication,Rarely,81,Senior,Rarely,Pass
31524,60,Stat,Always,49,Junior,Rarely,Fail
31525,32,Stat,Always,35,Sophomore,Always,Pass
31526,54,Stat,Always,43,Sophomore,Always,Fail
31527,29,Communication,Always,89,Sophomore,Always,Pass
31528,14,Stat,Rarely,100,Freshman,Rarely,Pass
31529,0,Polsci,Rarely,94,Sophomore,Always,Pass
31530,22,Cs,Rarely,16,Sophomore,Rarely,Fail
31531,77,Communication,Rarely,48,Senior,Always,Pass
31532,64,Polsci,Rarely,42,Sophomore,Always,Fail
31533,73,Communication,Always,10,Junior,Rarely,Fail
31534,52,Polsci,Rarely,29,Senior,Rarely,Fail
31535,75,Stat,Rarely,22,Junior,Rarely,Pass
31536,16,Polsci,Always,0,Senior,Rarely,Pass
31537,80,Communication,Rarely,94,Junior,Always,Pass
31538,23,Polsci,Rarely,2,Freshman,Always,Fail
31539,28,Cs,Always,35,Senior,Rarely,Fail
31540,93,Communication,Always,95,Sophomore,Always,Pass
31541,94,Polsci,Rarely,85,Sophomore,Rarely,Pass
31542,44,Polsci,Always,20,Sophomore,Always,Pass
31543,88,Stat,Rarely,3,Junior,Always,Pass
31544,3,Stat,Rarely,17,Senior,Rarely,Pass
31545,38,Cs,Rarely,48,Senior,Always,Fail
31546,70,Stat,Always,2,Freshman,Rarely,Pass
31547,36,Communication,Always,31,Sophomore,Always,Fail
31548,72,Polsci,Always,12,Senior,Always,Pass
31549,6,Communication,Always,41,Senior,Rarely,Pass
31550,42,Polsci,Rarely,19,Freshman,Rarely,Fail
31551,59,Cs,Rarely,36,Freshman,Always,Fail
31552,81,Polsci,Rarely,69,Senior,Always,Pass
31553,56,Polsci,Always,79,Senior,Rarely,Pass
31554,60,Cs,Always,53,Freshman,Rarely,Pass
31555,15,Communication,Rarely,91,Freshman,Rarely,Pass
31556,61,Cs,Rarely,19,Sophomore,Rarely,Fail
31557,96,Stat,Always,7,Freshman,Always,Fail
31558,4,Polsci,Rarely,69,Freshman,Rarely,Pass
31559,66,Stat,Always,52,Freshman,Always,Fail
31560,57,Cs,Rarely,7,Junior,Always,Fail
31561,78,Polsci,Rarely,28,Freshman,Rarely,Fail
31562,51,Cs,Rarely,32,Junior,Rarely,Fail
31563,31,Stat,Rarely,78,Junior,Always,Pass
31564,54,Stat,Rarely,77,Junior,Always,Pass
31565,48,Communication,Always,62,Senior,Rarely,Pass
31566,59,Stat,Rarely,33,Junior,Rarely,Fail
31567,4,Cs,Rarely,15,Sophomore,Rarely,Fail
31568,98,Polsci,Rarely,0,Senior,Always,Fail
31569,51,Communication,Always,78,Junior,Always,Pass
31570,79,Stat,Rarely,60,Junior,Always,Pass
31571,95,Cs,Rarely,36,Sophomore,Always,Fail
31572,83,Cs,Rarely,66,Junior,Always,Fail
31573,16,Cs,Always,100,Sophomore,Always,Pass
31574,1,Cs,Always,73,Sophomore,Rarely,Pass
31575,83,Stat,Always,86,Freshman,Rarely,Pass
31576,66,Cs,Always,5,Senior,Always,Fail
31577,32,Communication,Rarely,39,Junior,Rarely,Fail
31578,92,Polsci,Rarely,39,Junior,Rarely,Fail
31579,38,Polsci,Always,96,Freshman,Rarely,Pass
31580,59,Cs,Always,49,Senior,Always,Fail
31581,65,Cs,Rarely,78,Freshman,Always,Pass
31582,28,Cs,Always,11,Sophomore,Rarely,Fail
31583,49,Cs,Rarely,39,Sophomore,Always,Fail
31584,52,Cs,Rarely,11,Senior,Always,Fail
31585,62,Cs,Rarely,72,Freshman,Always,Pass
31586,14,Cs,Always,81,Freshman,Always,Pass
31587,65,Stat,Rarely,76,Freshman,Always,Pass
31588,19,Communication,Rarely,12,Junior,Always,Fail
31589,89,Communication,Always,79,Sophomore,Rarely,Pass
31590,31,Cs,Rarely,46,Senior,Always,Fail
31591,86,Cs,Rarely,74,Senior,Rarely,Pass
31592,78,Polsci,Rarely,24,Freshman,Always,Fail
31593,91,Cs,Always,24,Freshman,Rarely,Pass
31594,14,Communication,Rarely,78,Sophomore,Always,Pass
31595,97,Cs,Always,81,Sophomore,Rarely,Pass
31596,74,Stat,Rarely,23,Sophomore,Always,Fail
31597,36,Communication,Rarely,48,Senior,Always,Pass
31598,94,Stat,Rarely,27,Senior,Rarely,Pass
31599,22,Cs,Rarely,98,Junior,Always,Pass
31600,98,Cs,Always,76,Junior,Always,Pass
31601,49,Communication,Rarely,27,Sophomore,Rarely,Fail
31602,1,Stat,Rarely,29,Freshman,Rarely,Pass
31603,61,Cs,Rarely,45,Junior,Rarely,Fail
31604,21,Cs,Always,36,Sophomore,Always,Fail
31605,8,Cs,Always,10,Sophomore,Rarely,Fail
31606,71,Polsci,Rarely,38,Senior,Rarely,Fail
31607,79,Cs,Always,4,Sophomore,Rarely,Fail
31608,57,Cs,Always,33,Sophomore,Always,Fail
31609,34,Polsci,Rarely,100,Sophomore,Always,Pass
31610,93,Stat,Rarely,68,Sophomore,Rarely,Pass
31611,97,Polsci,Rarely,1,Senior,Rarely,Fail
31612,64,Cs,Rarely,97,Sophomore,Always,Pass
31613,100,Polsci,Always,55,Senior,Rarely,Pass
31614,84,Communication,Rarely,43,Freshman,Rarely,Pass
31615,18,Cs,Always,1,Sophomore,Rarely,Fail
31616,58,Cs,Rarely,54,Sophomore,Rarely,Pass
31617,41,Polsci,Rarely,52,Senior,Always,Pass
31618,81,Communication,Always,7,Senior,Always,Pass
31619,21,Stat,Rarely,10,Senior,Rarely,Pass
31620,93,Communication,Rarely,91,Junior,Rarely,Pass
31621,23,Communication,Rarely,82,Freshman,Always,Pass
31622,1,Polsci,Rarely,68,Freshman,Always,Pass
31623,38,Cs,Always,72,Junior,Always,Pass
31624,12,Polsci,Rarely,93,Sophomore,Rarely,Pass
31625,83,Cs,Rarely,3,Freshman,Rarely,Fail
31626,90,Stat,Rarely,88,Senior,Always,Pass
31627,42,Communication,Always,61,Senior,Always,Pass
31628,19,Stat,Always,21,Junior,Always,Pass
31629,22,Stat,Always,75,Freshman,Rarely,Pass
31630,40,Stat,Rarely,71,Sophomore,Rarely,Pass
31631,92,Cs,Rarely,62,Sophomore,Always,Pass
31632,63,Communication,Always,51,Senior,Always,Pass
31633,67,Communication,Rarely,47,Freshman,Rarely,Pass
31634,86,Polsci,Always,21,Freshman,Always,Pass
31635,19,Polsci,Rarely,27,Sophomore,Always,Fail
31636,76,Polsci,Rarely,10,Junior,Rarely,Fail
31637,30,Polsci,Rarely,60,Sophomore,Always,Pass
31638,18,Stat,Always,84,Freshman,Rarely,Pass
31639,31,Polsci,Rarely,77,Senior,Always,Pass
31640,70,Stat,Rarely,90,Sophomore,Rarely,Pass
31641,25,Cs,Always,89,Senior,Always,Pass
31642,17,Stat,Rarely,72,Freshman,Always,Pass
31643,18,Stat,Rarely,64,Sophomore,Always,Pass
31644,93,Stat,Always,29,Junior,Rarely,Fail
31645,52,Communication,Rarely,34,Junior,Rarely,Pass
31646,7,Polsci,Always,41,Senior,Rarely,Pass
31647,75,Cs,Rarely,94,Sophomore,Rarely,Pass
31648,12,Cs,Always,63,Freshman,Always,Pass
31649,97,Cs,Always,49,Freshman,Always,Pass
31650,73,Stat,Rarely,30,Senior,Rarely,Pass
31651,82,Cs,Rarely,43,Senior,Always,Fail
31652,56,Communication,Always,27,Senior,Always,Fail
31653,82,Stat,Rarely,93,Freshman,Rarely,Pass
31654,73,Polsci,Rarely,1,Sophomore,Rarely,Fail
31655,19,Stat,Always,12,Junior,Always,Fail
31656,100,Polsci,Rarely,80,Senior,Always,Pass
31657,69,Cs,Rarely,98,Freshman,Rarely,Pass
31658,80,Communication,Always,16,Senior,Always,Pass
31659,86,Cs,Always,25,Sophomore,Always,Fail
31660,2,Cs,Always,5,Freshman,Rarely,Fail
31661,68,Communication,Rarely,88,Sophomore,Rarely,Pass
31662,28,Polsci,Always,16,Sophomore,Rarely,Pass
31663,45,Polsci,Always,97,Freshman,Rarely,Pass
31664,43,Cs,Always,72,Freshman,Rarely,Pass
31665,16,Stat,Always,74,Junior,Rarely,Pass
31666,36,Communication,Rarely,56,Sophomore,Always,Pass
31667,54,Polsci,Always,80,Junior,Always,Pass
31668,44,Communication,Rarely,97,Sophomore,Rarely,Pass
31669,23,Stat,Always,24,Freshman,Rarely,Pass
31670,38,Polsci,Always,32,Junior,Always,Pass
31671,35,Communication,Rarely,5,Senior,Always,Fail
31672,94,Communication,Always,64,Senior,Always,Pass
31673,80,Polsci,Always,60,Sophomore,Always,Pass
31674,30,Cs,Always,83,Senior,Rarely,Pass
31675,47,Cs,Always,50,Junior,Always,Fail
31676,82,Polsci,Rarely,60,Freshman,Rarely,Pass
31677,86,Cs,Always,92,Junior,Rarely,Pass
31678,46,Communication,Always,46,Senior,Always,Pass
31679,89,Polsci,Always,44,Junior,Rarely,Pass
31680,7,Cs,Rarely,57,Freshman,Always,Pass
31681,59,Stat,Always,43,Junior,Always,Pass
31682,77,Polsci,Always,19,Junior,Always,Pass
31683,25,Cs,Rarely,89,Senior,Always,Pass
31684,34,Polsci,Rarely,73,Senior,Always,Pass
31685,82,Communication,Rarely,7,Freshman,Rarely,Fail
31686,35,Polsci,Rarely,11,Senior,Rarely,Fail
31687,95,Stat,Rarely,0,Senior,Rarely,Fail
31688,73,Polsci,Always,37,Junior,Always,Pass
31689,30,Stat,Always,37,Sophomore,Always,Pass
31690,14,Cs,Rarely,97,Sophomore,Always,Pass
31691,37,Polsci,Rarely,29,Sophomore,Rarely,Fail
31692,62,Cs,Rarely,27,Junior,Always,Fail
31693,9,Stat,Always,82,Junior,Always,Pass
31694,6,Cs,Rarely,85,Sophomore,Rarely,Pass
31695,84,Polsci,Rarely,43,Senior,Always,Fail
31696,72,Communication,Rarely,34,Junior,Always,Fail
31697,6,Cs,Always,59,Junior,Rarely,Fail
31698,73,Stat,Always,79,Freshman,Rarely,Pass
31699,90,Polsci,Always,95,Senior,Rarely,Pass
31700,24,Communication,Rarely,47,Senior,Rarely,Pass
31701,95,Communication,Always,8,Freshman,Rarely,Fail
31702,57,Cs,Rarely,48,Senior,Rarely,Fail
31703,79,Cs,Rarely,15,Junior,Always,Pass
31704,57,Stat,Always,44,Senior,Rarely,Fail
31705,50,Cs,Rarely,100,Freshman,Always,Pass
31706,87,Cs,Rarely,62,Senior,Always,Fail
31707,16,Communication,Always,34,Freshman,Rarely,Fail
31708,89,Stat,Always,85,Junior,Always,Pass
31709,61,Stat,Always,60,Sophomore,Always,Pass
31710,25,Cs,Always,36,Sophomore,Always,Fail
31711,15,Stat,Rarely,74,Senior,Rarely,Pass
31712,23,Stat,Rarely,79,Senior,Always,Pass
31713,39,Communication,Always,61,Junior,Rarely,Pass
31714,57,Stat,Always,36,Sophomore,Rarely,Pass
31715,61,Stat,Rarely,94,Junior,Rarely,Pass
31716,25,Stat,Always,12,Freshman,Rarely,Pass
31717,41,Cs,Always,90,Freshman,Always,Pass
31718,14,Communication,Always,77,Senior,Always,Pass
31719,25,Polsci,Always,74,Freshman,Rarely,Pass
31720,27,Stat,Always,0,Freshman,Rarely,Pass
31721,44,Polsci,Rarely,77,Junior,Always,Pass
31722,51,Stat,Rarely,82,Senior,Always,Fail
31723,54,Communication,Always,65,Senior,Always,Pass
31724,87,Stat,Always,59,Senior,Always,Pass
31725,75,Stat,Always,73,Senior,Rarely,Pass
31726,94,Cs,Rarely,61,Freshman,Always,Pass
31727,48,Stat,Rarely,12,Junior,Rarely,Fail
31728,65,Communication,Always,35,Freshman,Rarely,Fail
31729,17,Cs,Rarely,96,Sophomore,Rarely,Pass
31730,70,Stat,Always,7,Junior,Always,Pass
31731,33,Cs,Rarely,55,Sophomore,Rarely,Pass
31732,43,Stat,Always,53,Sophomore,Always,Fail
31733,15,Stat,Always,5,Freshman,Always,Pass
31734,13,Stat,Rarely,56,Senior,Rarely,Fail
31735,47,Communication,Always,48,Junior,Rarely,Pass
31736,27,Stat,Always,97,Freshman,Always,Pass
31737,21,Communication,Rarely,1,Sophomore,Always,Fail
31738,51,Communication,Always,50,Sophomore,Rarely,Fail
31739,64,Polsci,Always,78,Senior,Rarely,Pass
31740,12,Stat,Always,52,Sophomore,Rarely,Pass
31741,43,Stat,Rarely,32,Junior,Always,Pass
31742,25,Polsci,Always,33,Senior,Rarely,Pass
31743,15,Cs,Rarely,84,Junior,Always,Pass
31744,0,Polsci,Always,72,Senior,Rarely,Pass
31745,19,Stat,Rarely,85,Senior,Always,Pass
31746,1,Cs,Always,91,Freshman,Rarely,Pass
31747,73,Polsci,Always,99,Sophomore,Rarely,Pass
31748,63,Stat,Always,30,Senior,Always,Fail
31749,42,Communication,Rarely,46,Sophomore,Rarely,Pass
31750,84,Polsci,Always,44,Junior,Rarely,Pass
31751,58,Stat,Always,99,Senior,Rarely,Pass
31752,30,Stat,Always,95,Senior,Always,Pass
31753,60,Polsci,Rarely,75,Sophomore,Always,Pass
31754,44,Polsci,Rarely,13,Freshman,Always,Fail
31755,44,Stat,Always,17,Senior,Always,Pass
31756,14,Communication,Rarely,97,Freshman,Rarely,Fail
31757,1,Communication,Always,65,Junior,Rarely,Pass
31758,95,Polsci,Always,3,Freshman,Always,Pass
31759,70,Communication,Rarely,85,Junior,Rarely,Pass
31760,56,Communication,Always,51,Sophomore,Always,Pass
31761,99,Polsci,Rarely,57,Freshman,Always,Pass
31762,96,Stat,Rarely,70,Senior,Always,Pass
31763,23,Communication,Rarely,36,Junior,Always,Fail
31764,8,Cs,Always,56,Sophomore,Always,Pass
31765,51,Polsci,Always,97,Junior,Rarely,Pass
31766,54,Cs,Rarely,35,Sophomore,Always,Fail
31767,11,Stat,Rarely,73,Junior,Always,Pass
31768,11,Polsci,Rarely,14,Sophomore,Always,Fail
31769,89,Communication,Rarely,78,Sophomore,Always,Pass
31770,86,Polsci,Rarely,32,Senior,Rarely,Fail
31771,60,Polsci,Rarely,70,Junior,Rarely,Pass
31772,29,Communication,Rarely,35,Freshman,Rarely,Fail
31773,66,Cs,Rarely,18,Senior,Always,Fail
31774,3,Communication,Always,71,Senior,Always,Pass
31775,47,Stat,Always,82,Junior,Always,Pass
31776,68,Stat,Always,95,Senior,Rarely,Pass
31777,33,Stat,Rarely,0,Freshman,Always,Fail
31778,97,Stat,Always,63,Sophomore,Rarely,Pass
31779,71,Communication,Always,6,Senior,Rarely,Fail
31780,63,Polsci,Always,28,Senior,Always,Pass
31781,90,Stat,Rarely,95,Freshman,Rarely,Fail
31782,24,Cs,Rarely,94,Junior,Always,Pass
31783,93,Cs,Always,69,Senior,Always,Fail
31784,90,Stat,Always,93,Senior,Always,Pass
31785,61,Stat,Always,87,Freshman,Always,Pass
31786,13,Stat,Always,23,Freshman,Rarely,Fail
31787,85,Stat,Rarely,69,Junior,Rarely,Pass
31788,6,Polsci,Rarely,87,Senior,Always,Fail
31789,21,Cs,Always,10,Senior,Always,Fail
31790,18,Stat,Rarely,13,Freshman,Rarely,Fail
31791,91,Communication,Rarely,65,Junior,Always,Pass
31792,75,Communication,Always,70,Senior,Rarely,Fail
31793,82,Polsci,Always,18,Sophomore,Always,Fail
31794,43,Communication,Always,27,Sophomore,Always,Fail
31795,80,Stat,Always,4,Freshman,Rarely,Pass
31796,88,Polsci,Rarely,40,Senior,Always,Fail
31797,96,Stat,Always,35,Sophomore,Always,Pass
31798,15,Cs,Rarely,97,Sophomore,Always,Pass
31799,23,Cs,Rarely,86,Senior,Rarely,Pass
31800,11,Communication,Rarely,31,Junior,Rarely,Fail
31801,0,Polsci,Always,33,Sophomore,Rarely,Pass
31802,43,Cs,Always,72,Junior,Always,Pass
31803,74,Cs,Always,24,Sophomore,Rarely,Fail
31804,22,Stat,Rarely,38,Sophomore,Always,Fail
31805,63,Polsci,Always,5,Junior,Always,Fail
31806,15,Stat,Always,56,Freshman,Always,Pass
31807,63,Stat,Always,80,Sophomore,Always,Pass
31808,67,Stat,Rarely,65,Freshman,Rarely,Pass
31809,85,Communication,Rarely,100,Junior,Always,Pass
31810,7,Stat,Rarely,28,Senior,Rarely,Pass
31811,66,Stat,Rarely,92,Freshman,Rarely,Pass
31812,97,Communication,Always,65,Senior,Rarely,Pass
31813,88,Stat,Rarely,22,Junior,Always,Fail
31814,90,Communication,Rarely,84,Junior,Rarely,Pass
31815,39,Cs,Always,14,Freshman,Always,Fail
31816,73,Cs,Rarely,94,Senior,Rarely,Pass
31817,68,Stat,Always,23,Senior,Always,Fail
31818,38,Stat,Rarely,70,Sophomore,Rarely,Pass
31819,43,Cs,Always,78,Sophomore,Always,Pass
31820,31,Stat,Always,29,Senior,Always,Fail
31821,57,Stat,Rarely,8,Senior,Always,Pass
31822,93,Communication,Rarely,84,Junior,Rarely,Pass
31823,88,Polsci,Always,85,Senior,Always,Pass
31824,68,Cs,Always,97,Junior,Rarely,Pass
31825,35,Polsci,Rarely,86,Sophomore,Always,Pass
31826,100,Polsci,Always,93,Senior,Rarely,Pass
31827,56,Cs,Rarely,81,Freshman,Always,Pass
31828,76,Stat,Rarely,13,Sophomore,Always,Pass
31829,93,Cs,Rarely,37,Junior,Always,Fail
31830,52,Communication,Rarely,17,Senior,Rarely,Fail
31831,0,Cs,Rarely,60,Junior,Always,Fail
31832,43,Communication,Always,95,Junior,Rarely,Pass
31833,20,Stat,Always,95,Sophomore,Always,Pass
31834,28,Cs,Rarely,49,Freshman,Rarely,Fail
31835,58,Polsci,Rarely,83,Junior,Always,Pass
31836,3,Cs,Rarely,36,Senior,Always,Fail
31837,24,Communication,Rarely,15,Freshman,Always,Fail
31838,86,Cs,Always,65,Sophomore,Rarely,Pass
31839,100,Stat,Always,42,Junior,Rarely,Fail
31840,77,Cs,Rarely,80,Freshman,Always,Pass
31841,8,Communication,Rarely,2,Junior,Rarely,Fail
31842,1,Cs,Always,24,Senior,Rarely,Fail
31843,75,Cs,Rarely,100,Senior,Always,Pass
31844,16,Polsci,Rarely,23,Sophomore,Always,Fail
31845,15,Stat,Rarely,22,Junior,Rarely,Pass
31846,36,Polsci,Rarely,66,Junior,Rarely,Pass
31847,90,Cs,Always,80,Senior,Always,Pass
31848,9,Polsci,Rarely,21,Sophomore,Rarely,Fail
31849,57,Communication,Rarely,17,Sophomore,Rarely,Fail
31850,46,Polsci,Always,98,Senior,Always,Pass
31851,48,Cs,Always,47,Junior,Rarely,Fail
31852,24,Stat,Rarely,59,Junior,Rarely,Pass
31853,82,Polsci,Always,51,Senior,Rarely,Pass
31854,100,Polsci,Always,43,Freshman,Rarely,Pass
31855,38,Communication,Rarely,72,Sophomore,Always,Pass
31856,18,Stat,Rarely,60,Senior,Rarely,Pass
31857,48,Polsci,Rarely,13,Sophomore,Rarely,Fail
31858,93,Communication,Always,61,Sophomore,Rarely,Pass
31859,21,Stat,Always,71,Senior,Rarely,Pass
31860,99,Cs,Rarely,7,Senior,Rarely,Fail
31861,85,Cs,Rarely,65,Junior,Rarely,Fail
31862,61,Cs,Rarely,76,Sophomore,Rarely,Pass
31863,98,Communication,Rarely,80,Junior,Always,Pass
31864,79,Communication,Always,77,Senior,Rarely,Pass
31865,99,Polsci,Rarely,36,Sophomore,Always,Fail
31866,58,Cs,Always,100,Freshman,Rarely,Pass
31867,25,Polsci,Always,78,Sophomore,Rarely,Pass
31868,96,Stat,Rarely,32,Senior,Rarely,Fail
31869,38,Communication,Rarely,86,Senior,Rarely,Pass
31870,40,Polsci,Rarely,30,Junior,Rarely,Fail
31871,37,Stat,Rarely,89,Freshman,Rarely,Pass
31872,10,Communication,Always,85,Sophomore,Always,Pass
31873,71,Stat,Rarely,95,Freshman,Rarely,Pass
31874,45,Stat,Rarely,12,Freshman,Rarely,Pass
31875,50,Cs,Always,31,Junior,Always,Fail
31876,32,Communication,Always,78,Freshman,Always,Pass
31877,56,Stat,Always,55,Senior,Always,Pass
31878,95,Cs,Always,41,Senior,Always,Fail
31879,13,Polsci,Rarely,49,Freshman,Always,Fail
31880,32,Polsci,Always,67,Freshman,Rarely,Pass
31881,52,Polsci,Always,18,Junior,Always,Pass
31882,96,Cs,Rarely,97,Freshman,Always,Pass
31883,78,Polsci,Rarely,38,Freshman,Always,Fail
31884,19,Cs,Always,8,Sophomore,Rarely,Fail
31885,15,Cs,Rarely,43,Senior,Always,Fail
31886,34,Polsci,Rarely,70,Junior,Always,Pass
31887,48,Stat,Rarely,43,Freshman,Rarely,Pass
31888,97,Cs,Rarely,84,Sophomore,Rarely,Pass
31889,5,Communication,Always,1,Sophomore,Rarely,Fail
31890,34,Cs,Rarely,4,Junior,Always,Fail
31891,98,Polsci,Always,100,Senior,Rarely,Pass
31892,28,Communication,Rarely,79,Freshman,Always,Pass
31893,47,Communication,Rarely,72,Senior,Rarely,Pass
31894,33,Stat,Rarely,72,Freshman,Always,Pass
31895,5,Cs,Rarely,35,Senior,Rarely,Fail
31896,62,Stat,Always,26,Senior,Always,Pass
31897,40,Communication,Always,23,Freshman,Always,Fail
31898,70,Communication,Always,60,Junior,Rarely,Pass
31899,99,Cs,Always,67,Freshman,Rarely,Pass
31900,17,Communication,Always,45,Junior,Always,Pass
31901,93,Stat,Always,82,Junior,Always,Pass
31902,53,Cs,Always,61,Junior,Always,Pass
