Party,Music,Host,WasThere,WasNotThere,CaloriesDanc
Boring,Techno,Xi,Ada,Manny,315
ItwasOK,None,Janek,Billy,Manny,470
Boring,Classical,Xi,Ada,Angela,485
Boring,Techno,Janek,Qiong,Angela,469
Fun,Techno,Sonya,Qiong,Vladimir,195
Fun,Rock,Janek,Eva,Vladimir,474
Boring,Classical,Janek,Qiong,Angela,235
Boring,Rock,Sonya,Billy,Angela,120
Boring,Techno,Xi,Billy,Joe,47
ItwasOK,None,Alex,Janusz,Manny,300
Boring,None,Sonya,Janusz,Angela,483
Boring,None,Sonya,Eva,Angela,308
Fun,None,Sonya,Janusz,Vladimir,360
Fun,Classical,Katya,Qiong,Vladimir,380
Fun,None,Alex,Eva,Joe,348
Fun,HipHop,Sonya,Janusz,Vladimir,479
Fun,Classical,Janek,Janusz,Manny,213
Boring,Techno,Xi,Ada,Manny,456
Fun,HipHop,Alex,Qiong,Angela,404
Fun,None,Katya,Ada,Manny,146
ItwasOK,Rock,Sonya,Qiong,Joe,427
Fun,None,Xi,Qiong,Vladimir,1
Boring,Techno,Janek,Janusz,Angela,326
Fun,Rock,Katya,Ada,Joe,454
Fun,None,Sonya,Eva,Joe,167
ItwasOK,None,Xi,Qiong,Manny,424
Boring,HipHop,Xi,Eva,Angela,23
Boring,Classical,Katya,Billy,Angela,142
Boring,Techno,Janek,Ada,Joe,64
Boring,Techno,Xi,Ada,Manny,12
Boring,Techno,Alex,Billy,Angela,132
Boring,Classical,Sonya,Ada,Angela,261
Boring,None,Alex,Ada,Joe,117
Boring,Classical,Xi,Janusz,Joe,313
Fun,Techno,Janek,Billy,Vladimir,282
Boring,HipHop,Sonya,Ada,Angela,29
ItwasOK,None,Sonya,Ada,Manny,81
Fun,Classical,Janek,Ada,Vladimir,362
Fun,HipHop,Sonya,Janusz,Angela,288
Boring,None,Sonya,Eva,Angela,251
ItwasOK,Rock,Katya,Qiong,Joe,160
Fun,HipHop,Katya,Billy,Angela,228
Boring,Techno,Sonya,Eva,Angela,446
ItwasOK,None,Alex,Janusz,Joe,483
Fun,Rock,Sonya,Qiong,Vladimir,13
Boring,HipHop,Xi,Qiong,Manny,278
Fun,Rock,Katya,Billy,Manny,46
Fun,Classical,Xi,Ada,Vladimir,50
Fun,Rock,Xi,Janusz,Vladimir,217
Fun,Techno,Sonya,Billy,Vladimir,355
Fun,None,Janek,Ada,Vladimir,261
Boring,Techno,Xi,Qiong,Angela,147
Boring,Techno,Katya,Janusz,Angela,94
Boring,None,Katya,Billy,Angela,119
Boring,Techno,Janek,Qiong,Manny,42
Fun,HipHop,Sonya,Billy,Joe,427
Fun,Rock,Janek,Janusz,Vladimir,153
Boring,None,Xi,Billy,Angela,389
Fun,HipHop,Janek,Billy,Manny,346
Boring,None,Janek,Billy,Joe,82
Boring,Techno,Xi,Qiong,Manny,277
Fun,HipHop,Katya,Ada,Vladimir,415
Fun,None,Xi,Eva,Vladimir,290
ItwasOK,Techno,Janek,Qiong,Manny,443
Boring,Techno,Katya,Billy,Angela,453
Fun,Rock,Alex,Eva,Joe,176
Fun,Rock,Alex,Qiong,Joe,205
Boring,None,Alex,Eva,Angela,222
ItwasOK,Classical,Janek,Eva,Manny,20
Fun,HipHop,Xi,Billy,Vladimir,315
Boring,Classical,Alex,Qiong,Angela,243
Fun,Techno,Alex,Janusz,Vladimir,480
Boring,Classical,Xi,Janusz,Manny,362
Boring,None,Janek,Qiong,Angela,118
ItwasOK,Techno,Sonya,Qiong,Joe,424
Boring,HipHop,Katya,Eva,Angela,97
Boring,Rock,Xi,Billy,Angela,262
Boring,None,Alex,Eva,Joe,405
Boring,Rock,Janek,Ada,Joe,146
Boring,None,Xi,Janusz,Joe,183
ItwasOK,Rock,Janek,Eva,Manny,112
ItwasOK,Techno,Sonya,Billy,Joe,271
Fun,Classical,Janek,Eva,Vladimir,496
Fun,Classical,Katya,Janusz,Joe,200
Fun,Classical,Janek,Ada,Vladimir,311
Fun,Techno,Alex,Janusz,Manny,392
ItwasOK,Rock,Janek,Ada,Joe,53
ItwasOK,HipHop,Alex,Eva,Vladimir,361
Fun,Techno,Sonya,Janusz,Vladimir,3
Fun,Classical,Sonya,Ada,Vladimir,309
Boring,Classical,Janek,Eva,Joe,454
Boring,Techno,Alex,Qiong,Angela,62
Fun,HipHop,Janek,Billy,Joe,382
Fun,Classical,Katya,Ada,Vladimir,258
ItwasOK,Rock,Katya,Ada,Joe,265
Boring,None,Janek,Qiong,Joe,461
Boring,Rock,Xi,Qiong,Angela,102
Boring,Rock,Janek,Billy,Angela,418
Boring,Techno,Xi,Ada,Joe,217
Fun,HipHop,Xi,Eva,Manny,287
Boring,Classical,Xi,Ada,Manny,209
Boring,HipHop,Xi,Qiong,Joe,238
Fun,Techno,Janek,Janusz,Manny,99
Boring,Techno,Janek,Qiong,Manny,237
Boring,None,Xi,Eva,Angela,314
Boring,None,Alex,Ada,Angela,257
Boring,None,Sonya,Billy,Manny,127
Fun,HipHop,Alex,Billy,Manny,277
ItwasOK,Classical,Janek,Eva,Joe,278
Boring,Techno,Janek,Eva,Joe,223
Fun,None,Sonya,Eva,Vladimir,207
Fun,None,Sonya,Ada,Vladimir,415
Boring,HipHop,Xi,Eva,Angela,78
Boring,None,Janek,Eva,Angela,452
Boring,Classical,Janek,Eva,Angela,154
ItwasOK,Rock,Janek,Ada,Manny,438
Fun,HipHop,Janek,Qiong,Vladimir,271
Boring,HipHop,Xi,Billy,Angela,393
ItwasOK,HipHop,Alex,Janusz,Joe,155
Fun,HipHop,Katya,Eva,Vladimir,379
ItwasOK,Techno,Janek,Qiong,Joe,294
Boring,Techno,Sonya,Qiong,Joe,76
Boring,Techno,Xi,Eva,Joe,207
Fun,Rock,Alex,Eva,Vladimir,324
Fun,Rock,Katya,Eva,Vladimir,58
Boring,None,Xi,Qiong,Manny,477
ItwasOK,None,Katya,Ada,Manny,184
Boring,HipHop,Sonya,Qiong,Angela,95
Fun,Rock,Janek,Janusz,Joe,426
ItwasOK,None,Sonya,Eva,Vladimir,16
Fun,HipHop,Sonya,Ada,Angela,314
Boring,Classical,Alex,Ada,Angela,298
Fun,Rock,Sonya,Janusz,Manny,408
Fun,HipHop,Alex,Billy,Joe,315
Fun,Rock,Janek,Qiong,Vladimir,54
Boring,Rock,Xi,Eva,Joe,324
Fun,Rock,Janek,Janusz,Vladimir,229
Fun,None,Katya,Eva,Vladimir,18
Fun,None,Katya,Qiong,Vladimir,478
Fun,Rock,Alex,Qiong,Vladimir,303
Boring,HipHop,Xi,Billy,Joe,62
Fun,None,Katya,Janusz,Vladimir,311
Fun,Techno,Sonya,Eva,Vladimir,458
Boring,Techno,Katya,Qiong,Joe,63
Boring,None,Sonya,Billy,Joe,413
Boring,Rock,Alex,Ada,Angela,61
Fun,Techno,Janek,Eva,Manny,461
Fun,Techno,Alex,Eva,Manny,367
Boring,Techno,Sonya,Janusz,Angela,460
Fun,Rock,Alex,Billy,Vladimir,478
Boring,Rock,Alex,Qiong,Angela,26
Boring,Rock,Alex,Qiong,Angela,421
ItwasOK,HipHop,Katya,Qiong,Joe,68
Boring,None,Janek,Ada,Joe,465
Fun,HipHop,Alex,Eva,Joe,351
Boring,None,Xi,Eva,Angela,382
Boring,Techno,Xi,Eva,Angela,332
Boring,Rock,Xi,Qiong,Angela,346
Fun,HipHop,Katya,Eva,Joe,353
Fun,None,Katya,Qiong,Vladimir,157
ItwasOK,Classical,Janek,Qiong,Manny,382
Boring,None,Janek,Ada,Angela,413
ItwasOK,Techno,Sonya,Billy,Manny,191
Boring,Classical,Alex,Eva,Joe,102
Fun,HipHop,Janek,Eva,Joe,226
Boring,Classical,Janek,Ada,Joe,187
Fun,None,Alex,Janusz,Angela,339
Boring,None,Alex,Ada,Joe,439
Fun,HipHop,Janek,Ada,Manny,122
Boring,None,Xi,Qiong,Joe,270
Boring,Rock,Alex,Ada,Joe,311
Fun,None,Xi,Eva,Vladimir,316
Boring,Techno,Xi,Qiong,Manny,386
Fun,HipHop,Katya,Qiong,Angela,394
Boring,Techno,Alex,Qiong,Manny,176
ItwasOK,HipHop,Alex,Janusz,Joe,47
Boring,None,Xi,Eva,Angela,224
Fun,HipHop,Sonya,Janusz,Angela,489
ItwasOK,Techno,Sonya,Janusz,Manny,290
Boring,Classical,Janek,Janusz,Angela,359
Boring,Techno,Alex,Ada,Manny,100
Boring,None,Sonya,Eva,Manny,207
ItwasOK,Techno,Sonya,Billy,Manny,374
Fun,Techno,Xi,Billy,Vladimir,411
Boring,Rock,Janek,Eva,Angela,378
Boring,Classical,Alex,Billy,Angela,65
Boring,Classical,Sonya,Qiong,Joe,47
Boring,None,Janek,Eva,Joe,294
Boring,Techno,Xi,Eva,Joe,282
Boring,Techno,Xi,Eva,Manny,424
ItwasOK,Rock,Janek,Janusz,Joe,448
ItwasOK,Techno,Sonya,Billy,Joe,214
Boring,Techno,Xi,Janusz,Joe,87
ItwasOK,Classical,Sonya,Billy,Manny,392
Boring,Classical,Sonya,Eva,Angela,58
Fun,HipHop,Katya,Janusz,Manny,454
Fun,Techno,Xi,Ada,Vladimir,83
Boring,Rock,Sonya,Eva,Joe,410
Fun,Classical,Alex,Janusz,Vladimir,314
Boring,Classical,Alex,Janusz,Joe,217
Fun,Rock,Janek,Janusz,Vladimir,332
ItwasOK,Rock,Janek,Janusz,Joe,409
Fun,Rock,Sonya,Eva,Vladimir,239
Fun,Classical,Janek,Ada,Vladimir,299
Boring,Techno,Janek,Qiong,Joe,73
Fun,HipHop,Katya,Billy,Vladimir,189
Boring,HipHop,Xi,Janusz,Angela,170
Boring,HipHop,Alex,Eva,Angela,146
Fun,Techno,Katya,Janusz,Joe,236
Fun,HipHop,Alex,Eva,Angela,420
Fun,Rock,Katya,Eva,Vladimir,65
Fun,None,Sonya,Janusz,Vladimir,470
ItwasOK,None,Janek,Eva,Joe,408
Boring,Rock,Xi,Janusz,Angela,53
Boring,HipHop,Janek,Janusz,Angela,50
Fun,Techno,Xi,Ada,Vladimir,188
Fun,HipHop,Alex,Billy,Vladimir,414
Boring,Rock,Alex,Billy,Angela,33
Fun,Rock,Katya,Janusz,Joe,135
Boring,None,Sonya,Qiong,Angela,125
ItwasOK,Classical,Janek,Eva,Manny,4
ItwasOK,HipHop,Katya,Qiong,Vladimir,102
Fun,HipHop,Alex,Qiong,Joe,128
Boring,Classical,Janek,Qiong,Manny,108
Fun,HipHop,Katya,Ada,Angela,316
Fun,Techno,Alex,Eva,Vladimir,468
Boring,Techno,Xi,Eva,Angela,96
ItwasOK,HipHop,Katya,Billy,Vladimir,347
Boring,Techno,Sonya,Ada,Angela,404
Fun,Techno,Sonya,Janusz,Manny,146
Boring,None,Xi,Qiong,Manny,376
Boring,HipHop,Alex,Janusz,Angela,117
Fun,Rock,Janek,Janusz,Vladimir,323
Boring,None,Sonya,Qiong,Joe,120
ItwasOK,Rock,Xi,Billy,Angela,358
Fun,Classical,Alex,Qiong,Vladimir,24
Fun,Classical,Sonya,Qiong,Vladimir,227
Fun,HipHop,Janek,Eva,Joe,146
Boring,Techno,Katya,Eva,Angela,398
Fun,Techno,Katya,Janusz,Manny,295
Fun,Classical,Katya,Ada,Manny,303
Boring,Rock,Katya,Janusz,Manny,208
Boring,None,Janek,Janusz,Manny,139
Boring,Rock,Janek,Qiong,Angela,431
Boring,Rock,Xi,Eva,Manny,330
Boring,Techno,Sonya,Janusz,Manny,339
ItwasOK,Classical,Alex,Eva,Manny,342
Boring,Rock,Janek,Qiong,Manny,110
Boring,Classical,Sonya,Qiong,Angela,473
Fun,HipHop,Sonya,Eva,Joe,365
Boring,None,Alex,Ada,Angela,253
Boring,Classical,Xi,Billy,Angela,347
Fun,Classical,Sonya,Eva,Vladimir,442
Boring,None,Xi,Qiong,Angela,452
Boring,Techno,Xi,Eva,Manny,18
Boring,Rock,Xi,Eva,Angela,59
Boring,Rock,Xi,Janusz,Angela,363
Fun,Classical,Katya,Billy,Vladimir,123
Boring,None,Xi,Janusz,Angela,306
Fun,Classical,Alex,Eva,Vladimir,121
Boring,Rock,Xi,Billy,Angela,378
Boring,Techno,Xi,Ada,Joe,351
Boring,Techno,Janek,Billy,Manny,450
Fun,Rock,Xi,Eva,Vladimir,436
ItwasOK,Techno,Sonya,Qiong,Manny,234
Fun,HipHop,Katya,Billy,Vladimir,34
Fun,Classical,Sonya,Qiong,Vladimir,464
Boring,Rock,Alex,Ada,Angela,360
ItwasOK,Rock,Janek,Eva,Joe,314
Boring,None,Janek,Janusz,Angela,327
Boring,Rock,Katya,Eva,Angela,495
Fun,HipHop,Sonya,Eva,Vladimir,306
Fun,Techno,Alex,Eva,Joe,407
Fun,HipHop,Alex,Billy,Joe,275
Fun,Classical,Xi,Billy,Vladimir,441
Boring,None,Sonya,Eva,Angela,164
Fun,Rock,Sonya,Eva,Vladimir,498
ItwasOK,Classical,Katya,Eva,Angela,176
Boring,None,Xi,Ada,Manny,442
Boring,Techno,Alex,Ada,Angela,336
Boring,Rock,Janek,Janusz,Joe,52
Boring,None,Sonya,Eva,Manny,176
Fun,None,Janek,Eva,Manny,278
Fun,None,Sonya,Qiong,Vladimir,79
Boring,Rock,Sonya,Janusz,Joe,493
Boring,Classical,Janek,Ada,Angela,150
ItwasOK,Rock,Janek,Qiong,Joe,267
Boring,None,Janek,Ada,Angela,273
Fun,Techno,Alex,Qiong,Joe,305
Fun,Rock,Janek,Eva,Vladimir,488
Fun,HipHop,Katya,Billy,Vladimir,3
ItwasOK,Techno,Alex,Ada,Manny,151
Fun,Classical,Xi,Qiong,Manny,0
Boring,Rock,Katya,Qiong,Joe,428
Boring,None,Katya,Ada,Manny,91
Boring,Rock,Alex,Billy,Joe,188
Boring,HipHop,Alex,Billy,Manny,436
Boring,Techno,Janek,Qiong,Angela,46
Fun,Techno,Sonya,Billy,Vladimir,406
Fun,Techno,Sonya,Billy,Vladimir,2
Boring,None,Sonya,Ada,Angela,459
Boring,HipHop,Janek,Qiong,Angela,168
Fun,HipHop,Janek,Janusz,Manny,23
Boring,Classical,Katya,Eva,Angela,208
Fun,Classical,Katya,Billy,Vladimir,335
Boring,None,Janek,Qiong,Manny,470
Boring,None,Sonya,Qiong,Angela,471
Boring,Rock,Xi,Janusz,Manny,395
Boring,Classical,Xi,Janusz,Manny,346
ItwasOK,Rock,Alex,Eva,Manny,44
Boring,Rock,Xi,Billy,Angela,485
Boring,Techno,Katya,Eva,Angela,226
Fun,HipHop,Katya,Billy,Joe,440
Fun,None,Janek,Janusz,Vladimir,216
ItwasOK,Classical,Katya,Eva,Vladimir,429
Fun,None,Alex,Janusz,Joe,8
ItwasOK,Classical,Xi,Billy,Angela,216
Boring,Techno,Xi,Janusz,Manny,28
Fun,Techno,Alex,Eva,Vladimir,105
Fun,HipHop,Sonya,Billy,Joe,255
ItwasOK,Rock,Alex,Qiong,Manny,386
Boring,Rock,Katya,Billy,Joe,306
Boring,Techno,Janek,Ada,Angela,89
Fun,HipHop,Alex,Ada,Joe,303
ItwasOK,HipHop,Xi,Eva,Angela,414
ItwasOK,None,Sonya,Billy,Manny,219
Fun,HipHop,Alex,Billy,Angela,288
ItwasOK,Techno,Katya,Janusz,Angela,428
Fun,Classical,Sonya,Janusz,Vladimir,125
ItwasOK,None,Alex,Janusz,Joe,248
Fun,Rock,Sonya,Eva,Vladimir,405
Boring,Rock,Sonya,Qiong,Angela,167
Fun,HipHop,Alex,Eva,Joe,27
Boring,Rock,Xi,Billy,Manny,12
Boring,Techno,Janek,Ada,Manny,319
Fun,HipHop,Alex,Eva,Angela,252
Boring,Classical,Xi,Eva,Manny,293
Boring,HipHop,Sonya,Billy,Angela,135
Boring,HipHop,Sonya,Janusz,Angela,100
Boring,Techno,Janek,Billy,Angela,202
Fun,None,Alex,Qiong,Angela,478
Boring,HipHop,Janek,Ada,Joe,24
Fun,None,Katya,Ada,Joe,441
ItwasOK,HipHop,Sonya,Ada,Manny,166
Boring,Techno,Janek,Ada,Angela,89
Fun,Techno,Janek,Eva,Vladimir,401
Fun,Classical,Alex,Janusz,Manny,68
Boring,Techno,Xi,Qiong,Joe,303
Boring,Classical,Alex,Qiong,Joe,192
Boring,Rock,Alex,Billy,Manny,285
Fun,Classical,Janek,Billy,Vladimir,325
Fun,HipHop,Katya,Janusz,Vladimir,398
Boring,Rock,Sonya,Billy,Manny,314
Boring,HipHop,Janek,Billy,Manny,472
ItwasOK,Classical,Katya,Qiong,Manny,409
Boring,None,Sonya,Ada,Vladimir,496
Boring,HipHop,Katya,Qiong,Angela,126
Boring,Techno,Xi,Eva,Joe,439
Fun,HipHop,Sonya,Janusz,Vladimir,297
Boring,None,Katya,Janusz,Manny,36
Boring,None,Alex,Janusz,Angela,494
Boring,Rock,Katya,Billy,Angela,355
Fun,Techno,Janek,Ada,Vladimir,11
Boring,None,Xi,Ada,Manny,18
Fun,Techno,Janek,Qiong,Vladimir,339
Boring,Rock,Janek,Eva,Angela,294
Fun,None,Janek,Eva,Manny,240
Boring,Techno,Sonya,Qiong,Angela,160
Boring,HipHop,Xi,Qiong,Angela,215
Fun,Classical,Janek,Qiong,Vladimir,307
Boring,Classical,Xi,Billy,Manny,300
Boring,Rock,Xi,Eva,Manny,308
Boring,Classical,Alex,Ada,Manny,337
ItwasOK,HipHop,Alex,Qiong,Manny,178
Boring,Classical,Katya,Eva,Angela,452
Boring,Classical,Katya,Ada,Manny,25
Boring,Techno,Xi,Janusz,Angela,309
Boring,Techno,Xi,Qiong,Angela,477
Boring,HipHop,Xi,Eva,Angela,399
Fun,None,Sonya,Janusz,Vladimir,252
Fun,HipHop,Katya,Qiong,Angela,304
Fun,HipHop,Sonya,Eva,Manny,264
Fun,Classical,Sonya,Ada,Vladimir,123
Boring,Rock,Alex,Ada,Angela,197
Fun,Techno,Alex,Qiong,Vladimir,412
ItwasOK,None,Alex,Billy,Manny,422
ItwasOK,HipHop,Sonya,Janusz,Joe,122
Fun,Classical,Alex,Eva,Vladimir,116
Boring,Rock,Alex,Qiong,Angela,445
Boring,Classical,Xi,Eva,Joe,288
Boring,None,Sonya,Janusz,Angela,306
Fun,Rock,Katya,Qiong,Joe,395
Boring,Techno,Xi,Qiong,Joe,361
Boring,Techno,Xi,Qiong,Angela,8
Boring,None,Xi,Ada,Angela,267
Fun,HipHop,Sonya,Eva,Manny,496
Fun,Rock,Janek,Ada,Vladimir,40
Boring,Techno,Sonya,Eva,Angela,94
Boring,Techno,Alex,Qiong,Angela,288
ItwasOK,Techno,Katya,Eva,Manny,473
Fun,HipHop,Katya,Janusz,Manny,278
Boring,Techno,Xi,Billy,Angela,137
Fun,Rock,Alex,Janusz,Vladimir,90
Boring,Rock,Alex,Janusz,Angela,7
Boring,Classical,Janek,Janusz,Angela,38
Boring,None,Xi,Billy,Angela,50
Fun,HipHop,Janek,Qiong,Angela,473
Boring,Techno,Janek,Eva,Joe,343
Boring,Rock,Alex,Janusz,Angela,438
Fun,None,Sonya,Qiong,Manny,130
Fun,Techno,Janek,Janusz,Vladimir,182
ItwasOK,Classical,Alex,Janusz,Manny,419
Fun,HipHop,Janek,Eva,Manny,427
Fun,Classical,Janek,Eva,Joe,19
Boring,Techno,Janek,Billy,Manny,84
Fun,Techno,Katya,Eva,Vladimir,324
Boring,None,Alex,Eva,Angela,117
Boring,Techno,Janek,Janusz,Angela,408
Boring,Techno,Katya,Eva,Angela,283
Fun,Techno,Sonya,Qiong,Vladimir,248
Boring,Rock,Katya,Billy,Angela,23
Fun,None,Janek,Qiong,Manny,313
Boring,None,Xi,Ada,Angela,117
Boring,Classical,Xi,Janusz,Joe,185
Fun,Classical,Janek,Ada,Manny,439
Fun,Classical,Katya,Janusz,Vladimir,29
Boring,Rock,Xi,Eva,Angela,470
Fun,HipHop,Sonya,Ada,Vladimir,138
Boring,Rock,Janek,Qiong,Manny,2
ItwasOK,Classical,Janek,Qiong,Joe,448
Boring,None,Xi,Qiong,Angela,77
Boring,None,Katya,Janusz,Angela,281
Fun,None,Sonya,Eva,Manny,296
Fun,None,Katya,Eva,Manny,104
Fun,None,Sonya,Ada,Vladimir,314
Fun,Classical,Alex,Janusz,Joe,61
Boring,None,Katya,Janusz,Manny,355
ItwasOK,Rock,Sonya,Qiong,Manny,396
Fun,Classical,Xi,Eva,Vladimir,213
ItwasOK,HipHop,Katya,Janusz,Joe,162
Boring,Rock,Xi,Billy,Joe,152
Fun,Classical,Janek,Qiong,Vladimir,432
Fun,None,Xi,Janusz,Vladimir,422
Fun,Rock,Katya,Billy,Vladimir,372
Boring,Rock,Alex,Billy,Angela,18
Boring,Rock,Xi,Eva,Manny,103
Fun,None,Sonya,Ada,Vladimir,247
Boring,Rock,Sonya,Qiong,Angela,495
Boring,Techno,Alex,Ada,Joe,128
Boring,Classical,Sonya,Eva,Angela,38
ItwasOK,None,Janek,Qiong,Manny,258
Boring,None,Alex,Eva,Angela,223
Boring,Techno,Sonya,Ada,Manny,123
Boring,Classical,Katya,Ada,Angela,372
Boring,None,Sonya,Janusz,Joe,436
Fun,HipHop,Janek,Eva,Angela,496
ItwasOK,Techno,Sonya,Ada,Joe,222
Fun,HipHop,Alex,Ada,Vladimir,102
Boring,Classical,Janek,Billy,Angela,444
ItwasOK,Techno,Katya,Billy,Manny,357
Boring,HipHop,Xi,Eva,Angela,19
Boring,Classical,Sonya,Eva,Angela,127
Fun,None,Sonya,Janusz,Vladimir,136
Fun,None,Xi,Qiong,Vladimir,292
ItwasOK,Classical,Alex,Qiong,Joe,487
Boring,Rock,Janek,Eva,Angela,364
Fun,Rock,Janek,Janusz,Vladimir,157
Fun,Classical,Alex,Janusz,Vladimir,333
Fun,HipHop,Sonya,Qiong,Joe,415
Boring,Classical,Xi,Ada,Manny,436
Boring,Rock,Xi,Eva,Angela,38
Fun,HipHop,Katya,Ada,Vladimir,433
Fun,HipHop,Janek,Ada,Joe,343
Fun,HipHop,Katya,Ada,Angela,441
Fun,None,Alex,Qiong,Vladimir,362
Fun,Classical,Xi,Eva,Vladimir,304
Boring,Rock,Janek,Eva,Angela,213
Boring,HipHop,Sonya,Eva,Angela,138
Fun,Rock,Alex,Billy,Joe,64
Boring,Classical,Xi,Eva,Joe,120
Boring,None,Katya,Billy,Manny,49
ItwasOK,HipHop,Katya,Ada,Joe,138
Boring,None,Alex,Ada,Angela,127
Fun,Classical,Alex,Eva,Vladimir,86
Fun,Rock,Janek,Billy,Joe,69
Boring,Techno,Janek,Billy,Angela,223
Boring,Techno,Janek,Eva,Angela,472
Fun,Classical,Alex,Janusz,Vladimir,194
Fun,HipHop,Alex,Ada,Vladimir,44
Boring,Rock,Janek,Qiong,Angela,187
Fun,None,Katya,Billy,Joe,341
Boring,Techno,Janek,Eva,Manny,85
Fun,Rock,Sonya,Billy,Joe,344
Boring,None,Sonya,Qiong,Angela,434
Boring,None,Katya,Qiong,Angela,452
Boring,Rock,Katya,Ada,Manny,260
Boring,Techno,Alex,Qiong,Angela,110
Boring,Techno,Janek,Ada,Angela,120
Boring,Classical,Alex,Billy,Angela,305
Boring,Techno,Alex,Ada,Angela,215
Fun,Rock,Sonya,Qiong,Joe,58
ItwasOK,Rock,Katya,Janusz,Manny,450
Fun,None,Alex,Billy,Manny,392
Boring,None,Katya,Qiong,Angela,39
Boring,None,Alex,Eva,Manny,258
Fun,HipHop,Sonya,Janusz,Vladimir,463
Boring,Classical,Xi,Ada,Angela,474
Fun,HipHop,Janek,Eva,Joe,248
Fun,HipHop,Sonya,Janusz,Joe,44
Fun,HipHop,Katya,Janusz,Angela,286
Fun,HipHop,Xi,Billy,Vladimir,210
Boring,Classical,Janek,Eva,Joe,57
Boring,Rock,Janek,Ada,Manny,38
Boring,None,Alex,Janusz,Angela,189
Fun,None,Sonya,Ada,Vladimir,129
Fun,Classical,Alex,Eva,Vladimir,338
Fun,Rock,Alex,Billy,Manny,172
Boring,None,Janek,Janusz,Joe,216
Fun,HipHop,Alex,Ada,Vladimir,405
Boring,Rock,Sonya,Qiong,Manny,315
ItwasOK,HipHop,Katya,Billy,Manny,10
ItwasOK,None,Sonya,Ada,Joe,480
Boring,Techno,Sonya,Janusz,Angela,171
ItwasOK,Rock,Alex,Qiong,Manny,318
Boring,None,Alex,Qiong,Manny,389
ItwasOK,None,Sonya,Janusz,Manny,480
ItwasOK,Classical,Janek,Ada,Joe,265
Fun,None,Katya,Qiong,Joe,45
Fun,HipHop,Alex,Eva,Angela,206
Fun,Techno,Katya,Eva,Manny,283
Boring,None,Xi,Ada,Angela,478
Boring,HipHop,Sonya,Billy,Angela,23
Fun,Techno,Alex,Janusz,Vladimir,440
Fun,None,Sonya,Billy,Vladimir,419
Boring,Techno,Xi,Ada,Angela,110
Fun,Rock,Janek,Billy,Vladimir,97
Boring,Rock,Katya,Billy,Angela,211
Boring,Rock,Xi,Qiong,Joe,315
ItwasOK,Techno,Janek,Ada,Joe,368
Boring,Rock,Janek,Qiong,Joe,151
Fun,HipHop,Katya,Billy,Joe,213
Fun,Classical,Sonya,Eva,Vladimir,181
Fun,Techno,Janek,Billy,Manny,178
Fun,HipHop,Katya,Janusz,Manny,381
Fun,Techno,Sonya,Qiong,Vladimir,124
Fun,Rock,Alex,Ada,Vladimir,20
Fun,Techno,Xi,Ada,Vladimir,428
Boring,None,Sonya,Billy,Angela,22
Fun,Classical,Janek,Eva,Manny,371
Fun,Classical,Sonya,Ada,Vladimir,207
Fun,HipHop,Katya,Billy,Angela,477
Boring,Techno,Xi,Qiong,Angela,183
Boring,Classical,Katya,Qiong,Manny,285
Boring,HipHop,Xi,Eva,Joe,411
Fun,HipHop,Xi,Janusz,Vladimir,28
ItwasOK,Rock,Janek,Ada,Manny,301
Boring,HipHop,Xi,Janusz,Joe,310
Fun,None,Alex,Janusz,Vladimir,344
Boring,Rock,Xi,Ada,Manny,401
Boring,None,Alex,Ada,Angela,78
Boring,HipHop,Katya,Ada,Angela,147
ItwasOK,None,Katya,Qiong,Manny,6
Fun,Classical,Sonya,Janusz,Vladimir,121
Boring,None,Sonya,Ada,Manny,58
Boring,Techno,Katya,Ada,Manny,400
Fun,None,Alex,Qiong,Vladimir,94
Boring,Classical,Sonya,Qiong,Angela,167
Boring,HipHop,Janek,Eva,Angela,143
Boring,HipHop,Janek,Janusz,Joe,84
Fun,Classical,Janek,Billy,Manny,273
Fun,HipHop,Katya,Billy,Manny,44
Boring,None,Alex,Eva,Angela,287
Boring,Classical,Janek,Janusz,Angela,141
Fun,Techno,Xi,Janusz,Vladimir,75
Fun,HipHop,Katya,Eva,Manny,218
Boring,Classical,Xi,Billy,Angela,192
Boring,Techno,Xi,Ada,Joe,477
Boring,Rock,Katya,Eva,Angela,80
Boring,HipHop,Xi,Eva,Manny,209
Boring,Rock,Sonya,Eva,Joe,211
Fun,HipHop,Janek,Eva,Manny,346
Boring,Classical,Xi,Janusz,Manny,323
Fun,HipHop,Katya,Ada,Vladimir,332
Boring,None,Janek,Billy,Angela,324
Boring,HipHop,Katya,Janusz,Angela,20
Boring,Classical,Janek,Janusz,Angela,155
Boring,Classical,Janek,Qiong,Angela,397
ItwasOK,HipHop,Sonya,Eva,Manny,72
Boring,None,Sonya,Qiong,Angela,223
ItwasOK,None,Katya,Eva,Manny,278
Boring,None,Sonya,Janusz,Manny,451
Fun,HipHop,Sonya,Janusz,Angela,324
Fun,Rock,Katya,Billy,Vladimir,479
ItwasOK,Rock,Alex,Qiong,Manny,137
Boring,Classical,Sonya,Qiong,Angela,185
Boring,Classical,Alex,Qiong,Angela,231
Fun,Classical,Alex,Qiong,Vladimir,237
Boring,Classical,Xi,Janusz,Angela,279
Fun,HipHop,Janek,Ada,Vladimir,125
Boring,Techno,Xi,Eva,Manny,189
Fun,None,Katya,Eva,Joe,202
