Dealership,Season,Car,Buyer,Buyer_Age
LA,Spring,Jeep,Female,41
Philladephia,Spring,Toyota,Female,50
Seattle,Summer,Kia,Male,74
Seattle,Winter,Chevrolet,Male,55
San Antonio,Fall,GMC,Female,65
NYC,Winter,GMC,Female,37
Austin,Winter,Chevrolet,Male,18
San Antonio,Fall,Nissan,Male,32
Austin,Fall,Ram,Male,62
Phoenix,Spring,Kia,Female,44
Columbus,Fall,Jeep,Male,51
Philladephia,Fall,GMC,Female,29
NYC,Fall,Kia,Male,55
Chicago,Winter,Ram,Male,50
NYC,Summer,Jeep,Female,27
NYC,Winter,Hyundai,Male,21
Austin,Summer,Jeep,Male,32
NYC,Summer,Chevrolet,Male,29
Phoenix,Summer,Chevrolet,Male,63
San Antonio,Spring,Nissan,Male,43
LA,Winter,Subaru,Female,24
LA,Spring,Kia,Male,19
Columbus,Spring,Honda,Female,77
San Antonio,Fall,Ram,Male,56
LA,Fall,GMC,Female,18
San Diego,Fall,Kia,Female,59
San Diego,Spring,GMC,Female,50
Chicago,Winter,Nissan,Female,60
Columbus,Winter,Ford,Female,67
Austin,Spring,Subaru,Male,44
San Antonio,Summer,Jeep,Male,25
Chicago,Fall,Nissan,Female,47
Columbus,Spring,Nissan,Male,26
LA,Fall,Jeep,Female,32
Columbus,Winter,GMC,Female,62
Columbus,Fall,Chevrolet,Female,57
San Diego,Winter,Toyota,Female,23
Philladephia,Fall,Honda,Female,80
LA,Fall,Jeep,Female,44
Austin,Summer,Jeep,Male,54
Seattle,Winter,Subaru,Male,55
Phoenix,Fall,Kia,Female,32
NYC,Winter,GMC,Female,43
Philladephia,Summer,Chevrolet,Male,36
NYC,Spring,Chevrolet,Male,22
NYC,Summer,Subaru,Female,26
Houston,Summer,Subaru,Male,80
San Antonio,Spring,Kia,Female,18
Phoenix,Winter,GMC,Female,31
NYC,Fall,Subaru,Male,62
San Diego,Summer,Toyota,Male,75
LA,Fall,Honda,Male,38
Austin,Summer,Subaru,Female,18
Phoenix,Summer,Kia,Male,76
NYC,Summer,Kia,Male,43
Philladephia,Spring,Jeep,Male,54
Phoenix,Spring,Ford,Female,55
San Diego,Spring,Honda,Female,49
Phoenix,Spring,Ram,Male,34
San Diego,Fall,Honda,Female,43
San Diego,Fall,Jeep,Male,70
Columbus,Winter,Nissan,Male,34
Columbus,Spring,Toyota,Female,54
LA,Fall,GMC,Male,51
Seattle,Winter,Hyundai,Male,34
Chicago,Spring,Honda,Female,70
Columbus,Spring,Hyundai,Female,56
NYC,Winter,Jeep,Female,41
Philladephia,Summer,Ram,Female,63
Chicago,Spring,Jeep,Male,31
Philladephia,Winter,Kia,Female,49
LA,Fall,Ram,Male,54
San Antonio,Fall,Nissan,Male,69
San Antonio,Fall,Subaru,Female,33
NYC,Spring,Kia,Male,61
NYC,Winter,Ford,Female,45
Houston,Spring,Jeep,Female,47
Austin,Spring,Hyundai,Female,43
Houston,Summer,Honda,Male,72
Chicago,Winter,Jeep,Male,57
Houston,Fall,Chevrolet,Male,27
LA,Summer,Ford,Female,22
San Diego,Fall,Toyota,Female,61
San Antonio,Spring,Toyota,Female,70
San Antonio,Fall,Ford,Male,34
San Diego,Winter,Chevrolet,Male,56
San Antonio,Winter,Jeep,Female,71
Philladephia,Winter,Nissan,Male,71
Columbus,Fall,Kia,Male,38
San Antonio,Fall,Nissan,Male,69
San Diego,Spring,Nissan,Male,74
LA,Winter,Ram,Female,23
Columbus,Fall,Ford,Male,31
Columbus,Winter,Subaru,Male,41
Chicago,Summer,Kia,Male,37
San Antonio,Winter,Jeep,Male,29
Columbus,Fall,Subaru,Male,28
LA,Winter,Honda,Male,49
Columbus,Fall,Jeep,Female,23
San Antonio,Winter,Chevrolet,Male,50
Seattle,Fall,Ford,Male,63
Seattle,Fall,GMC,Female,66
Seattle,Spring,Toyota,Male,36
LA,Summer,Jeep,Female,18
Philladephia,Fall,Ford,Male,66
San Antonio,Winter,Jeep,Female,45
Seattle,Summer,Nissan,Female,47
Philladephia,Summer,Chevrolet,Female,36
Philladephia,Winter,Toyota,Female,41
Phoenix,Summer,Ford,Female,20
San Antonio,Spring,Toyota,Female,64
NYC,Spring,Toyota,Male,76
Austin,Fall,Hyundai,Male,19
LA,Summer,Subaru,Male,49
Philladephia,Summer,GMC,Female,80
LA,Spring,GMC,Male,71
Austin,Summer,GMC,Male,60
Chicago,Winter,Hyundai,Female,27
Philladephia,Winter,Subaru,Female,24
Chicago,Fall,Subaru,Male,40
Philladephia,Winter,Hyundai,Female,28
Seattle,Winter,GMC,Male,41
Houston,Spring,Ford,Male,67
Phoenix,Fall,GMC,Female,45
LA,Summer,Jeep,Female,56
Chicago,Summer,Subaru,Male,58
Seattle,Summer,GMC,Male,66
Chicago,Spring,Toyota,Female,74
San Antonio,Fall,Ford,Female,23
Columbus,Fall,Jeep,Male,52
Chicago,Winter,Jeep,Male,20
Philladephia,Spring,Hyundai,Female,80
Philladephia,Winter,Ram,Female,72
Chicago,Winter,Honda,Male,67
Houston,Spring,Hyundai,Male,66
LA,Fall,Ram,Male,71
Chicago,Winter,GMC,Male,58
Seattle,Summer,GMC,Male,41
Seattle,Spring,Ram,Female,20
Houston,Fall,Subaru,Female,27
San Diego,Summer,Subaru,Female,50
San Antonio,Winter,Ford,Female,52
Austin,Summer,Kia,Male,61
Austin,Summer,Chevrolet,Male,80
Columbus,Summer,Nissan,Female,71
NYC,Spring,Hyundai,Male,18
Austin,Winter,Ram,Female,50
Chicago,Fall,Subaru,Male,73
Seattle,Summer,Ford,Male,40
Phoenix,Fall,Jeep,Female,59
Philladephia,Fall,Toyota,Female,20
San Diego,Winter,GMC,Female,38
Seattle,Summer,Jeep,Male,32
Seattle,Spring,Subaru,Male,23
Philladephia,Winter,Toyota,Male,24
San Diego,Summer,Kia,Male,45
Phoenix,Winter,Toyota,Female,27
Phoenix,Winter,Jeep,Female,74
Columbus,Winter,Hyundai,Female,49
San Antonio,Summer,Honda,Male,78
Columbus,Winter,Hyundai,Female,30
Columbus,Fall,Honda,Male,22
NYC,Fall,Chevrolet,Male,67
San Antonio,Summer,Nissan,Male,31
Chicago,Summer,Nissan,Female,55
LA,Summer,Kia,Female,25
San Diego,Summer,Chevrolet,Male,61
LA,Winter,Hyundai,Male,79
San Diego,Winter,Jeep,Male,32
San Antonio,Fall,GMC,Female,65
San Antonio,Summer,Honda,Male,29
San Antonio,Summer,Toyota,Female,46
Houston,Fall,Subaru,Female,75
Phoenix,Spring,Ram,Male,51
San Antonio,Winter,Subaru,Female,47
San Antonio,Fall,Toyota,Female,44
San Antonio,Spring,GMC,Female,56
LA,Fall,Honda,Female,73
Seattle,Summer,Nissan,Female,63
Houston,Fall,Kia,Female,30
Seattle,Winter,Jeep,Male,27
San Antonio,Spring,GMC,Female,64
Phoenix,Winter,Subaru,Male,24
LA,Summer,Ford,Female,44
Philladephia,Spring,GMC,Female,77
Austin,Winter,Honda,Female,42
LA,Fall,Ram,Male,64
Phoenix,Winter,Honda,Male,26
LA,Spring,Nissan,Male,46
Austin,Summer,Jeep,Female,43
San Antonio,Spring,Ram,Female,58
San Diego,Winter,Chevrolet,Male,49
LA,Winter,GMC,Male,79
San Antonio,Summer,Honda,Female,34
Columbus,Spring,Kia,Male,52
San Diego,Winter,Subaru,Male,32
NYC,Spring,Toyota,Female,68
Austin,Summer,Chevrolet,Male,23
NYC,Spring,Nissan,Male,44
LA,Fall,Chevrolet,Female,53
Philladephia,Winter,Subaru,Male,39
Chicago,Winter,Kia,Male,39
Seattle,Spring,Ford,Male,41
Austin,Spring,Honda,Male,51
Austin,Fall,Honda,Female,73
Phoenix,Winter,Chevrolet,Female,29
Seattle,Fall,GMC,Male,58
Houston,Fall,Hyundai,Female,56
San Diego,Winter,Hyundai,Female,61
LA,Spring,Kia,Female,66
Columbus,Winter,Chevrolet,Female,41
Philladephia,Spring,Jeep,Female,53
Philladephia,Summer,Ford,Female,70
Seattle,Fall,Ford,Male,35
LA,Summer,Honda,Female,18
LA,Spring,Ford,Female,71
San Diego,Spring,Kia,Female,31
LA,Summer,Ram,Female,38
Phoenix,Spring,Kia,Male,61
Columbus,Spring,Honda,Male,31
San Antonio,Fall,Nissan,Female,62
NYC,Spring,Hyundai,Female,68
Phoenix,Fall,Toyota,Female,57
San Antonio,Fall,Ford,Male,23
Chicago,Winter,Nissan,Male,64
Philladephia,Spring,Ford,Male,53
San Antonio,Winter,Kia,Male,66
LA,Spring,Ram,Female,34
Columbus,Spring,Hyundai,Male,35
Austin,Spring,Kia,Female,75
LA,Fall,Subaru,Female,72
Philladephia,Fall,Toyota,Male,45
Phoenix,Winter,Jeep,Male,44
Philladephia,Winter,Toyota,Female,47
NYC,Spring,Jeep,Male,63
Chicago,Winter,Ford,Male,36
Phoenix,Winter,Chevrolet,Male,42
San Antonio,Winter,Jeep,Male,72
Chicago,Fall,Jeep,Male,23
San Diego,Summer,Subaru,Female,45
San Antonio,Summer,Ram,Female,61
LA,Spring,Subaru,Male,44
Chicago,Fall,GMC,Female,45
Columbus,Summer,Jeep,Female,48
Seattle,Winter,Subaru,Female,35
LA,Summer,Nissan,Male,47
NYC,Winter,Toyota,Male,52
San Diego,Fall,Kia,Female,50
Philladephia,Fall,Hyundai,Female,28
Chicago,Summer,Jeep,Male,43
NYC,Summer,Chevrolet,Male,33
Austin,Spring,Ram,Male,59
Phoenix,Fall,Jeep,Male,76
San Antonio,Summer,Hyundai,Male,36
Austin,Fall,GMC,Female,33
Phoenix,Spring,Jeep,Female,30
NYC,Summer,Honda,Female,32
Houston,Spring,Jeep,Female,39
LA,Fall,GMC,Male,45
Chicago,Spring,GMC,Male,24
NYC,Summer,Nissan,Male,69
Columbus,Winter,Nissan,Female,45
LA,Summer,Subaru,Female,75
Philladephia,Winter,Chevrolet,Male,27
Columbus,Fall,Hyundai,Female,48
NYC,Winter,Hyundai,Female,68
Philladephia,Fall,Chevrolet,Female,69
San Antonio,Fall,GMC,Male,44
LA,Summer,Jeep,Male,37
Chicago,Summer,Honda,Female,40
Philladephia,Winter,GMC,Female,34
Austin,Spring,Ram,Male,74
Columbus,Fall,Honda,Female,66
Houston,Winter,Hyundai,Male,61
Columbus,Spring,GMC,Female,68
Seattle,Spring,Kia,Female,36
Austin,Summer,Toyota,Male,64
San Diego,Fall,Ford,Female,29
San Diego,Winter,Hyundai,Female,57
Seattle,Fall,Ram,Female,36
Houston,Spring,Ram,Female,72
San Antonio,Fall,Hyundai,Female,45
NYC,Summer,Kia,Female,21
Phoenix,Winter,Toyota,Male,61
Seattle,Spring,Nissan,Female,59
LA,Summer,Nissan,Female,47
San Antonio,Summer,Ram,Male,65
San Antonio,Summer,Hyundai,Male,79
LA,Spring,Honda,Male,52
Columbus,Spring,Subaru,Female,65
Houston,Summer,GMC,Female,32
Austin,Fall,Jeep,Male,60
NYC,Fall,Subaru,Female,25
Chicago,Summer,Kia,Female,32
Columbus,Summer,Nissan,Female,77
Chicago,Winter,Ford,Female,26
LA,Spring,Subaru,Male,26
Chicago,Fall,Hyundai,Female,26
Houston,Summer,Hyundai,Female,46
Philladephia,Fall,Toyota,Male,46
Seattle,Summer,Chevrolet,Male,64
Columbus,Winter,Toyota,Female,54
San Antonio,Winter,GMC,Female,75
Chicago,Summer,Honda,Female,33
Seattle,Winter,Chevrolet,Female,42
San Diego,Fall,Ram,Female,38
San Diego,Winter,Hyundai,Female,37
Chicago,Fall,Ram,Female,18
Phoenix,Summer,Ram,Male,28
Austin,Fall,Kia,Female,41
Columbus,Summer,Ford,Female,57
San Diego,Winter,Ford,Male,65
Columbus,Summer,Chevrolet,Male,76
San Diego,Spring,Jeep,Male,36
Austin,Winter,Subaru,Female,40
Austin,Spring,Chevrolet,Male,58
Columbus,Fall,Honda,Male,50
San Antonio,Fall,Honda,Female,52
Phoenix,Spring,Hyundai,Male,39
Columbus,Winter,Nissan,Male,74
Columbus,Winter,Toyota,Female,38
Philladephia,Winter,Chevrolet,Female,58
Austin,Winter,Honda,Female,64
San Antonio,Winter,Honda,Female,34
Columbus,Spring,Nissan,Male,76
LA,Summer,Nissan,Male,49
LA,Winter,Hyundai,Male,34
Seattle,Summer,Jeep,Female,33
Seattle,Spring,Kia,Male,69
NYC,Fall,Jeep,Female,78
NYC,Fall,Jeep,Male,75
NYC,Summer,GMC,Female,42
Houston,Spring,Hyundai,Female,20
Chicago,Fall,GMC,Male,43
Houston,Spring,Nissan,Male,66
Columbus,Summer,Hyundai,Male,49
LA,Summer,Ford,Male,45
Chicago,Summer,Honda,Female,45
LA,Summer,Nissan,Female,77
San Diego,Winter,Chevrolet,Male,57
Columbus,Summer,Nissan,Female,26
Columbus,Summer,Honda,Male,74
Seattle,Summer,Toyota,Male,71
Philladephia,Fall,GMC,Male,67
San Antonio,Fall,Subaru,Female,74
NYC,Summer,Chevrolet,Male,75
Phoenix,Fall,Toyota,Female,54
Houston,Summer,Jeep,Female,27
Chicago,Fall,Hyundai,Male,20
Columbus,Winter,Kia,Male,71
Phoenix,Summer,Hyundai,Male,46
San Diego,Summer,Subaru,Female,47
Philladephia,Spring,GMC,Female,72
Phoenix,Winter,Ram,Male,71
Seattle,Summer,Honda,Male,35
NYC,Summer,Ford,Female,49
Phoenix,Summer,Chevrolet,Female,28
NYC,Spring,Hyundai,Female,70
Austin,Fall,Honda,Male,73
NYC,Winter,Hyundai,Male,27
Seattle,Summer,Nissan,Female,36
LA,Spring,Ford,Male,52
Philladephia,Winter,Nissan,Female,18
LA,Winter,Nissan,Female,27
San Diego,Winter,Nissan,Male,40
San Diego,Winter,GMC,Male,22
Austin,Winter,Ram,Female,62
Philladephia,Summer,Kia,Male,75
Austin,Winter,Toyota,Male,72
NYC,Summer,Jeep,Male,73
Philladephia,Spring,Honda,Female,57
NYC,Fall,Jeep,Female,38
Columbus,Winter,Chevrolet,Male,57
Seattle,Summer,GMC,Female,45
Chicago,Summer,Ford,Male,34
Chicago,Spring,Chevrolet,Female,58
Chicago,Summer,Nissan,Male,35
Austin,Summer,Honda,Female,79
San Diego,Summer,Nissan,Male,36
Columbus,Fall,Hyundai,Female,50
San Antonio,Winter,Hyundai,Male,35
San Diego,Spring,Hyundai,Male,61
San Diego,Summer,Nissan,Male,41
LA,Winter,Jeep,Male,67
Houston,Winter,Ford,Female,77
Columbus,Spring,Ram,Male,25
NYC,Spring,Ram,Male,20
LA,Spring,GMC,Female,75
San Diego,Winter,Toyota,Female,22
Seattle,Spring,Ram,Female,26
San Antonio,Fall,Toyota,Female,21
Austin,Spring,Jeep,Male,73
Columbus,Winter,Nissan,Male,44
Chicago,Summer,Chevrolet,Male,21
NYC,Summer,Honda,Male,42
NYC,Fall,Hyundai,Female,56
Columbus,Winter,GMC,Male,49
Houston,Spring,Nissan,Male,67
LA,Winter,Kia,Male,39
Phoenix,Winter,Ford,Male,77
San Diego,Summer,Ford,Female,33
LA,Fall,Jeep,Female,67
NYC,Spring,Ram,Male,19
Chicago,Fall,Chevrolet,Male,19
NYC,Spring,Hyundai,Male,27
San Antonio,Fall,GMC,Male,42
Austin,Fall,GMC,Male,77
Houston,Summer,Toyota,Male,67
Phoenix,Spring,Nissan,Male,51
Houston,Summer,Kia,Male,76
Columbus,Fall,GMC,Male,56
Seattle,Winter,Ford,Female,18
Philladephia,Fall,Nissan,Female,29
Philladephia,Summer,Honda,Female,19
Austin,Fall,Subaru,Male,44
LA,Fall,Hyundai,Female,56
NYC,Summer,GMC,Male,40
LA,Summer,Toyota,Male,18
Columbus,Winter,Chevrolet,Female,46
Phoenix,Spring,Hyundai,Male,65
Philladephia,Winter,Subaru,Male,54
Phoenix,Winter,Chevrolet,Female,26
Austin,Winter,Ram,Male,31
Columbus,Spring,Ford,Male,36
San Antonio,Spring,Nissan,Female,24
Austin,Fall,Hyundai,Female,46
San Diego,Winter,Hyundai,Male,22
San Diego,Summer,Toyota,Female,64
Seattle,Summer,Chevrolet,Female,22
LA,Fall,Ford,Female,19
Phoenix,Fall,Nissan,Male,69
Houston,Winter,Jeep,Male,53
Seattle,Fall,Honda,Female,58
Austin,Winter,Nissan,Female,39
San Diego,Winter,Kia,Male,71
LA,Summer,Honda,Male,65
Philladephia,Summer,Ford,Male,77
NYC,Spring,Kia,Female,67
Philladephia,Spring,Toyota,Male,26
Seattle,Winter,Nissan,Male,69
San Diego,Spring,GMC,Male,46
Chicago,Spring,Ford,Female,61
Philladephia,Summer,Kia,Male,18
San Diego,Summer,Chevrolet,Female,80
Philladephia,Summer,Subaru,Male,46
Seattle,Winter,Jeep,Male,49
San Diego,Winter,Jeep,Female,38
LA,Summer,GMC,Female,66
Seattle,Summer,Nissan,Female,32
San Antonio,Spring,Honda,Female,27
Chicago,Summer,Ford,Male,23
NYC,Spring,Hyundai,Female,71
NYC,Spring,Jeep,Female,22
Chicago,Spring,Kia,Male,25
San Diego,Winter,Jeep,Male,64
Austin,Winter,Subaru,Male,33
LA,Spring,Chevrolet,Female,68
NYC,Summer,Ford,Male,68
San Diego,Fall,Ram,Female,72
NYC,Fall,Chevrolet,Female,38
LA,Winter,GMC,Female,30
Chicago,Summer,Hyundai,Male,56
Chicago,Summer,Ram,Female,46
Seattle,Spring,Nissan,Male,70
Columbus,Winter,Jeep,Male,59
Phoenix,Winter,Ram,Male,40
Chicago,Fall,GMC,Male,33
Philladephia,Winter,Jeep,Male,64
Austin,Spring,Chevrolet,Female,23
San Diego,Spring,Nissan,Female,58
Seattle,Fall,GMC,Male,70
Austin,Summer,Chevrolet,Male,41
LA,Spring,Chevrolet,Female,51
San Diego,Spring,Ram,Male,52
Austin,Winter,Hyundai,Male,50
San Diego,Summer,Toyota,Female,19
Houston,Spring,Kia,Female,68
Houston,Fall,Jeep,Female,43
San Antonio,Fall,Hyundai,Male,56
Philladephia,Spring,Ford,Female,40
LA,Fall,Jeep,Female,79
Columbus,Fall,Ram,Male,69
LA,Winter,Nissan,Female,24
Austin,Fall,Ford,Male,48
San Diego,Winter,Toyota,Male,71
San Diego,Summer,Subaru,Female,32
Philladephia,Fall,Nissan,Female,60
Austin,Spring,Chevrolet,Male,77
San Diego,Winter,Honda,Male,22
Austin,Winter,Kia,Female,52
NYC,Fall,Jeep,Female,52
LA,Winter,Nissan,Female,46
Houston,Winter,Jeep,Male,25
Philladephia,Winter,Chevrolet,Female,28
San Diego,Fall,Chevrolet,Female,61
Seattle,Spring,Chevrolet,Male,62
San Diego,Winter,Subaru,Female,79
Columbus,Summer,Ram,Female,69
NYC,Fall,Chevrolet,Male,18
Austin,Spring,GMC,Male,43
Chicago,Fall,Ford,Male,34
Phoenix,Summer,Ram,Female,52
Columbus,Winter,Jeep,Female,34
Phoenix,Summer,Kia,Female,71
Houston,Spring,Chevrolet,Female,36
Chicago,Summer,Ford,Female,45
San Diego,Winter,Honda,Male,46
NYC,Fall,Chevrolet,Female,58
San Antonio,Winter,Toyota,Male,18
Seattle,Fall,Jeep,Female,43
San Antonio,Fall,Chevrolet,Male,24
Seattle,Fall,Subaru,Female,57
Austin,Fall,Toyota,Male,42
San Diego,Summer,Subaru,Female,54
Columbus,Fall,Ram,Male,44
Columbus,Summer,Honda,Female,59
Seattle,Fall,Honda,Male,75
Austin,Winter,Kia,Male,79
Columbus,Winter,Kia,Female,20
San Diego,Summer,Hyundai,Male,51
San Diego,Summer,Toyota,Male,65
LA,Fall,GMC,Male,67
Columbus,Winter,Ram,Male,74
Chicago,Spring,Ram,Female,79
Seattle,Fall,Toyota,Male,80
Chicago,Fall,Honda,Male,75
Philladephia,Winter,Honda,Female,67
Philladephia,Fall,Hyundai,Female,36
LA,Spring,Hyundai,Female,51
Phoenix,Spring,Subaru,Female,44
Houston,Spring,Honda,Female,38
Seattle,Winter,Ford,Female,69
NYC,Spring,GMC,Female,40
San Diego,Fall,Ford,Male,47
Phoenix,Fall,Ford,Male,21
Seattle,Summer,Ram,Male,44
Phoenix,Fall,Hyundai,Female,78
Columbus,Fall,Hyundai,Male,75
San Diego,Spring,Kia,Female,34
NYC,Fall,Honda,Female,79
Philladephia,Summer,Hyundai,Male,55
Houston,Spring,Jeep,Female,44
Philladephia,Summer,Nissan,Female,79
LA,Winter,Nissan,Female,73
Austin,Fall,Hyundai,Female,48
Austin,Summer,Honda,Female,25
San Antonio,Summer,Kia,Female,40
Houston,Fall,Chevrolet,Male,31
Seattle,Summer,Subaru,Male,19
Austin,Winter,Ford,Female,37
Philladephia,Spring,Nissan,Male,21
Phoenix,Fall,GMC,Female,36
Phoenix,Fall,Honda,Male,40
Seattle,Summer,Hyundai,Male,43
Phoenix,Fall,Honda,Female,56
NYC,Spring,Hyundai,Female,25
LA,Fall,Jeep,Male,59
Columbus,Fall,Subaru,Female,45
Chicago,Spring,Ram,Male,54
LA,Summer,Subaru,Male,20
Phoenix,Summer,Honda,Male,48
LA,Winter,GMC,Male,53
San Diego,Fall,Toyota,Female,60
San Antonio,Summer,Kia,Female,43
Philladephia,Summer,Ram,Male,74
Chicago,Fall,Ford,Female,24
Chicago,Summer,Hyundai,Male,49
Phoenix,Winter,Toyota,Female,25
LA,Fall,Chevrolet,Female,30
LA,Spring,Hyundai,Female,40
San Diego,Fall,Nissan,Female,36
San Antonio,Winter,Honda,Female,29
NYC,Spring,Ford,Male,50
LA,Fall,Toyota,Female,19
NYC,Winter,Jeep,Male,47
Columbus,Summer,Ford,Female,76
NYC,Fall,Ford,Male,76
Houston,Fall,Toyota,Male,51
Seattle,Spring,Honda,Male,36
Phoenix,Spring,Kia,Male,76
Houston,Spring,Subaru,Female,79
Seattle,Winter,Toyota,Female,66
Philladephia,Fall,Kia,Female,21
Austin,Fall,GMC,Male,29
San Diego,Summer,Ford,Female,25
Seattle,Winter,Toyota,Female,51
Philladephia,Fall,Subaru,Male,46
Seattle,Fall,GMC,Male,21
Austin,Summer,Hyundai,Female,67
Columbus,Fall,Chevrolet,Female,66
Philladephia,Spring,Kia,Male,53
San Antonio,Summer,Honda,Female,55
Chicago,Spring,Subaru,Male,42
Philladephia,Summer,Chevrolet,Female,35
Houston,Fall,Nissan,Female,21
Chicago,Fall,Toyota,Female,30
Philladephia,Fall,Hyundai,Female,29
Phoenix,Fall,Nissan,Male,55
NYC,Fall,Subaru,Male,27
Philladephia,Fall,Jeep,Male,54
Houston,Spring,Honda,Male,40
Houston,Winter,Kia,Female,32
Houston,Spring,Subaru,Male,63
Philladephia,Spring,GMC,Male,32
Phoenix,Winter,GMC,Female,29
NYC,Spring,Honda,Female,58
Houston,Spring,Hyundai,Male,78
LA,Summer,Subaru,Female,28
NYC,Summer,Hyundai,Female,43
Phoenix,Spring,Toyota,Female,63
Houston,Summer,Honda,Female,43
San Diego,Summer,Chevrolet,Male,21
LA,Spring,Ram,Female,63
San Antonio,Fall,Jeep,Female,78
San Diego,Spring,GMC,Female,20
NYC,Summer,Subaru,Male,44
San Antonio,Spring,Nissan,Female,59
Phoenix,Fall,Kia,Female,27
LA,Fall,Jeep,Female,43
Chicago,Summer,Jeep,Female,29
NYC,Winter,Chevrolet,Female,44
LA,Winter,Kia,Female,71
Columbus,Winter,Subaru,Female,52
Austin,Summer,Toyota,Male,71
Houston,Fall,Jeep,Female,23
Chicago,Spring,Toyota,Male,78
Austin,Winter,Ram,Male,75
Philladephia,Winter,GMC,Female,25
Seattle,Summer,Chevrolet,Male,33
Columbus,Fall,Ford,Female,42
Austin,Winter,Toyota,Female,80
Houston,Winter,Ford,Male,40
San Antonio,Summer,Honda,Female,23
Chicago,Spring,Chevrolet,Male,73
San Antonio,Winter,Hyundai,Female,22
NYC,Winter,Ford,Female,37
Philladephia,Fall,Subaru,Male,44
Seattle,Summer,Toyota,Male,29
Houston,Summer,Ford,Female,77
Chicago,Winter,Chevrolet,Female,73
San Antonio,Summer,Chevrolet,Male,53
Austin,Winter,Ford,Male,43
Philladephia,Fall,Toyota,Male,20
Seattle,Winter,Nissan,Male,22
San Diego,Fall,Honda,Male,45
Houston,Summer,Honda,Male,63
Columbus,Winter,Subaru,Male,29
San Antonio,Spring,Kia,Male,76
Phoenix,Fall,Jeep,Male,23
LA,Spring,Chevrolet,Female,66
Chicago,Spring,Subaru,Female,24
Phoenix,Winter,Ford,Female,20
LA,Summer,Honda,Male,45
Chicago,Fall,Subaru,Female,76
NYC,Winter,Subaru,Male,52
San Diego,Winter,Ram,Male,24
NYC,Spring,Kia,Female,22
NYC,Summer,Chevrolet,Male,51
LA,Winter,Subaru,Male,42
Chicago,Spring,Subaru,Female,49
San Antonio,Fall,Hyundai,Female,35
San Antonio,Winter,Jeep,Male,80
San Antonio,Winter,GMC,Male,27
Philladephia,Winter,Toyota,Male,75
NYC,Fall,GMC,Female,48
Austin,Winter,Kia,Female,76
San Diego,Fall,Ford,Female,60
San Diego,Fall,Subaru,Female,78
NYC,Spring,Kia,Male,42
Austin,Summer,Kia,Male,53
Chicago,Spring,Toyota,Female,20
Phoenix,Fall,Ram,Female,60
NYC,Winter,Ram,Female,27
Philladephia,Fall,Nissan,Female,42
Houston,Summer,Ram,Male,36
San Diego,Fall,Subaru,Male,38
Phoenix,Spring,Ram,Female,25
Houston,Spring,Toyota,Female,40
Columbus,Fall,Hyundai,Female,36
Chicago,Spring,GMC,Female,54
Philladephia,Fall,Jeep,Male,32
San Antonio,Spring,Kia,Male,29
Philladephia,Spring,Ram,Male,43
Houston,Spring,Ford,Female,26
NYC,Summer,Hyundai,Female,49
Philladephia,Spring,Chevrolet,Female,25
San Diego,Summer,Ford,Female,73
San Antonio,Summer,Nissan,Male,74
Columbus,Summer,Subaru,Female,38
LA,Spring,Kia,Female,48
Philladephia,Winter,Subaru,Male,72
San Antonio,Summer,Ram,Male,38
Houston,Fall,Jeep,Female,37
NYC,Fall,Kia,Female,51
LA,Spring,Hyundai,Male,60
Philladephia,Summer,Ram,Female,76
Philladephia,Winter,Hyundai,Female,49
Columbus,Spring,Honda,Male,65
Houston,Fall,Honda,Male,80
Houston,Summer,Honda,Female,36
Seattle,Spring,Ford,Female,58
San Diego,Spring,Kia,Male,40
Seattle,Spring,Ram,Male,31
NYC,Spring,Hyundai,Male,77
Phoenix,Spring,Ford,Female,55
Columbus,Summer,Nissan,Female,55
San Antonio,Winter,Jeep,Male,59
San Diego,Spring,Ram,Female,38
Austin,Fall,Kia,Female,75
NYC,Fall,Toyota,Female,48
San Antonio,Spring,Jeep,Female,27
San Antonio,Summer,Kia,Female,67
Seattle,Spring,Hyundai,Female,49
NYC,Winter,Hyundai,Female,48
Chicago,Summer,Ram,Male,33
Chicago,Summer,Jeep,Male,78
Seattle,Fall,Honda,Female,57
LA,Summer,Subaru,Male,39
Columbus,Summer,Ford,Female,72
Phoenix,Winter,Ford,Male,63
Austin,Fall,Kia,Male,48
San Antonio,Summer,Jeep,Male,21
Houston,Summer,Jeep,Female,44
LA,Spring,Chevrolet,Male,42
Phoenix,Winter,Nissan,Male,58
LA,Winter,Ford,Female,53
Phoenix,Fall,Subaru,Female,72
San Antonio,Fall,Subaru,Male,57
San Diego,Winter,Hyundai,Female,61
San Antonio,Spring,Hyundai,Male,30
Seattle,Spring,Ram,Female,59
Austin,Fall,Ford,Male,78
NYC,Spring,Kia,Male,25
Columbus,Winter,Toyota,Male,20
NYC,Summer,Nissan,Female,46
San Diego,Fall,Nissan,Male,72
Houston,Fall,Kia,Female,53
Philladephia,Winter,Toyota,Male,36
Columbus,Fall,Subaru,Male,45
Chicago,Winter,Ford,Female,54
Phoenix,Fall,Toyota,Female,47
Houston,Winter,Ford,Female,33
LA,Fall,Ford,Female,48
San Antonio,Summer,Jeep,Male,63
LA,Winter,GMC,Female,69
NYC,Winter,Ram,Male,23
Houston,Fall,GMC,Female,53
Columbus,Fall,Ram,Male,41
San Antonio,Spring,Chevrolet,Female,47
