"SCORE","GRADE","DOZES_OFF","TEXTING_IN_CLASS","PARTICIPATION"
32.03,"F","always","never",0.0733918213751167
17.08,"F","never","never",0.65
7.52,"F","sometimes","never",0.07
92.44,"A","never","rarely",0.83
61.78,"B","always","rarely",0.127701082732528
13.58,"F","always","rarely",0.0313975850585848
46.83,"D","always","rarely",0.180699122650549
64.29,"B","always","never",0.0394627301953733
39.35,"D","never","always",0.32
54.39,"C","never","never",0.05
50.25,"D","always","always",0.134640394244343
3.62,"F","never","always",0.81
43.3,"C","always","always",0.141910052718595
70.76,"B","sometimes","always",0.5
76.17,"A","always","always",0.268781226687133
87.36,"A","sometimes","rarely",0.98
91.26,"A","always","never",0.158002862380818
93.75,"A","never","never",0.91
81.28,"A","sometimes","never",1.03
84.37,"A","sometimes","always",1.01
90.36,"A","always","always",0.144684240687639
85.09,"A","never","never",1
84.71,"A","always","always",0.257458838960156
84.75,"A","never","never",0.94
86.25,"A","never","always",0.98
98.46,"A","sometimes","never",1.04
97.94,"A","never","never",1.07
86.1,"A","always","rarely",0.17499337666668
91.34,"A","sometimes","rarely",0.93
83.18,"A","sometimes","never",0.94
90.64,"A","sometimes","never",0.94
86.95,"A","never","rarely",1.05
98.8,"A","always","never",0.197840621415526
92.85,"A","always","always",0.16749929827638
90.34,"A","sometimes","never",1.06
99.15,"A","always","always",0.120411562733352
97.93,"A","always","rarely",0.128145511075854
83.15,"A","always","never",0.133088178234175
89.52,"A","never","rarely",0.98
87.47,"A","never","never",1.08
89.19,"A","sometimes","rarely",1.06
81.01,"A","sometimes","never",1.08
91.54,"A","never","always",0.98
86.84,"A","sometimes","never",0.94
98.38,"A","never","never",0.93
86.47,"A","never","never",0.95
98.78,"A","always","rarely",0.217639187676832
81.03,"A","always","always",0.203346296586096
94.83,"A","sometimes","never",0.98
88.28,"A","sometimes","rarely",1.05
84.92,"A","sometimes","never",0.98
94.58,"A","always","never",0.158813937520608
85.53,"A","always","always",0.125414377683774
99.44,"A","always","rarely",0.208733129920438
88.12,"A","sometimes","always",1.01
95.04,"A","always","rarely",0.210062441881746
94.06,"A","always","never",0.139581564860418
92.66,"A","never","never",0.97
90.84,"A","always","always",0.197252216516063
84.7,"A","never","rarely",1.03
85.88,"A","sometimes","always",1.02
85.19,"A","always","never",0.119180859997869
82.07,"A","sometimes","never",1.08
95.17,"A","always","always",0.270841147797182
86.74,"A","always","never",0.186439969064668
81.1,"A","sometimes","always",0.99
87.24,"A","never","never",0.97
90.65,"A","sometimes","never",0.92
95.01,"A","never","always",1.07
94.78,"A","always","always",0.156334254005924
