country,content,imdb_score,Gross,Budget,genre,DataMaker
USA,PG,5.97,High,High,Family,Survived
USA,PG-13,6.28,High,Medium,Action,LovedIt
USA,PG-13,5.65,High,High,Family,Quit
UK,PG-13,5.43,Low,Medium,Drama,Quit
France,PG-13,6.31,Medium,Medium,Comedy,FellAsleep
UK,R,10.1,High,Medium,Comedy,LikedIt
USA,R,7.75,High,High,History,Survived
USA,PG-13,6.24,High,Medium,Comedy,LovedIt
USA,PG,3.91,High,High,Family,Quit
USA,R,8.86,Medium,Medium,Action,LikedIt
Aruba,R,4.84,Medium,Medium,Comedy,Quit
USA,R,7.47,High,Medium,Comedy,Quit
USA,PG,5.69,Medium,Medium,Sci-Fi,Quit
USA,PG-13,5.56,Medium,Medium,Comedy,Survived
USA,PG,6.64,Medium,Medium,Comedy,FellAsleep
USA,PG,7.34,High,High,History,FellAsleep
USA,R,7.95,Medium,Low,Action,Quit
USA,R,8.16,High,Medium,Comedy,LovedIt
USA,PG-13,4.54,High,Medium,Action,Quit
UK,R,6.83,Low,Medium,Action,FellAsleep
USA,R,6.37,High,Medium,Action,LovedIt
USA,PG-13,5.9,Low,Low,History,Quit
USA,PG-13,6.02,High,High,Family,LovedIt
USA,R,5.43,High,High,Family,Quit
USA,PG-13,5.24,Medium,Medium,Drama,Quit
UK,G,3.67,Medium,Medium,Comedy,Quit
USA,R,7.22,High,Medium,History,Quit
UK,PG,5.58,Low,Medium,Comedy,FellAsleep
USA,R,6.72,Low,Low,Drama,Quit
USA,R,8.73,Low,Medium,Comedy,LikedIt
USA,PG,5.51,Medium,Low,Comedy,FellAsleep
USA,R,4.47,Medium,Medium,Comedy,Quit
USA,R,6.14,High,Low,Sci-Fi,LovedIt
USA,PG-13,6.42,Medium,Medium,Comedy,Quit
USA,PG-13,6.5,High,Medium,Comedy,Quit
USA,PG-13,5.53,High,High,Sci-Fi,Quit
USA,R,6.44,High,High,Family,LovedIt
USA,PG,6.21,High,Medium,Comedy,FellAsleep
USA,R,5.13,Low,Low,Drama,Quit
USA,PG-13,9.04,High,Medium,Action,LikedIt
USA,R,8.91,Medium,Low,History,Survived
USA,R,7.38,Low,Low,Drama,Survived
USA,R,6.35,High,High,Drama,FellAsleep
USA,R,6.57,High,Medium,Action,LovedIt
USA,G,6.41,High,Low,Sci-Fi,Quit
USA,R,6.91,Medium,Low,Sci-Fi,Quit
USA,R,6.68,High,High,Action,LovedIt
USA,PG-13,6.1,Medium,High,Action,Quit
USA,PG,5.35,Low,Medium,Sci-Fi,Quit
France,R,5.3,High,Low,Action,Quit
USA,PG,7.58,High,High,Family,Quit
USA,R,4.93,Low,Low,Drama,Quit
USA,R,9.29,Low,Low,Action,LikedIt
USA,PG-13,5.62,High,Medium,Comedy,Quit
France,R,10.14,High,Medium,Action,LikedIt
USA,PG,6.57,High,High,Family,LovedIt
USA,R,10.12,Low,Low,History,LikedIt
USA,PG-13,8.48,Medium,Medium,Comedy,LikedIt
USA,R,9.29,Low,Low,History,LikedIt
USA,PG,6.52,High,Medium,History,LovedIt
USA,PG,5.23,Medium,Medium,Comedy,FellAsleep
USA,R,7.71,Medium,Medium,Comedy,LovedIt
USA,PG-13,5.46,High,Medium,Comedy,Quit
USA,PG-13,5.89,Medium,High,Action,Quit
USA,R,7.69,Medium,Medium,History,Survived
USA,PG-13,6.97,Medium,Medium,Comedy,Quit
USA,PG-13,9.47,Medium,Medium,Sci-Fi,LikedIt
France,PG-13,6.58,Medium,Low,History,FellAsleep
USA,R,6.47,Low,Medium,Comedy,Quit
USA,R,6.11,Medium,High,Drama,Quit
USA,PG,8.2,Medium,High,Sci-Fi,FellAsleep
USA,PG-13,5.01,High,High,Family,Quit
USA,R,7.68,High,Low,Drama,LovedIt
USA,PG-13,5.58,Medium,Medium,Comedy,Quit
USA,R,6.67,Low,Medium,Drama,Quit
USA,PG-13,6.13,High,High,Action,Survived
USA,PG-13,5.49,High,High,Action,Quit
USA,R,6.07,High,Low,Drama,LovedIt
USA,PG,5.82,High,Medium,Comedy,FellAsleep
UK,R,9.47,Low,Medium,Action,LikedIt
USA,PG-13,6.32,High,High,Action,Survived
USA,PG,7.82,Medium,Medium,Comedy,FellAsleep
USA,R,10.16,Medium,High,Family,LikedIt
Canada,R,6.65,High,Medium,History,LovedIt
USA,PG-13,6.45,Medium,Medium,Comedy,FellAsleep
USA,R,6.62,Medium,Medium,Sci-Fi,Quit
USA,R,5.94,Medium,High,Family,LikedIt
USA,R,8,Medium,Medium,History,Survived
USA,PG-13,5.08,Medium,Medium,Drama,Quit
Hong Kong,R,7.45,Low,Medium,Action,Survived
USA,R,8.06,Low,Low,Drama,FellAsleep
Germany,R,4.9,Medium,High,Family,Quit
USA,PG-13,6.32,High,High,Action,FellAsleep
USA,R,4.96,Low,Medium,Comedy,Quit
USA,PG-13,6.47,Medium,High,Action,Quit
USA,R,7.2,High,High,Family,LovedIt
USA,PG,7.81,High,Medium,Comedy,FellAsleep
USA,R,7.91,Low,Low,History,Survived
USA,R,6.92,Low,Low,History,Quit
USA,R,8.32,Low,Low,History,Survived
USA,G,5.81,Low,Medium,Comedy,Quit
UK,R,7.8,Medium,Medium,Drama,Survived
USA,PG,6.65,Medium,Medium,Drama,Quit
UK,R,7.22,Low,Medium,Comedy,Quit
USA,PG,5.43,High,Medium,Comedy,FellAsleep
USA,R,6.7,Low,Medium,Comedy,FellAsleep
USA,PG,8.23,High,High,Family,LikedIt
UK,PG,6.85,High,High,Family,Quit
USA,PG-13,7.96,Low,Low,History,Survived
USA,R,6.59,High,High,Family,Quit
USA,R,8.93,Medium,Low,Drama,LikedIt
USA,PG-13,7.14,High,High,Action,Survived
USA,PG-13,2.81,Low,Medium,Action,Quit
France,R,8.59,Medium,High,History,LikedIt
UK,PG-13,8.27,Medium,Medium,History,Survived
Germany,PG-13,4.02,Medium,High,Family,Quit
USA,G,10.63,High,Medium,Comedy,LikedIt
USA,PG-13,4.43,Medium,Medium,Comedy,Quit
USA,PG-13,5.88,Medium,Medium,Drama,Quit
USA,PG-13,6.18,High,High,Action,Survived
USA,PG-13,4.93,Medium,High,Family,Quit
USA,PG-13,8.01,High,Low,History,LovedIt
Netherlands,R,9.81,Low,Medium,History,LikedIt
USA,PG-13,5.75,Medium,Medium,Comedy,Quit
Mexico,R,6.31,Low,Medium,Comedy,Survived
USA,R,7.08,High,Medium,Comedy,FellAsleep
USA,R,8.02,High,Medium,Comedy,LikedIt
USA,PG-13,5.4,Medium,High,Family,LikedIt
USA,R,6.16,High,Medium,Comedy,LovedIt
USA,PG-13,4.99,Medium,Medium,Drama,Quit
UK,PG,4.04,Medium,Medium,Comedy,FellAsleep
USA,PG,4.8,High,High,Family,Quit
UK,PG,6.88,High,Medium,Comedy,FellAsleep
Canada,R,6.39,Low,Medium,Comedy,FellAsleep
USA,G,8.1,High,High,Sci-Fi,Survived
USA,R,6.62,Medium,Medium,History,Quit
France,R,7.13,Low,Low,Comedy,Survived
Norway,PG-13,6.65,Low,Low,History,Survived
USA,PG-13,5.88,High,High,Family,Quit
UK,PG,3.79,High,High,Family,Quit
USA,R,7.85,High,Medium,Comedy,LovedIt
USA,R,6.29,High,Medium,Drama,Survived
Poland,PG-13,10.39,Low,Low,History,LikedIt
USA,R,6.05,Medium,Medium,Drama,Quit
USA,PG-13,7.1,Medium,Medium,History,FellAsleep
USA,R,5.33,Low,Medium,Comedy,Quit
USA,PG,6.94,High,Medium,Sci-Fi,LovedIt
USA,R,6.96,High,Medium,Comedy,Survived
USA,PG,10.46,Low,Low,History,LikedIt
USA,PG,8.58,High,Low,History,LovedIt
USA,PG-13,3.56,Medium,Low,Comedy,Quit
USA,R,7.04,High,High,Family,Quit
USA,PG,7.97,High,Medium,Comedy,FellAsleep
USA,PG-13,6.32,High,High,Family,LovedIt
USA,PG-13,7.25,Low,Medium,Comedy,FellAsleep
USA,PG-13,6.33,High,High,Action,Survived
UK,PG-13,8.73,Low,Low,History,Survived
USA,R,5.32,Low,Low,Drama,Quit
France,R,7.36,Low,High,Drama,Survived
USA,PG,5.7,Low,Medium,Comedy,FellAsleep
USA,PG-13,10.65,Low,Low,History,LikedIt
USA,PG-13,6.74,High,Medium,Comedy,LovedIt
USA,R,5.76,High,Low,Action,Survived
USA,R,7.44,High,Medium,Comedy,LovedIt
USA,G,6.68,High,High,Family,Survived
USA,PG-13,6.91,High,Medium,Comedy,LovedIt
USA,PG-13,8.56,High,Medium,Action,LikedIt
France,R,7.34,High,Medium,Action,LovedIt
Australia,PG,10.57,Low,Low,History,LikedIt
USA,R,7.21,Medium,Low,Sci-Fi,Survived
USA,PG-13,6.45,High,Medium,Drama,LovedIt
USA,R,7.25,High,Medium,Comedy,FellAsleep
USA,R,6.93,Low,Low,History,Quit
USA,PG,10.3,Low,Low,History,LikedIt
USA,PG-13,5.1,High,High,Family,Quit
USA,PG,8.91,Medium,Low,History,LikedIt
USA,PG,9.93,Low,Low,History,LikedIt
USA,R,6.35,High,Medium,Action,LovedIt
France,PG-13,9.08,High,Low,History,LovedIt
USA,PG-13,5.86,Medium,High,Family,Quit
USA,PG-13,5.31,Low,Medium,History,Quit
USA,PG,6.05,Medium,High,Family,Quit
USA,PG,5.32,High,High,Family,Quit
USA,R,8.1,Medium,Medium,Comedy,Survived
USA,PG-13,7.28,High,Medium,Comedy,LovedIt
USA,PG,6.45,High,Medium,Drama,FellAsleep
USA,R,7.67,High,Medium,Comedy,FellAsleep
USA,R,6.31,Low,Medium,Action,Survived
USA,PG,6.93,Low,Medium,Comedy,FellAsleep
USA,PG,5.98,High,High,Family,Quit
USA,PG-13,7.59,High,Medium,Comedy,Quit
USA,PG,5.54,High,High,Family,Quit
USA,PG,5.74,Medium,Medium,Comedy,FellAsleep
USA,PG,6.13,High,Medium,Comedy,FellAsleep
UK,PG-13,7.68,Medium,Medium,History,FellAsleep
USA,PG-13,7.12,High,High,History,Quit
USA,PG-13,9.04,Medium,Medium,Drama,LikedIt
USA,PG,6.76,High,Medium,Comedy,FellAsleep
USA,PG-13,6.77,Medium,High,Action,Quit
USA,R,4.88,Medium,Medium,Drama,Quit
UK,R,6.1,Medium,High,Family,LikedIt
USA,PG-13,5.64,High,Medium,Comedy,Quit
USA,R,6.7,High,Medium,Comedy,LovedIt
USA,R,6.66,High,High,Action,Quit
USA,R,6.11,Medium,High,Family,Quit
Canada,R,8.66,Low,Medium,Comedy,LikedIt
USA,PG-13,6.57,Medium,Medium,Action,Quit
Germany,R,8.24,Medium,Medium,Comedy,LikedIt
USA,PG-13,5.8,High,Medium,Comedy,Quit
USA,PG-13,4.89,Medium,Medium,Comedy,Quit
USA,R,8.96,High,High,Action,FellAsleep
USA,PG,4.72,High,High,Family,Quit
USA,PG-13,8.38,Medium,Medium,Drama,LikedIt
USA,R,7.43,Medium,Low,History,Survived
South Africa,R,6.05,Low,Medium,History,Quit
USA,R,8.99,Low,Low,Action,LikedIt
Germany,PG-13,4.98,High,High,Family,Quit
USA,PG-13,9.11,High,Low,History,LovedIt
France,R,7.05,Medium,Medium,Action,FellAsleep
USA,R,9.87,Medium,High,Action,LikedIt
USA,PG,5.8,High,High,Family,Quit
USA,PG-13,5.54,High,High,Family,Quit
USA,R,6.64,Medium,Medium,Comedy,FellAsleep
USA,R,6.36,Medium,Medium,Action,Quit
France,PG-13,9.9,Low,Medium,Comedy,LikedIt
USA,G,9.65,High,Low,History,LovedIt
USA,PG-13,7.74,High,High,Action,LovedIt
USA,PG-13,6.31,Medium,Medium,Action,FellAsleep
UK,R,7.95,Medium,Medium,Drama,Survived
UK,PG-13,7.12,Medium,High,History,Survived
Germany,PG,5.56,Medium,High,Family,Quit
USA,R,6.48,Medium,Medium,Drama,FellAsleep
USA,R,7.83,High,Medium,Comedy,LovedIt
USA,R,5.15,Medium,High,Family,Quit
USA,R,6.26,Medium,Medium,Action,Quit
USA,PG,4,High,High,Family,Quit
USA,PG-13,6.51,Low,Low,History,Survived
USA,R,7.16,Low,Low,Action,Survived
USA,R,10.08,High,Low,History,LikedIt
USA,PG-13,6.76,High,Medium,Comedy,FellAsleep
USA,PG-13,6.94,Low,Low,History,LikedIt
USA,PG,7.4,Low,Medium,History,FellAsleep
USA,PG-13,5.64,High,Medium,Comedy,Quit
USA,R,6.05,High,High,Sci-Fi,LovedIt
USA,R,6.28,High,Medium,Drama,LovedIt
USA,PG-13,6.27,Low,Medium,Action,FellAsleep
USA,PG,6.31,High,Medium,History,LovedIt
South Africa,PG,5.64,High,Low,History,Quit
USA,PG-13,5.91,Medium,Medium,Action,Quit
USA,PG-13,7.61,Low,Low,History,Survived
Germany,PG-13,8.01,Medium,High,Family,LikedIt
USA,PG-13,8.6,Medium,Medium,Comedy,LikedIt
France,PG,6.1,High,Low,Sci-Fi,LovedIt
USA,PG,4.54,High,Medium,Comedy,FellAsleep
USA,PG-13,4.87,Low,Medium,Comedy,Quit
USA,PG-13,4.63,High,Medium,Comedy,Quit
USA,R,6.25,High,Low,Drama,LovedIt
USA,R,8.4,High,Medium,Drama,LikedIt
USA,R,5.9,Medium,Medium,Comedy,Quit
USA,PG-13,9.79,High,Medium,Drama,LikedIt
USA,R,9.25,Low,Medium,Action,LikedIt
USA,R,7.74,Medium,Medium,Comedy,FellAsleep
UK,R,7.41,High,Medium,Comedy,LovedIt
USA,R,7.5,Low,Medium,Drama,Survived
USA,R,7.64,Medium,Low,Action,Quit
Germany,R,5.58,Medium,High,Drama,Quit
France,R,8.59,High,Low,History,LovedIt
USA,PG-13,6.7,Low,Low,History,Survived
USA,PG-13,7.08,Medium,Medium,Comedy,Quit
USA,R,6.17,Low,Low,Action,Survived
USA,PG,6.63,High,Medium,Comedy,FellAsleep
China,R,8.78,Low,Low,History,LikedIt
USA,PG-13,7.63,Low,Low,History,Quit
USA,R,7.35,Medium,Medium,Comedy,Survived
UK,R,7.14,Low,Low,Comedy,Quit
USA,R,6.76,High,Low,History,Quit
USA,PG-13,5.38,Medium,Medium,Action,Quit
USA,PG-13,7.36,High,High,Family,Survived
USA,R,6.68,High,High,Action,LovedIt
USA,PG-13,6.52,Medium,Medium,Comedy,Survived
USA,PG-13,6.2,High,Medium,Drama,LovedIt
USA,PG-13,7.21,High,High,Family,Quit
USA,R,5.57,Medium,Medium,Action,Quit
USA,PG-13,6.85,Medium,High,Drama,Quit
USA,G,5.9,High,High,Family,Quit
USA,PG-13,3.11,Medium,Medium,Comedy,Quit
USA,R,6.08,Medium,Medium,Comedy,LovedIt
USA,R,6.06,High,High,Family,Quit
USA,PG-13,6.11,Low,Low,Drama,Quit
USA,PG-13,5.86,High,Medium,Comedy,Quit
USA,PG,5.3,Medium,Medium,Comedy,FellAsleep
USA,R,8.98,Low,Medium,Comedy,LikedIt
USA,PG,4.39,Medium,High,Family,Quit
UK,R,8.15,Low,Low,History,FellAsleep
USA,PG-13,5.26,High,High,Drama,Quit
India,R,7.22,Low,Low,History,FellAsleep
Canada,R,6.12,Low,Low,Action,FellAsleep
UK,PG-13,7.11,High,High,Family,LovedIt
USA,PG-13,6.45,Medium,High,Sci-Fi,FellAsleep
USA,PG-13,6.9,High,High,Family,Survived
Canada,R,5.4,Low,Medium,Action,Quit
USA,R,6.51,High,High,Family,Survived
USA,G,5.89,High,Medium,Drama,Quit
USA,R,5.78,High,Medium,Drama,Quit
USA,PG-13,4.92,High,High,Family,Quit
USA,R,7.33,Low,Low,Drama,Survived
USA,R,6.68,Medium,High,Family,Survived
USA,PG-13,5.71,High,High,Family,Quit
UK,R,8.56,High,Low,History,LovedIt
USA,PG-13,6.74,Medium,Medium,Comedy,FellAsleep
Australia,PG,6.61,Low,Medium,Comedy,FellAsleep
UK,R,5.83,Medium,Medium,Comedy,Quit
USA,PG-13,8.51,Medium,Medium,Action,LikedIt
USA,PG-13,6.66,High,Medium,Comedy,LovedIt
USA,R,6.01,Medium,Medium,Action,Survived
USA,R,7.49,Low,Low,History,Survived
USA,R,7.31,High,High,History,LovedIt
USA,PG-13,6.19,High,High,Family,FellAsleep
UK,R,7.5,Low,Low,Action,Survived
Germany,R,8.32,Low,Low,History,FellAsleep
USA,R,6.21,Medium,Low,Drama,FellAsleep
USA,PG-13,6,Medium,Medium,Drama,FellAsleep
USA,R,6.65,Low,Low,History,FellAsleep
USA,PG-13,6.21,High,High,Family,LovedIt
USA,R,5.72,High,Medium,Drama,Quit
USA,PG,10.2,High,High,Sci-Fi,LikedIt
USA,PG,5.39,Medium,Medium,Comedy,FellAsleep
USA,R,6.35,High,High,Drama,FellAsleep
USA,PG-13,5.48,Medium,Medium,Action,Quit
USA,PG,4.96,Medium,Medium,Comedy,FellAsleep
Czech Republic,R,7.15,Low,Medium,Sci-Fi,Survived
USA,PG-13,8.4,High,High,Family,FellAsleep
USA,PG-13,5.28,Medium,High,Family,Quit
USA,R,8.13,Low,Low,History,LikedIt
USA,PG,8.18,Medium,High,Family,LikedIt
UK,PG-13,5.97,Medium,High,Family,Quit
USA,R,9.77,Low,Low,History,LikedIt
USA,PG,8.23,High,Low,History,LovedIt
USA,PG-13,6.24,Medium,Medium,Comedy,Survived
USA,PG-13,5.9,High,High,Family,Quit
USA,R,6.44,Low,Low,Action,Survived
USA,PG-13,7.91,High,High,Drama,Survived
USA,R,7.89,Medium,Medium,Drama,Quit
USA,R,10.39,Medium,Medium,Comedy,LikedIt
USA,G,6.27,Medium,Medium,Comedy,Survived
USA,R,7.76,High,Low,History,LovedIt
USA,PG-13,5.58,High,High,Family,Quit
USA,G,6.51,High,High,Family,LovedIt
Germany,R,5.73,Medium,Medium,Action,Quit
USA,PG,8.26,Medium,High,Family,LikedIt
USA,PG-13,6.36,High,Medium,Comedy,LovedIt
UK,R,7.39,Medium,Medium,Drama,Quit
USA,R,9.89,Medium,Low,History,LikedIt
USA,R,7.31,Medium,Medium,Drama,FellAsleep
USA,R,6.76,Low,Medium,Comedy,FellAsleep
USA,R,6.13,Medium,Low,History,Quit
France,G,10.57,High,Low,History,LikedIt
USA,PG-13,6.79,High,High,Sci-Fi,LovedIt
USA,PG-13,6.57,Medium,Medium,Action,FellAsleep
USA,PG-13,4,Low,High,Family,Quit
France,R,6.28,High,Medium,Comedy,LovedIt
USA,PG-13,6.65,High,High,Drama,Quit
USA,R,5.79,Medium,Medium,Action,Quit
Russia,R,5.78,Low,Medium,Comedy,Quit
USA,PG-13,4.87,Medium,Medium,Drama,Quit
USA,R,5.93,Low,Low,History,Quit
USA,PG,8.66,High,High,Sci-Fi,LikedIt
Hong Kong,R,7.57,Low,Medium,Drama,Survived
USA,R,8.49,Medium,Medium,Drama,LikedIt
USA,R,7.92,Medium,Medium,History,Survived
Canada,PG,5.92,High,Medium,Comedy,FellAsleep
USA,R,6.33,High,Medium,Comedy,Quit
USA,R,5.91,Low,Medium,Action,Quit
USA,PG-13,6.14,Medium,Medium,Comedy,FellAsleep
USA,PG-13,4.78,High,Medium,Action,Quit
Canada,R,8.25,Low,Low,History,Quit
USA,PG-13,7.68,Low,Low,History,Quit
France,R,9.71,Medium,High,Action,LikedIt
USA,PG,4.19,Low,Medium,Drama,Quit
USA,R,6.84,Medium,Medium,Drama,Quit
USA,PG,5.21,High,High,Family,Quit
USA,R,4.73,Medium,High,Family,Quit
USA,PG-13,6.27,High,High,Family,FellAsleep
UK,PG,4.84,Low,Medium,Action,Quit
Canada,PG,4.9,High,High,Family,Quit
UK,PG,6.7,High,High,Family,FellAsleep
USA,PG,5.22,Medium,High,Family,Quit
USA,R,6.52,High,Low,Sci-Fi,LovedIt
USA,R,7.46,High,Medium,Comedy,LovedIt
USA,G,5.98,Medium,Medium,Sci-Fi,Quit
USA,R,5.83,High,High,Family,Quit
Ireland,R,5.91,Medium,Medium,Comedy,Quit
USA,PG-13,5.76,Low,Medium,Comedy,LikedIt
UK,PG-13,9.13,Medium,High,History,LikedIt
USA,PG-13,4.94,Medium,Medium,Drama,Quit
USA,PG-13,7.74,High,Medium,Comedy,Survived
USA,R,7.14,High,Medium,Comedy,Survived
USA,G,6.57,Low,Low,History,Quit
France,R,5.93,High,Low,Sci-Fi,Quit
USA,R,8.72,High,Low,History,LovedIt
USA,R,5.29,Low,Medium,Comedy,Quit
USA,PG-13,2.35,High,Medium,Comedy,Quit
USA,PG-13,5.51,Medium,High,Family,Quit
USA,R,11.07,Medium,Medium,Action,LikedIt
USA,PG-13,7.44,Low,Medium,Comedy,Quit
USA,R,6.01,Medium,Medium,Drama,LikedIt
USA,R,5.6,Medium,Medium,Drama,Quit
Italy,G,7.36,Low,Medium,History,Quit
Italy,R,7.16,Low,Medium,Drama,LikedIt
USA,PG-13,6.29,Medium,Medium,Drama,Survived
UK,R,8.67,Low,Medium,Comedy,LikedIt
USA,R,6.5,Low,Medium,Drama,FellAsleep
UK,PG-13,5.72,Medium,High,Family,Quit
USA,PG,7.12,Low,Low,History,FellAsleep
USA,R,8.01,Low,Low,History,FellAsleep
USA,R,8.33,Low,Low,History,FellAsleep
USA,R,8.05,Medium,Medium,Drama,Survived
USA,PG-13,5.93,High,Medium,Comedy,Quit
UK,PG,7.33,Low,Low,History,Quit
USA,PG-13,7.48,High,High,Drama,Survived
USA,PG-13,4.98,High,High,Family,Quit
USA,R,6.85,High,Low,Drama,LovedIt
Mexico,R,7.78,Low,Low,History,Survived
Germany,R,5.72,Medium,Medium,Comedy,Quit
USA,R,9.85,Low,Low,History,LikedIt
USA,PG-13,6.57,Medium,Medium,Action,FellAsleep
USA,R,4.78,Medium,Medium,Action,Quit
USA,PG,5.68,Medium,Medium,Comedy,FellAsleep
USA,PG-13,6.96,High,Medium,Comedy,Quit
UK,R,6.66,Medium,High,Drama,Quit
USA,PG-13,6.06,High,High,Family,LovedIt
UK,R,7.3,High,Medium,Comedy,LovedIt
USA,R,7.47,High,Low,History,LovedIt
USA,PG,4.94,High,High,Family,Quit
South Korea,PG-13,3.62,Medium,Medium,Sci-Fi,LovedIt
UK,PG-13,5.85,Medium,Medium,Drama,Quit
USA,PG-13,6.25,High,High,Family,Survived
USA,PG,1.07,Low,High,Family,Quit
USA,R,7.79,Low,Low,History,Quit
USA,PG,5.76,High,High,Family,Quit
USA,PG,4.72,High,High,Family,Quit
USA,PG-13,5.67,Low,Low,Action,Quit
USA,G,9.4,Medium,Medium,Comedy,LikedIt
USA,R,5.51,Medium,Medium,Action,Quit
USA,PG-13,7.14,High,High,Action,FellAsleep
USA,PG-13,5.55,High,Low,Drama,Quit
Mexico,R,8.32,Low,Medium,History,LikedIt
Australia,R,7.82,Medium,Medium,Comedy,FellAsleep
USA,PG-13,8.97,High,Medium,Action,LikedIt
UK,R,8.1,High,Medium,History,LikedIt
USA,R,6.69,Low,Low,Drama,Quit
USA,PG-13,6.23,High,Medium,Drama,FellAsleep
USA,R,6.91,Medium,Medium,Action,Survived
USA,PG-13,6.29,High,Medium,Comedy,LikedIt
USA,PG,7.59,High,Medium,History,FellAsleep
USA,PG,4.62,High,High,Family,Quit
USA,R,7.46,Low,Low,History,Quit
USA,R,7.1,High,Low,History,LovedIt
South Africa,PG-13,6.54,Medium,Medium,Comedy,Survived
UK,R,7.14,High,Medium,Action,LikedIt
USA,R,8.4,Low,Low,History,FellAsleep
USA,PG-13,5.59,High,High,Family,Quit
Canada,R,7.77,Low,Low,Drama,Survived
USA,R,10.14,Low,Low,History,LikedIt
USA,R,6.17,Medium,Medium,Action,Quit
USA,PG,5.52,Medium,High,Family,Quit
UK,R,6.05,Medium,High,History,Survived
USA,PG-13,5.42,High,High,Family,Quit
USA,R,6.91,Medium,Medium,Comedy,Survived
USA,PG-13,6.32,Medium,High,Family,Survived
France,PG,7.2,High,High,Family,LovedIt
USA,PG-13,5.66,Low,Low,History,Quit
USA,R,6.97,High,Medium,History,LovedIt
USA,PG-13,6.08,Medium,Medium,Comedy,Quit
USA,PG,5.51,High,High,Family,Quit
USA,PG-13,5.56,High,High,Sci-Fi,Quit
UK,R,7.56,Medium,Low,History,FellAsleep
USA,R,6.62,High,Medium,Comedy,Quit
USA,PG-13,5.34,Low,Medium,Action,Quit
USA,PG,7.16,High,Medium,Comedy,FellAsleep
USA,G,6.76,High,Medium,Comedy,FellAsleep
UK,PG,6.99,High,High,Family,LovedIt
UK,R,6.63,Low,Medium,Comedy,Quit
USA,R,5.6,Low,Low,Drama,Quit
USA,PG,5.97,Medium,Medium,Drama,Quit
USA,PG-13,6.35,High,Low,Action,Survived
USA,R,6.45,Low,Low,Action,FellAsleep
USA,PG-13,5.05,Medium,Medium,Comedy,LikedIt
USA,R,5.02,Medium,Medium,Sci-Fi,Quit
Hong Kong,PG,5.74,Medium,High,Family,Quit
USA,PG-13,5.47,High,High,Family,Quit
France,PG,9.28,Low,High,Family,LikedIt
UK,PG,3.35,High,Medium,Comedy,LovedIt
UK,R,8.22,Medium,Low,History,FellAsleep
USA,R,7.31,Low,Low,Action,Survived
USA,G,6.48,Low,Low,History,Quit
USA,PG-13,6.08,Low,Medium,Drama,Quit
USA,PG-13,6.46,Medium,Medium,Comedy,Survived
USA,PG-13,5.97,Medium,Medium,Comedy,Quit
UK,R,7.35,High,Low,History,LovedIt
USA,R,5.97,Low,Medium,Action,Quit
USA,PG-13,6.31,High,Medium,Drama,LovedIt
USA,R,10.29,Low,Low,History,LikedIt
China,PG-13,7.87,High,Medium,Comedy,LovedIt
USA,PG-13,7.17,High,Low,History,LovedIt
USA,PG-13,5.34,Medium,Medium,Comedy,Quit
USA,PG-13,7.21,Medium,High,Sci-Fi,Survived
USA,R,8.22,Medium,Medium,Action,LikedIt
USA,R,7.35,Low,Medium,Action,Survived
USA,R,5.42,Low,Medium,Comedy,Quit
USA,PG-13,4.54,Low,Low,Drama,Quit
USA,PG,8.23,High,High,Family,LikedIt
USA,PG,8.3,Medium,Low,History,LikedIt
USA,PG-13,10.19,High,Medium,Drama,LikedIt
France,PG,5.31,Medium,High,Family,Quit
USA,PG-13,4.2,High,High,Family,Quit
Hungary,PG,5.96,High,Medium,Drama,Quit
USA,R,6.67,High,High,Action,FellAsleep
USA,PG-13,9.24,Medium,Low,Action,LikedIt
USA,R,6.29,Medium,Medium,Comedy,Survived
USA,R,5.96,Low,Medium,Comedy,Quit
USA,PG,6.65,High,High,Family,Survived
Spain,R,7.28,High,Low,Drama,FellAsleep
USA,R,6.68,High,Low,Drama,LovedIt
USA,PG-13,8.17,High,High,Family,LikedIt
Spain,R,9.26,Low,High,Drama,Survived
Australia,R,5.37,Low,Medium,Drama,Quit
UK,G,7.64,High,Medium,Comedy,LovedIt
USA,R,6.02,Medium,Medium,Drama,Quit
Germany,R,7.16,Low,Medium,History,Survived
USA,PG-13,5.93,Medium,Medium,Action,Quit
USA,PG-13,3.52,Medium,High,Family,Quit
Germany,R,8.71,Low,Low,History,LikedIt
USA,PG-13,9.17,Medium,High,History,LikedIt
USA,R,8.9,High,Medium,Action,LikedIt
UK,PG-13,10.03,Low,Low,History,LikedIt
USA,PG-13,5.64,Medium,High,Action,Quit
USA,PG-13,7.16,High,Medium,Drama,LovedIt
USA,R,6.74,High,Medium,Action,Quit
USA,R,11.74,High,Low,History,LikedIt
USA,PG,6.88,Medium,Medium,Comedy,FellAsleep
Canada,R,6.15,Medium,Medium,Drama,FellAsleep
UK,PG-13,7.56,Low,Low,History,Quit
USA,PG-13,7.1,Low,Medium,History,Quit
France,R,7,Medium,Low,Drama,Quit
USA,PG-13,5.9,Medium,Medium,Action,Quit
USA,PG,6.84,High,Low,History,LovedIt
USA,PG-13,5.81,High,High,Family,Quit
USA,PG,5.58,Medium,Medium,Comedy,FellAsleep
USA,R,6.57,Low,Low,Action,Survived
Germany,PG,4.6,Medium,Medium,Comedy,FellAsleep
USA,R,7.87,High,High,Family,Quit
USA,PG-13,5.82,Medium,Medium,Action,Quit
