Studentid,Attendance,Major,Questions,Score,Seniority,Texting
40806,53,Stat,Always,34,Senior,Rarely
40807,8,Cs,Rarely,67,Freshman,Rarely
40808,27,Communication,Rarely,84,Sophomore,Always
40809,66,Cs,Always,87,Senior,Rarely
40810,35,Polsci,Rarely,20,Freshman,Always
40811,98,Cs,Always,83,Junior,Rarely
40812,64,Communication,Rarely,26,Freshman,Rarely
40813,25,Communication,Always,82,Freshman,Always
40814,86,Polsci,Always,11,Sophomore,Rarely
40815,49,Polsci,Rarely,7,Junior,Always
40816,75,Communication,Rarely,86,Senior,Always
40817,31,Stat,Rarely,22,Sophomore,Always
40818,100,Communication,Always,7,Freshman,Always
40819,94,Cs,Always,84,Sophomore,Rarely
40820,89,Communication,Always,83,Freshman,Always
40821,12,Polsci,Rarely,2,Junior,Rarely
40822,93,Stat,Always,25,Senior,Rarely
40823,78,Communication,Rarely,94,Junior,Always
40824,94,Cs,Rarely,87,Sophomore,Rarely
40825,59,Polsci,Rarely,74,Junior,Always
40826,41,Communication,Always,90,Junior,Always
40827,45,Cs,Always,25,Freshman,Always
40828,7,Stat,Rarely,84,Freshman,Rarely
40829,56,Stat,Always,49,Sophomore,Rarely
40830,14,Polsci,Rarely,96,Junior,Always
40831,30,Stat,Always,49,Sophomore,Rarely
40832,62,Stat,Always,59,Sophomore,Always
40833,15,Stat,Rarely,15,Freshman,Rarely
40834,19,Stat,Always,69,Sophomore,Rarely
40835,35,Cs,Always,72,Junior,Always
40836,62,Polsci,Always,0,Junior,Always
40837,52,Stat,Rarely,5,Junior,Always
40838,38,Stat,Rarely,25,Sophomore,Rarely
40839,95,Communication,Rarely,28,Junior,Always
40840,21,Communication,Rarely,92,Sophomore,Always
40841,5,Communication,Always,44,Junior,Rarely
40842,63,Communication,Rarely,0,Sophomore,Always
40843,62,Stat,Always,25,Senior,Always
40844,49,Polsci,Always,88,Sophomore,Rarely
40845,16,Communication,Rarely,1,Senior,Always
40846,72,Cs,Always,28,Freshman,Always
40847,55,Stat,Rarely,8,Sophomore,Rarely
40848,28,Polsci,Rarely,65,Senior,Always
40849,57,Polsci,Rarely,55,Freshman,Rarely
40850,66,Communication,Rarely,73,Senior,Rarely
40851,6,Polsci,Always,83,Sophomore,Rarely
40852,19,Communication,Rarely,77,Senior,Rarely
40853,20,Cs,Rarely,76,Sophomore,Rarely
40854,89,Polsci,Rarely,59,Senior,Rarely
40855,11,Polsci,Always,20,Freshman,Always
40856,29,Cs,Always,50,Senior,Always
40857,90,Polsci,Always,76,Sophomore,Always
40858,7,Cs,Rarely,68,Freshman,Rarely
40859,40,Communication,Rarely,8,Senior,Always
40860,95,Cs,Rarely,56,Junior,Always
40861,89,Cs,Always,32,Freshman,Always
40862,23,Communication,Rarely,13,Sophomore,Always
40863,80,Communication,Rarely,95,Freshman,Always
40864,20,Stat,Rarely,50,Freshman,Always
40865,56,Polsci,Rarely,56,Freshman,Rarely
40866,95,Polsci,Rarely,95,Freshman,Always
40867,9,Stat,Rarely,93,Senior,Rarely
40868,90,Stat,Rarely,72,Freshman,Rarely
40869,85,Stat,Rarely,91,Junior,Rarely
40870,39,Cs,Rarely,70,Sophomore,Rarely
40871,84,Cs,Rarely,13,Freshman,Always
40872,53,Cs,Always,21,Freshman,Rarely
40873,91,Polsci,Rarely,7,Sophomore,Always
40874,36,Polsci,Rarely,68,Sophomore,Rarely
40875,35,Stat,Always,69,Sophomore,Rarely
40876,14,Cs,Rarely,86,Sophomore,Always
40877,16,Cs,Always,11,Senior,Rarely
40878,54,Polsci,Rarely,1,Freshman,Rarely
40879,56,Stat,Rarely,34,Senior,Always
40880,38,Polsci,Always,4,Sophomore,Always
40881,80,Polsci,Rarely,65,Sophomore,Always
40882,87,Polsci,Always,83,Senior,Rarely
40883,29,Communication,Rarely,57,Senior,Always
40884,80,Communication,Rarely,92,Freshman,Always
40885,72,Cs,Rarely,52,Senior,Rarely
40886,62,Stat,Rarely,14,Senior,Rarely
40887,38,Stat,Always,65,Junior,Always
40888,70,Stat,Rarely,9,Junior,Rarely
40889,37,Stat,Rarely,100,Freshman,Rarely
40890,93,Communication,Rarely,14,Senior,Rarely
40891,61,Stat,Rarely,13,Sophomore,Always
40892,11,Cs,Rarely,33,Freshman,Always
40893,87,Cs,Rarely,72,Freshman,Rarely
40894,10,Communication,Rarely,55,Freshman,Always
40895,41,Cs,Always,37,Senior,Always
40896,85,Cs,Always,42,Freshman,Always
40897,41,Cs,Always,15,Sophomore,Always
40898,31,Polsci,Rarely,6,Senior,Rarely
40899,100,Communication,Always,9,Senior,Always
40900,17,Communication,Always,5,Freshman,Rarely
40901,95,Stat,Rarely,29,Sophomore,Always
40902,12,Polsci,Always,97,Freshman,Rarely
40903,28,Cs,Always,15,Sophomore,Rarely
40904,75,Stat,Always,84,Junior,Rarely
40905,53,Cs,Rarely,37,Sophomore,Always
40906,74,Cs,Always,85,Sophomore,Always
40907,68,Stat,Rarely,33,Senior,Rarely
40908,6,Communication,Always,98,Sophomore,Rarely
40909,69,Cs,Always,75,Junior,Rarely
40910,29,Communication,Rarely,38,Freshman,Rarely
40911,7,Communication,Always,20,Senior,Always
40912,67,Polsci,Rarely,1,Sophomore,Rarely
40913,16,Communication,Always,76,Freshman,Rarely
40914,80,Cs,Rarely,85,Freshman,Always
40915,75,Cs,Rarely,10,Freshman,Always
40916,70,Cs,Always,62,Freshman,Rarely
40917,44,Polsci,Rarely,90,Sophomore,Rarely
40918,23,Polsci,Always,57,Junior,Always
40919,78,Stat,Always,74,Sophomore,Always
40920,14,Stat,Rarely,73,Senior,Rarely
40921,90,Communication,Rarely,42,Freshman,Rarely
40922,1,Cs,Always,44,Freshman,Rarely
40923,93,Cs,Rarely,52,Junior,Rarely
40924,1,Stat,Always,76,Senior,Always
40925,67,Cs,Always,5,Senior,Always
40926,72,Cs,Rarely,27,Junior,Rarely
40927,97,Stat,Always,31,Freshman,Rarely
40928,82,Polsci,Rarely,10,Freshman,Rarely
40929,83,Cs,Always,37,Freshman,Rarely
40930,50,Stat,Rarely,99,Junior,Rarely
40931,82,Cs,Always,83,Freshman,Always
40932,44,Polsci,Always,86,Sophomore,Always
40933,79,Polsci,Always,44,Sophomore,Rarely
40934,87,Polsci,Rarely,48,Sophomore,Rarely
40935,15,Communication,Rarely,28,Freshman,Always
40936,51,Stat,Always,41,Senior,Always
40937,71,Polsci,Rarely,18,Freshman,Always
40938,51,Cs,Rarely,73,Senior,Rarely
40939,83,Stat,Rarely,86,Senior,Always
40940,26,Stat,Always,7,Sophomore,Rarely
40941,0,Cs,Rarely,92,Junior,Rarely
40942,19,Cs,Always,97,Junior,Rarely
40943,39,Communication,Always,15,Junior,Rarely
40944,28,Polsci,Always,1,Senior,Always
40945,5,Stat,Rarely,65,Sophomore,Rarely
40946,24,Polsci,Rarely,49,Junior,Rarely
40947,33,Stat,Always,11,Junior,Rarely
40948,100,Stat,Rarely,16,Sophomore,Always
40949,25,Polsci,Rarely,1,Sophomore,Rarely
40950,25,Polsci,Rarely,39,Senior,Always
40951,81,Stat,Rarely,58,Sophomore,Always
40952,47,Communication,Always,80,Sophomore,Rarely
40953,78,Communication,Always,81,Junior,Rarely
40954,96,Cs,Rarely,99,Freshman,Rarely
40955,20,Stat,Rarely,84,Freshman,Rarely
40956,60,Polsci,Always,23,Senior,Rarely
40957,48,Polsci,Always,85,Sophomore,Always
40958,36,Communication,Rarely,29,Junior,Always
40959,83,Stat,Rarely,88,Junior,Always
40960,90,Communication,Rarely,20,Junior,Always
40961,47,Communication,Rarely,90,Senior,Always
40962,60,Stat,Rarely,61,Sophomore,Rarely
40963,4,Cs,Rarely,17,Junior,Always
40964,97,Communication,Always,76,Junior,Rarely
40965,12,Communication,Rarely,88,Junior,Rarely
40966,72,Cs,Rarely,69,Junior,Rarely
40967,35,Cs,Always,68,Junior,Rarely
40968,12,Stat,Always,1,Freshman,Always
40969,49,Communication,Rarely,77,Junior,Rarely
40970,60,Cs,Always,13,Junior,Always
40971,79,Polsci,Always,65,Freshman,Rarely
40972,35,Stat,Rarely,7,Freshman,Rarely
40973,4,Cs,Always,63,Sophomore,Rarely
40974,42,Cs,Always,38,Junior,Rarely
40975,82,Stat,Rarely,70,Freshman,Rarely
40976,23,Cs,Always,51,Sophomore,Rarely
40977,12,Stat,Always,3,Senior,Always
40978,53,Stat,Rarely,65,Junior,Always
40979,23,Polsci,Always,1,Senior,Rarely
40980,71,Stat,Rarely,38,Junior,Always
40981,70,Communication,Rarely,28,Freshman,Always
40982,30,Cs,Rarely,47,Senior,Always
40983,88,Communication,Always,100,Junior,Rarely
40984,91,Communication,Rarely,50,Sophomore,Always
40985,47,Stat,Rarely,24,Sophomore,Rarely
40986,25,Polsci,Always,0,Sophomore,Always
40987,65,Communication,Always,37,Junior,Rarely
40988,33,Communication,Always,55,Freshman,Rarely
40989,12,Communication,Always,30,Senior,Rarely
40990,100,Cs,Always,43,Freshman,Always
40991,45,Cs,Rarely,7,Freshman,Rarely
40992,59,Polsci,Always,71,Senior,Always
40993,82,Cs,Always,29,Senior,Rarely
40994,18,Cs,Always,76,Sophomore,Rarely
40995,74,Stat,Always,10,Freshman,Always
40996,49,Polsci,Rarely,64,Sophomore,Rarely
40997,48,Communication,Rarely,78,Junior,Rarely
40998,53,Cs,Always,39,Freshman,Rarely
40999,40,Cs,Rarely,3,Sophomore,Always
41000,21,Stat,Always,23,Sophomore,Rarely
41001,8,Polsci,Rarely,38,Senior,Always
41002,57,Cs,Always,51,Junior,Rarely
41003,70,Cs,Rarely,74,Junior,Always
41004,38,Stat,Always,15,Sophomore,Always
41005,56,Communication,Rarely,3,Sophomore,Always
41006,9,Communication,Rarely,63,Senior,Rarely
41007,74,Polsci,Rarely,30,Junior,Always
41008,3,Polsci,Always,35,Junior,Always
41009,43,Polsci,Always,54,Sophomore,Always
41010,94,Stat,Always,45,Sophomore,Always
41011,37,Stat,Always,71,Senior,Rarely
41012,6,Communication,Always,4,Freshman,Rarely
41013,72,Polsci,Rarely,41,Senior,Always
41014,66,Polsci,Rarely,71,Junior,Always
41015,4,Stat,Rarely,19,Junior,Rarely
41016,17,Communication,Rarely,35,Senior,Always
41017,25,Stat,Rarely,85,Junior,Always
41018,46,Polsci,Rarely,33,Senior,Rarely
41019,89,Stat,Rarely,66,Junior,Rarely
41020,4,Stat,Rarely,29,Senior,Always
41021,28,Communication,Rarely,63,Sophomore,Rarely
41022,31,Polsci,Always,9,Freshman,Rarely
41023,75,Stat,Rarely,59,Senior,Always
41024,88,Communication,Rarely,81,Senior,Rarely
41025,98,Polsci,Always,39,Senior,Rarely
41026,16,Communication,Rarely,1,Senior,Always
41027,15,Cs,Rarely,7,Sophomore,Always
41028,89,Polsci,Always,53,Junior,Always
41029,87,Communication,Always,99,Junior,Rarely
41030,28,Stat,Always,95,Senior,Rarely
41031,36,Stat,Rarely,28,Senior,Rarely
41032,96,Polsci,Rarely,63,Freshman,Rarely
41033,99,Communication,Always,1,Junior,Rarely
41034,73,Communication,Rarely,55,Junior,Rarely
41035,20,Communication,Rarely,90,Senior,Always
41036,62,Communication,Always,62,Junior,Always
41037,11,Cs,Rarely,86,Freshman,Rarely
41038,29,Stat,Always,49,Junior,Always
41039,47,Cs,Always,43,Freshman,Always
41040,34,Communication,Always,4,Junior,Rarely
41041,10,Communication,Always,72,Senior,Rarely
41042,50,Communication,Rarely,41,Freshman,Rarely
41043,48,Cs,Always,83,Sophomore,Always
41044,81,Stat,Rarely,20,Sophomore,Always
41045,18,Communication,Rarely,40,Senior,Rarely
41046,4,Cs,Rarely,80,Junior,Always
41047,64,Stat,Always,31,Senior,Always
41048,75,Communication,Always,57,Senior,Rarely
41049,68,Communication,Always,43,Senior,Rarely
41050,99,Stat,Always,61,Sophomore,Rarely
41051,68,Polsci,Rarely,81,Sophomore,Rarely
41052,28,Cs,Always,69,Freshman,Always
41053,28,Polsci,Always,47,Senior,Rarely
41054,80,Polsci,Always,64,Senior,Rarely
41055,48,Cs,Rarely,96,Sophomore,Rarely
41056,87,Communication,Rarely,28,Junior,Rarely
41057,9,Polsci,Always,11,Junior,Always
41058,53,Polsci,Always,65,Senior,Rarely
41059,88,Communication,Always,93,Junior,Always
41060,72,Polsci,Always,87,Sophomore,Rarely
41061,56,Communication,Always,76,Sophomore,Rarely
41062,51,Cs,Rarely,43,Freshman,Rarely
41063,8,Cs,Always,37,Freshman,Always
41064,80,Communication,Always,46,Junior,Always
41065,45,Communication,Always,98,Junior,Rarely
41066,30,Stat,Rarely,42,Freshman,Always
41067,32,Cs,Always,58,Freshman,Always
41068,44,Polsci,Rarely,100,Junior,Always
41069,64,Stat,Rarely,51,Sophomore,Rarely
41070,97,Communication,Always,90,Senior,Always
41071,99,Communication,Rarely,2,Junior,Rarely
41072,78,Stat,Always,83,Freshman,Always
41073,33,Stat,Always,85,Senior,Rarely
41074,3,Polsci,Always,21,Freshman,Always
41075,56,Cs,Always,15,Sophomore,Always
41076,58,Cs,Rarely,42,Freshman,Always
41077,21,Cs,Rarely,13,Senior,Always
41078,89,Communication,Rarely,49,Senior,Always
41079,63,Stat,Rarely,78,Freshman,Always
41080,23,Communication,Rarely,15,Sophomore,Always
41081,97,Communication,Always,58,Junior,Rarely
41082,24,Stat,Rarely,99,Senior,Always
41083,23,Cs,Rarely,36,Freshman,Rarely
41084,59,Cs,Always,91,Senior,Rarely
41085,70,Polsci,Always,56,Junior,Always
41086,76,Communication,Rarely,78,Sophomore,Rarely
41087,64,Communication,Always,62,Sophomore,Always
41088,46,Communication,Rarely,20,Sophomore,Rarely
41089,66,Stat,Always,18,Sophomore,Always
41090,73,Communication,Always,84,Sophomore,Always
41091,53,Cs,Always,33,Sophomore,Rarely
41092,73,Cs,Rarely,35,Senior,Rarely
41093,55,Communication,Always,8,Freshman,Always
41094,97,Stat,Rarely,23,Sophomore,Rarely
41095,81,Stat,Rarely,12,Sophomore,Always
41096,58,Stat,Always,81,Freshman,Rarely
41097,86,Polsci,Always,22,Senior,Always
41098,75,Cs,Always,7,Senior,Always
41099,43,Polsci,Rarely,46,Sophomore,Rarely
41100,34,Communication,Rarely,79,Junior,Rarely
41101,19,Cs,Rarely,86,Freshman,Always
41102,81,Cs,Always,75,Junior,Rarely
41103,17,Polsci,Rarely,25,Senior,Rarely
41104,79,Polsci,Always,94,Junior,Always
41105,80,Communication,Always,63,Sophomore,Rarely
41106,50,Cs,Always,96,Senior,Always
41107,8,Communication,Rarely,61,Freshman,Always
41108,74,Stat,Always,21,Sophomore,Always
41109,24,Communication,Always,99,Senior,Rarely
41110,26,Communication,Always,83,Sophomore,Rarely
41111,15,Stat,Rarely,64,Junior,Always
41112,8,Polsci,Rarely,74,Junior,Always
41113,62,Polsci,Rarely,86,Freshman,Rarely
41114,79,Stat,Always,67,Freshman,Always
41115,90,Polsci,Rarely,98,Junior,Rarely
41116,7,Cs,Always,15,Sophomore,Always
41117,84,Communication,Always,14,Sophomore,Rarely
41118,87,Cs,Rarely,79,Senior,Always
41119,61,Stat,Always,56,Junior,Always
41120,38,Stat,Rarely,41,Freshman,Rarely
41121,65,Cs,Rarely,8,Junior,Always
41122,91,Cs,Rarely,17,Junior,Always
41123,87,Stat,Always,5,Sophomore,Rarely
41124,0,Communication,Rarely,25,Senior,Rarely
41125,49,Polsci,Rarely,72,Freshman,Always
41126,76,Stat,Always,54,Junior,Always
41127,85,Communication,Always,25,Junior,Always
41128,82,Stat,Rarely,72,Senior,Rarely
41129,54,Stat,Rarely,32,Freshman,Rarely
41130,50,Communication,Always,43,Sophomore,Rarely
41131,14,Stat,Rarely,66,Junior,Rarely
41132,33,Cs,Rarely,43,Junior,Always
41133,53,Cs,Always,73,Junior,Always
41134,93,Stat,Always,23,Freshman,Rarely
41135,61,Polsci,Always,41,Senior,Always
41136,14,Stat,Rarely,10,Freshman,Rarely
41137,47,Stat,Always,99,Senior,Rarely
41138,11,Stat,Always,29,Junior,Rarely
41139,22,Cs,Always,43,Junior,Rarely
41140,67,Stat,Rarely,53,Sophomore,Always
41141,50,Polsci,Always,47,Senior,Rarely
41142,67,Communication,Rarely,45,Senior,Always
41143,95,Communication,Always,5,Senior,Rarely
41144,9,Stat,Rarely,68,Junior,Always
41145,3,Polsci,Always,67,Sophomore,Rarely
41146,55,Stat,Always,50,Junior,Always
41147,62,Cs,Rarely,32,Senior,Rarely
41148,30,Stat,Always,62,Freshman,Rarely
41149,34,Polsci,Rarely,2,Sophomore,Always
41150,97,Cs,Rarely,4,Freshman,Always
41151,90,Cs,Always,32,Sophomore,Always
41152,77,Stat,Rarely,90,Freshman,Always
41153,35,Stat,Always,14,Freshman,Always
41154,99,Stat,Always,6,Freshman,Rarely
41155,65,Communication,Rarely,3,Freshman,Rarely
41156,2,Cs,Always,38,Sophomore,Rarely
41157,75,Communication,Rarely,2,Sophomore,Rarely
41158,7,Polsci,Rarely,60,Junior,Rarely
41159,95,Communication,Always,91,Freshman,Rarely
41160,72,Polsci,Always,79,Senior,Always
41161,9,Stat,Always,84,Freshman,Rarely
41162,87,Communication,Always,82,Freshman,Always
41163,48,Communication,Rarely,21,Sophomore,Always
41164,19,Cs,Always,79,Junior,Rarely
41165,90,Polsci,Always,16,Senior,Rarely
41166,40,Stat,Always,94,Sophomore,Always
41167,63,Communication,Rarely,10,Senior,Rarely
41168,84,Polsci,Always,98,Freshman,Rarely
41169,47,Stat,Rarely,89,Freshman,Rarely
41170,47,Stat,Always,56,Junior,Always
41171,5,Stat,Rarely,100,Freshman,Always
41172,59,Communication,Always,33,Senior,Rarely
41173,27,Cs,Always,3,Junior,Rarely
41174,47,Polsci,Rarely,18,Senior,Rarely
41175,51,Communication,Always,21,Freshman,Rarely
41176,8,Stat,Always,7,Junior,Rarely
41177,82,Stat,Rarely,16,Sophomore,Rarely
41178,9,Polsci,Rarely,76,Junior,Always
41179,50,Cs,Always,20,Sophomore,Always
41180,47,Stat,Always,55,Sophomore,Rarely
41181,17,Polsci,Always,23,Junior,Always
41182,12,Polsci,Rarely,30,Freshman,Rarely
41183,0,Communication,Always,5,Freshman,Always
41184,91,Communication,Always,74,Sophomore,Rarely
41185,39,Stat,Rarely,99,Senior,Always
41186,61,Cs,Always,3,Junior,Always
41187,35,Stat,Always,23,Freshman,Always
41188,6,Cs,Rarely,27,Freshman,Always
41189,60,Polsci,Always,80,Junior,Always
41190,75,Stat,Always,67,Junior,Rarely
41191,74,Stat,Rarely,19,Senior,Always
41192,98,Cs,Rarely,72,Junior,Always
41193,53,Communication,Always,37,Freshman,Always
41194,59,Polsci,Rarely,50,Senior,Rarely
41195,14,Communication,Always,90,Freshman,Always
41196,93,Stat,Always,86,Junior,Rarely
41197,15,Stat,Rarely,26,Senior,Always
41198,33,Stat,Rarely,29,Senior,Rarely
41199,37,Cs,Rarely,56,Senior,Always
41200,93,Stat,Always,97,Senior,Always
41201,51,Stat,Always,34,Sophomore,Rarely
41202,60,Communication,Rarely,33,Freshman,Always
41203,78,Stat,Rarely,8,Freshman,Rarely
41204,19,Communication,Always,81,Sophomore,Always
41205,6,Stat,Rarely,3,Freshman,Always
41206,80,Stat,Rarely,91,Senior,Rarely
41207,20,Stat,Always,88,Junior,Always
41208,2,Cs,Always,96,Junior,Rarely
41209,72,Polsci,Rarely,83,Sophomore,Rarely
41210,36,Communication,Rarely,8,Junior,Always
41211,58,Communication,Always,72,Senior,Always
41212,95,Communication,Rarely,91,Junior,Always
41213,36,Polsci,Rarely,9,Sophomore,Always
41214,72,Cs,Always,47,Sophomore,Rarely
41215,82,Cs,Always,100,Junior,Rarely
41216,64,Polsci,Always,25,Junior,Rarely
41217,39,Communication,Rarely,92,Sophomore,Always
41218,33,Polsci,Rarely,73,Senior,Always
41219,31,Cs,Rarely,89,Sophomore,Always
41220,9,Polsci,Always,39,Freshman,Always
41221,95,Polsci,Rarely,50,Sophomore,Rarely
41222,29,Cs,Rarely,12,Freshman,Rarely
41223,14,Communication,Always,23,Junior,Always
41224,20,Communication,Always,57,Sophomore,Rarely
41225,75,Cs,Rarely,32,Senior,Always
41226,56,Stat,Always,29,Senior,Always
41227,10,Stat,Rarely,47,Freshman,Always
41228,70,Polsci,Rarely,77,Senior,Rarely
41229,52,Cs,Rarely,56,Sophomore,Rarely
41230,92,Communication,Rarely,23,Senior,Always
41231,61,Polsci,Always,93,Junior,Rarely
41232,17,Communication,Always,68,Junior,Always
41233,21,Communication,Always,16,Freshman,Always
41234,91,Cs,Always,60,Freshman,Always
41235,48,Polsci,Rarely,41,Freshman,Always
41236,49,Communication,Rarely,41,Junior,Always
41237,60,Stat,Always,22,Senior,Rarely
41238,40,Polsci,Rarely,49,Senior,Always
41239,60,Stat,Rarely,70,Senior,Rarely
41240,40,Cs,Rarely,53,Sophomore,Rarely
41241,21,Polsci,Rarely,41,Freshman,Rarely
41242,73,Stat,Rarely,62,Senior,Rarely
41243,87,Stat,Rarely,23,Sophomore,Rarely
41244,37,Cs,Rarely,20,Senior,Rarely
41245,79,Cs,Rarely,7,Junior,Always
41246,36,Communication,Always,1,Freshman,Rarely
41247,27,Polsci,Always,62,Senior,Rarely
41248,14,Polsci,Always,12,Senior,Rarely
41249,26,Cs,Always,14,Senior,Rarely
41250,42,Cs,Rarely,24,Sophomore,Rarely
41251,88,Polsci,Rarely,31,Junior,Always
41252,9,Communication,Always,71,Sophomore,Always
41253,73,Cs,Always,50,Freshman,Rarely
41254,77,Stat,Always,68,Sophomore,Rarely
41255,71,Polsci,Rarely,9,Sophomore,Rarely
41256,72,Communication,Rarely,96,Sophomore,Always
41257,45,Cs,Rarely,24,Freshman,Rarely
41258,18,Communication,Always,78,Freshman,Always
41259,60,Stat,Rarely,53,Sophomore,Always
41260,70,Stat,Rarely,26,Sophomore,Rarely
41261,79,Communication,Always,20,Junior,Always
41262,59,Communication,Rarely,2,Junior,Always
41263,76,Communication,Rarely,86,Sophomore,Rarely
41264,51,Communication,Rarely,83,Senior,Rarely
41265,85,Cs,Rarely,9,Sophomore,Always
41266,56,Polsci,Always,25,Senior,Always
41267,28,Polsci,Rarely,92,Junior,Always
41268,68,Polsci,Always,70,Freshman,Rarely
41269,62,Cs,Always,97,Senior,Always
41270,34,Communication,Always,12,Freshman,Rarely
41271,98,Polsci,Always,45,Senior,Rarely
41272,66,Polsci,Rarely,96,Sophomore,Rarely
41273,82,Stat,Always,25,Freshman,Always
41274,25,Polsci,Always,29,Junior,Rarely
41275,23,Polsci,Always,51,Junior,Always
41276,85,Polsci,Rarely,67,Junior,Rarely
41277,36,Polsci,Rarely,36,Senior,Rarely
41278,83,Polsci,Rarely,51,Sophomore,Rarely
41279,60,Stat,Always,61,Junior,Rarely
41280,87,Polsci,Always,74,Senior,Always
41281,59,Cs,Rarely,96,Freshman,Rarely
41282,82,Stat,Always,76,Junior,Always
41283,21,Polsci,Rarely,98,Junior,Always
41284,27,Communication,Always,76,Freshman,Rarely
41285,82,Polsci,Always,90,Senior,Always
41286,78,Stat,Always,70,Junior,Rarely
41287,26,Polsci,Always,74,Senior,Rarely
41288,35,Cs,Always,17,Senior,Rarely
41289,23,Polsci,Always,96,Freshman,Rarely
41290,65,Cs,Rarely,53,Junior,Always
41291,41,Stat,Always,39,Freshman,Rarely
41292,38,Communication,Always,75,Sophomore,Always
41293,41,Polsci,Always,40,Junior,Always
41294,95,Cs,Always,41,Freshman,Rarely
41295,91,Stat,Rarely,69,Senior,Rarely
41296,14,Communication,Rarely,31,Junior,Rarely
41297,19,Cs,Rarely,66,Senior,Always
41298,90,Cs,Rarely,20,Senior,Always
41299,58,Stat,Always,67,Sophomore,Always
41300,71,Cs,Always,84,Junior,Always
41301,71,Cs,Always,50,Freshman,Always
41302,50,Communication,Always,55,Sophomore,Rarely
41303,24,Cs,Always,74,Freshman,Rarely
41304,26,Communication,Always,91,Freshman,Rarely
41305,75,Cs,Always,46,Senior,Rarely
41306,35,Stat,Rarely,96,Senior,Always
41307,69,Polsci,Always,36,Junior,Always
41308,0,Communication,Always,83,Junior,Rarely
41309,35,Communication,Always,49,Junior,Rarely
41310,19,Stat,Always,51,Senior,Always
41311,89,Cs,Always,66,Senior,Always
41312,70,Communication,Rarely,78,Senior,Always
41313,19,Stat,Rarely,25,Freshman,Always
41314,51,Polsci,Always,86,Sophomore,Rarely
41315,75,Communication,Rarely,6,Freshman,Rarely
41316,19,Communication,Always,53,Junior,Rarely
41317,17,Communication,Always,2,Freshman,Rarely
41318,39,Communication,Always,31,Junior,Rarely
41319,78,Stat,Always,100,Senior,Rarely
41320,58,Stat,Always,40,Sophomore,Rarely
41321,77,Cs,Rarely,84,Freshman,Always
41322,66,Stat,Rarely,36,Senior,Always
41323,32,Stat,Rarely,75,Sophomore,Rarely
41324,3,Stat,Always,33,Junior,Rarely
41325,15,Cs,Always,64,Junior,Always
41326,16,Communication,Always,85,Freshman,Rarely
41327,32,Polsci,Always,49,Sophomore,Always
41328,30,Communication,Rarely,86,Freshman,Always
41329,64,Cs,Rarely,4,Freshman,Always
41330,16,Cs,Rarely,42,Junior,Always
41331,5,Polsci,Rarely,43,Senior,Rarely
41332,46,Polsci,Rarely,10,Junior,Rarely
41333,45,Stat,Rarely,23,Freshman,Always
41334,100,Stat,Always,59,Senior,Always
41335,84,Cs,Always,90,Sophomore,Rarely
41336,14,Communication,Always,10,Junior,Always
41337,13,Stat,Always,50,Senior,Rarely
41338,75,Communication,Rarely,51,Junior,Rarely
41339,20,Cs,Always,60,Sophomore,Always
41340,74,Communication,Rarely,95,Sophomore,Rarely
41341,60,Polsci,Always,8,Freshman,Rarely
41342,18,Communication,Always,49,Freshman,Always
41343,50,Communication,Always,55,Freshman,Always
41344,46,Communication,Always,89,Junior,Always
41345,99,Communication,Always,1,Sophomore,Rarely
41346,61,Cs,Rarely,50,Junior,Always
41347,48,Polsci,Always,58,Sophomore,Always
41348,81,Cs,Always,36,Senior,Rarely
41349,76,Stat,Always,8,Freshman,Rarely
41350,92,Cs,Always,36,Sophomore,Always
41351,44,Polsci,Rarely,79,Senior,Always
41352,94,Cs,Rarely,26,Junior,Rarely
41353,24,Polsci,Always,80,Freshman,Rarely
41354,29,Communication,Always,77,Senior,Rarely
41355,42,Communication,Rarely,37,Junior,Rarely
41356,36,Cs,Rarely,99,Junior,Always
41357,52,Cs,Always,50,Sophomore,Rarely
41358,43,Cs,Rarely,1,Freshman,Rarely
41359,0,Cs,Rarely,37,Freshman,Always
41360,80,Polsci,Always,8,Freshman,Always
41361,81,Stat,Always,35,Sophomore,Rarely
41362,55,Stat,Rarely,24,Junior,Always
41363,96,Stat,Rarely,14,Senior,Rarely
41364,47,Cs,Always,58,Senior,Rarely
41365,10,Communication,Always,92,Senior,Always
41366,61,Communication,Rarely,23,Freshman,Rarely
41367,84,Cs,Always,73,Sophomore,Always
41368,44,Polsci,Rarely,23,Sophomore,Always
41369,80,Stat,Always,99,Junior,Rarely
41370,64,Stat,Rarely,0,Sophomore,Rarely
41371,43,Cs,Always,60,Senior,Rarely
41372,31,Communication,Always,43,Sophomore,Always
41373,100,Communication,Always,81,Sophomore,Always
41374,69,Cs,Always,6,Sophomore,Rarely
41375,99,Communication,Rarely,23,Freshman,Rarely
41376,32,Stat,Always,19,Freshman,Always
41377,87,Polsci,Rarely,37,Freshman,Rarely
41378,44,Cs,Always,76,Freshman,Rarely
41379,10,Cs,Rarely,69,Freshman,Rarely
41380,8,Polsci,Rarely,78,Senior,Rarely
41381,49,Cs,Always,39,Junior,Rarely
41382,53,Communication,Always,70,Sophomore,Always
41383,34,Stat,Always,48,Senior,Rarely
41384,52,Stat,Rarely,69,Freshman,Always
41385,93,Polsci,Always,81,Freshman,Always
41386,90,Cs,Rarely,66,Freshman,Rarely
41387,69,Cs,Always,85,Senior,Always
