GPA,Number_Of_Professional_Connections,Earnings,Major,Graduation_Year,Height,Number_Of_Credits,Number_Of_Parking_Tickets
2.41,8,10230.24,Humanities,1987,69.37,121,1
2.35,55,10214.51,Humanities,2015,68.58,120,2
2.53,20,10254.33,Humanities,1989,68.82,120,2
2.97,17,10300.53,Humanities,1963,66.32,120,1
2.46,5,10245.25,Humanities,1978,71.58,123,0
2.98,36,10293.73,Humanities,2007,67.45,122,0
2.26,8,10220.66,Humanities,1984,69.49,121,0
2.54,42,10254.71,Humanities,2006,65.12,121,1
2.11,29,10207.87,Humanities,1997,67.28,123,0
1.95,27,10189.56,Humanities,1972,71.21,121,1
2.43,5,10246.67,Humanities,1998,66.84,124,1
1.7,7,10179.82,Humanities,2006,66.97,124,1
2.5,29,10240.36,Humanities,2012,69.68,122,0
2.39,0,10251.57,Humanities,1994,69.29,122,3
1.66,4,10175.71,Humanities,1993,65.28,123,2
3.22,9,10314.63,Humanities,1997,65.23,122,2
2.93,25,10287.9,Humanities,1987,69.38,120,0
2.73,31,10274.84,Humanities,2000,69.32,124,1
2.62,22,10265,Humanities,1964,67.45,122,0
2.69,8,10280.12,Humanities,1968,69.53,123,1
2.59,41,10244.92,Humanities,2013,66.96,120,0
3.5,18,10363.52,Humanities,1990,65.25,120,0
2.24,3,10217.05,Humanities,1975,68.98,120,0
2.32,1,10209.94,Humanities,1983,66.07,120,1
2.37,28,10226.31,Humanities,1969,65.92,123,0
2.86,7,10278.62,Humanities,1984,65.45,122,2
2.25,18,10228.09,Humanities,1974,67.53,120,1
2.43,31,10235.96,Humanities,1969,67.59,123,1
2.68,1,10261.27,Humanities,2006,69.31,121,1
2.74,2,10268.43,Humanities,1995,68.62,121,5
2.61,3,10265.69,Humanities,2009,68.92,120,0
1.83,22,10173.87,Humanities,1977,69.43,122,0
2.69,7,10272.89,Humanities,2001,68.06,122,0
2.7,100,10264.73,Humanities,1990,71.8,123,2
2.7,3,10258.73,Humanities,1965,66.28,121,1
2.05,8,10204.84,Humanities,2000,67.32,120,0
2.22,36,10230.58,Humanities,2012,66.38,121,0
2.45,45,10217.69,Humanities,2000,67.93,122,1
2.67,10,10259.69,Humanities,2003,68.86,122,1
2.15,9,10212.93,Humanities,1964,67.43,121,2
2.19,20,10218.71,Humanities,1970,67.91,120,1
2.82,1,10268.76,Humanities,1965,68.8,129,0
1.85,31,10203.17,Humanities,1969,69.92,120,0
2.02,7,10209.77,Humanities,2015,69.04,127,1
2.57,5,10245.82,Humanities,1963,69.25,120,1
2.5,20,10246.66,Humanities,1998,65.44,122,1
2.39,21,10224.23,Humanities,1987,67.26,120,4
2.39,2,10227.75,Humanities,1965,65.9,121,0
2.57,5,10247.83,Humanities,1986,72.16,121,0
3.1,17,10302.82,Humanities,1974,66.56,125,1
2.53,28,10247.9,Humanities,1997,65.05,123,0
2.46,2,10260.44,Humanities,1973,69.2,121,0
2.07,6,10196.19,Humanities,1974,67.31,120,5
2.71,16,10266.1,Humanities,1973,72.6,123,2
2.28,69,10227.78,Humanities,1989,66.71,121,2
2.55,36,10261.84,Humanities,1996,69.6,122,0
2.4,2,10240.66,Humanities,2003,67.21,121,0
2.65,14,10266.25,Humanities,1970,67.91,120,0
2.55,24,10269.3,Humanities,1964,65.75,121,1
2.14,32,10209.21,Humanities,2010,67.58,122,2
2.33,25,10240.96,Humanities,1995,68.99,121,0
2.71,8,10271.56,Humanities,1963,72.11,121,0
2.48,3,10231.38,Humanities,2007,67.18,128,0
2.63,13,10261.03,Humanities,2013,68.72,122,1
3.26,13,10331.35,Humanities,1968,69.86,121,1
3.17,5,10312.68,Humanities,1981,65.38,121,0
2.48,5,10250.02,Humanities,1996,67.34,120,0
3.2,53,10324.92,Humanities,1976,68.64,122,0
1.94,42,10215.93,Humanities,2010,69.35,121,1
2.48,5,10238.15,Humanities,2013,70.95,121,2
2.91,3,10280.14,Humanities,2005,69.7,128,2
1.97,22,10196.31,Humanities,1998,68.23,122,1
2.15,19,10208.07,Humanities,1992,65.24,124,0
1.97,6,10197.54,Humanities,2013,66.74,132,1
1.89,5,10200.75,Humanities,2003,68.35,121,0
2.46,1,10233.41,Humanities,1968,64.68,123,2
2.77,4,10275.13,Humanities,1990,68.36,122,2
2.26,28,10235.3,Humanities,1982,68.26,123,1
3.34,22,10326.85,Humanities,1963,66.51,122,1
2.15,20,10214.43,Humanities,1995,66.78,121,2
2.23,3,10229.71,Humanities,1965,65.43,121,0
2.23,8,10239.82,Humanities,2000,67.02,122,0
2.78,29,10268.01,Humanities,1991,68.28,120,1
2.71,6,10262.72,Humanities,1993,70.39,121,0
1.85,13,10176,Humanities,1980,67.19,125,1
2.13,12,10223.72,Humanities,1984,71.94,124,0
1.67,29,10167.99,Humanities,1966,70,123,1
2.41,14,10232.38,Humanities,2011,67.9,120,1
2.8,12,10278.32,Humanities,1978,71.88,121,0
2.83,13,10279.31,Humanities,1992,65.95,121,0
2.66,16,10281.19,Humanities,1977,68.62,120,0
2.92,6,10271.49,Humanities,1996,68.5,121,0
2.27,9,10232.37,Humanities,2014,66.73,120,2
1.52,4,10160.94,Humanities,2003,68.92,121,1
1.28,11,10135.61,Humanities,1962,68.08,121,0
2.13,8,10211.06,Humanities,1982,71.72,121,2
3.12,15,10303.01,Humanities,2011,64.33,122,1
2.35,62,10233.61,Humanities,1983,70.51,121,2
2.54,1,10238.59,Humanities,1989,65.53,121,0
2.45,7,10221.49,Humanities,2005,64.97,128,2
1.76,6,10180.67,Humanities,1989,68.87,121,1
2.35,30,10236.62,Humanities,2014,68.41,121,0
1.91,56,10178.82,Humanities,1996,67.62,124,1
2.59,15,10265.73,Humanities,1964,65.48,123,3
1.79,5,10190.8,Humanities,1981,66.59,124,2
2.29,5,10232.18,Humanities,1977,69,121,2
2.95,1,10304.88,Humanities,2004,67.51,121,2
2.83,5,10304.47,Humanities,2005,68.39,120,1
2.88,2,10308.16,Humanities,1992,67.77,123,3
2.36,94,10219.71,Humanities,2000,71.18,123,2
2.62,8,10256.28,Humanities,2010,70.3,121,4
2.48,13,10257.86,Humanities,1997,67.96,124,0
1.99,46,10189.01,Humanities,1990,65.17,121,2
2.05,7,10207.02,Humanities,1977,68.42,122,0
2.73,105,10260.16,Humanities,1997,69.14,126,0
2.35,0,10218.77,Humanities,1992,66.9,120,1
2.75,27,10263.69,Humanities,2010,68.22,122,1
2.85,5,10305.74,Humanities,1962,70.6,121,2
2.86,32,10282.87,Humanities,1976,67.67,120,1
2.01,16,10214.65,Humanities,2002,70.87,125,0
2.68,1,10259.65,Humanities,1983,69.22,123,1
2.2,32,10200.25,Humanities,2010,66.98,121,0
2.77,18,10275.59,Humanities,2004,68.27,121,1
2.67,52,10263.28,Humanities,1978,68.56,120,0
2.28,0,10239.5,Humanities,2014,68.34,121,2
2.46,24,10248.63,Humanities,2003,67.03,122,0
2.04,5,10188.73,Humanities,1985,67.88,122,0
1.87,17,10190.15,Humanities,1978,66.77,121,0
2.61,26,10267.4,Humanities,1968,69.29,124,3
2.2,35,10237.68,Humanities,1976,67.45,121,4
3.53,8,10350.05,Humanities,1982,69.09,121,1
2.71,47,10269.05,Humanities,2015,68.67,120,0
2.81,3,10270.74,Humanities,1979,67.33,120,0
2.37,3,10235.57,Humanities,1993,67.68,124,0
2.92,21,10298.48,Humanities,2005,69.67,120,1
2.68,33,10255.87,Humanities,1991,70.1,124,1
2.5,0,10249.02,Humanities,1975,65.75,124,0
2.5,19,10245.77,Humanities,1964,67.26,120,0
3.06,2,10312.02,Humanities,2011,67.62,123,1
2.17,11,10212.1,Humanities,1962,68.37,122,0
2.17,22,10213.36,Humanities,1978,68.92,123,0
2.91,0,10298.97,Humanities,1972,67.18,122,0
2.48,52,10255.92,Humanities,1985,72.03,121,1
2.84,2,10291.69,Humanities,1997,68.86,120,0
2.37,36,10251.83,Humanities,1974,68.31,121,2
2.84,15,10263.2,Humanities,1998,68.62,120,1
2.39,6,10243.8,Humanities,1998,67.56,121,0
2.87,79,10317.7,Humanities,2000,68.66,120,0
2.54,16,10257.98,Humanities,1972,69.3,120,0
2.56,1,10264.89,Humanities,1978,66.69,121,2
3.39,13,10337.44,Humanities,1999,71.44,120,1
2.34,10,10234.43,Humanities,2015,65.44,124,1
2.36,12,10253.3,Humanities,2010,69.88,121,0
2.53,1,10253.7,Humanities,1969,67.05,122,0
1.77,8,10157.97,Humanities,1994,65.57,121,1
3.11,7,10304.87,Humanities,1988,66.49,122,1
2.64,31,10262.76,Humanities,1968,65.62,124,1
2.23,8,10228.62,Humanities,1997,67.72,120,0
3.03,10,10308.17,Humanities,2000,65.57,123,0
1.94,48,10194.91,Humanities,1994,62.07,121,1
2.56,25,10259.32,Humanities,1979,68.6,121,1
3.22,16,10315.95,Humanities,1972,67.32,123,0
2.28,47,10229.7,Humanities,1996,63.44,124,3
1.68,2,10179.72,Humanities,1999,70.64,120,1
3.06,31,10308.76,Humanities,1961,65.3,121,0
2.38,0,10237.18,Humanities,2001,67.69,124,2
2.5,7,10253.97,Humanities,1988,64.79,123,0
2.7,21,10271.55,Humanities,1964,66.05,125,2
2.58,2,10246.23,Humanities,1963,66.48,120,0
2.43,10,10238.42,Humanities,1980,64.99,123,0
2.68,5,10249.38,Humanities,1983,65.57,127,2
2.26,11,10211.21,Humanities,2014,66.63,122,2
2.32,43,10224.67,Humanities,1979,65.07,122,0
2.96,23,10293.55,Humanities,2005,71.98,129,1
3.24,11,10326.39,Humanities,1961,66.5,122,0
2.54,5,10249.11,Humanities,1962,73.59,122,1
2.7,60,10277.31,Humanities,1969,72.19,120,1
2.81,28,10276.64,Humanities,1982,67.4,120,2
2.91,2,10267.56,Humanities,1976,67.93,120,1
3.21,7,10318.57,Humanities,1991,64.59,123,0
2.75,3,10285.51,Humanities,1961,69.32,120,0
2.46,54,10238.59,Humanities,2001,69.42,121,0
2.68,27,10283.66,Humanities,2006,67.99,122,0
3.11,7,10309.18,Humanities,1983,66.5,120,0
2.94,2,10290.81,Humanities,2013,70.47,120,1
2.86,5,10270.74,Humanities,1996,73.85,126,0
2.45,1,10269.92,Humanities,1964,67.85,122,2
3.14,7,10311.72,Humanities,1972,69.76,120,2
2.99,9,10287.04,Humanities,2000,69.65,121,0
2.69,8,10261.06,Humanities,1978,67.79,133,1
2.48,21,10268.39,Humanities,1989,66.58,120,2
2.08,59,10195.6,Humanities,2012,68.54,120,1
1.51,6,10177.96,Humanities,2012,66.28,120,1
2.92,49,10288.62,Humanities,2008,68.66,128,3
2.76,12,10284.97,Humanities,2005,67.48,120,2
2.75,16,10264.9,Humanities,1972,71,121,0
2.21,25,10226.7,Humanities,1971,68.85,120,1
3.07,46,10306.85,Humanities,2009,68.29,124,0
2.99,14,10308.34,Humanities,2000,68.5,121,3
3.06,1,10317.04,Humanities,1970,67.41,121,0
2.79,6,10278.12,Humanities,2013,65.45,122,4
2.53,5,10261.69,Humanities,1976,67.41,121,1
2.7,20,10257.42,Humanities,1972,66.91,120,1
2.32,104,10230.45,Humanities,2009,67.58,120,0
2.28,1,10236.46,Humanities,2008,68.84,121,6
1.9,52,10202.8,Humanities,2001,71.59,128,2
2.9,34,10291.89,Humanities,1980,66.57,125,1
2.26,3,10232.14,Humanities,2005,63.67,122,1
3.35,11,10329.17,Humanities,1990,68.05,121,1
2.66,13,10282.04,Humanities,1981,69.32,123,2
2.81,44,10267.96,Humanities,1987,66.88,124,3
3.02,1,10312.2,Humanities,1973,66.99,121,1
2.22,11,10211.92,Humanities,2004,70.48,124,2
2.65,86,10262.29,Humanities,1990,65.33,122,1
2.9,105,10294.83,Humanities,1963,67.94,122,2
1.95,18,10181.18,Humanities,1987,70.28,120,2
2.67,8,10270.87,Humanities,2012,69.49,120,0
2.07,47,10203.45,Humanities,1986,63.87,124,0
2.89,2,10288.55,Humanities,1995,66.15,126,2
2.97,36,10288.66,Humanities,2003,65.08,120,0
3.09,2,10305.51,Humanities,2015,71.72,122,1
2.98,48,10298.35,Humanities,1992,69.89,125,0
2.94,25,10294.69,Humanities,1976,66.51,121,0
2.72,0,10282.48,Humanities,1965,66.35,121,1
1.9,6,10178.65,Humanities,1969,66.6,121,1
2.9,19,10276.68,Humanities,1974,66.08,121,1
2.86,57,10304.29,Humanities,1966,67.4,120,1
2.61,9,10256.55,Humanities,1983,67.12,120,0
2.38,4,10251.09,Humanities,1987,69.19,122,4
1.79,43,10203.45,Humanities,1986,70.43,125,2
2.52,11,10263.78,Humanities,1993,67.98,120,2
2.85,6,10279.86,Humanities,2003,69.41,120,0
2.44,12,10246.66,Humanities,1982,72.36,122,3
2.41,6,10259.09,Humanities,1989,69.18,123,0
2.44,1,10247.63,Humanities,1995,73.26,131,1
3.09,35,10295.79,Humanities,2007,68.36,120,0
2.36,1,10225.91,Humanities,1967,68.56,121,0
2.17,0,10213.04,Humanities,1974,65.64,122,0
2.54,22,10259.59,Humanities,2007,67.45,124,1
2.17,68,10210.65,Humanities,1975,65.72,122,3
2.37,14,10241.96,Humanities,2009,69.81,120,5
3.55,61,10373.36,Humanities,2003,68.04,121,1
1.9,70,10184.29,Humanities,1981,68.76,124,2
2.72,8,10283.08,Humanities,2012,66.1,122,1
2.13,8,10232.14,Humanities,1987,68.05,123,1
3.29,16,10332.87,Humanities,2012,68.76,122,1
2.02,14,10214.15,Humanities,1995,70.4,120,4
2.58,1,10250,Humanities,2003,70.45,120,1
2.23,36,10220.32,Humanities,1991,65.26,120,1
2.29,24,10222.96,Humanities,1985,68.6,125,2
2.22,21,10231.96,Humanities,1989,66.3,121,1
2.67,16,10255.59,Humanities,2004,69.69,122,2
2.67,38,10265.37,Humanities,1977,67.19,123,0
2.94,4,10290.71,Humanities,1999,66.1,123,1
2.76,11,10281.71,Humanities,2000,66.74,120,0
2.26,16,10201.77,Humanities,1974,67.81,120,1
2.97,1,10286.41,Humanities,1985,66.61,122,8
1.86,1,10195.74,Humanities,1976,69.45,121,0
2.34,48,10231.72,Humanities,1995,72.1,120,2
2.52,7,10257.15,Humanities,2007,69.64,121,2
2.75,32,10274.59,Humanities,1970,69.91,121,0
2.5,2,10238.98,Humanities,2012,68.08,121,0
2.33,84,10227.36,Humanities,1985,68.24,122,0
2.47,13,10248.53,Humanities,2015,68.84,121,0
2.64,25,10276.94,Humanities,2009,68.35,122,1
2.31,22,10233.41,Humanities,1997,66.82,121,0
2.79,10,10278.85,Humanities,1993,64.04,121,0
2.16,24,10217.3,Humanities,2011,63.68,121,1
2.41,20,10261.98,Humanities,1976,70.6,124,0
2.82,14,10289.73,Humanities,1996,71.24,120,0
1.96,30,10184.62,Humanities,1970,63.58,121,1
2.67,24,10273.67,Humanities,2015,67.76,124,1
2.51,22,10253.83,Humanities,1993,70.96,122,0
2.18,23,10226.12,Humanities,2009,68.15,121,3
2.07,2,10210.51,Humanities,2005,66.93,124,0
2.22,11,10225.41,Humanities,2012,71.41,124,1
1.78,8,10166.78,Humanities,1968,67.44,124,1
2.24,5,10224.73,Humanities,2006,68.89,121,1
2.64,16,10253.19,Humanities,1964,66.66,122,1
2.53,57,10247.54,Humanities,1999,66.79,122,1
2.16,55,10225.12,Humanities,2006,65.48,128,1
2.16,72,10220.2,Humanities,1985,64.8,121,1
2.77,1,10277.32,Humanities,1997,69.99,122,1
1.45,6,10137.71,Humanities,1971,68.26,121,0
3.25,7,10339.97,Humanities,1981,63.47,121,1
2.68,16,10270.49,Humanities,2006,69.01,126,2
1.9,27,10179.97,Humanities,1987,70.14,121,0
1.49,1,10137.22,Humanities,1986,66.83,121,1
2.54,15,10251.61,Humanities,1987,68.69,124,0
2.35,4,10244.78,Humanities,2009,68.08,120,2
2.59,18,10238.71,Humanities,2001,65.94,121,1
2.18,11,10219.05,Humanities,1998,64.53,122,1
2.68,41,10273.38,Humanities,1989,68.4,123,1
3.12,33,10322.51,Humanities,1985,70.95,125,1
2.92,4,10285.46,Humanities,1975,69.81,124,1
3.56,12,10361.85,Humanities,1997,66.98,121,1
2.94,24,10304.54,Humanities,1981,72.51,120,1
2.95,18,10290.27,Humanities,1977,66.61,122,0
2.45,3,10250.52,Humanities,1991,66.4,120,1
1.85,77,10173.95,Humanities,1971,67.67,120,0
1.87,24,10182.51,Humanities,1991,70.6,121,1
1.53,17,10169.07,Humanities,1987,70.51,122,1
2.32,5,10240.93,Humanities,1974,67.53,130,1
2.48,1,10257.66,Humanities,1967,67.01,121,0
1.56,22,10169.06,Humanities,2015,65.91,120,0
2.47,26,10250.54,Humanities,1986,68.39,122,0
2.55,23,10259.52,Humanities,2015,65.25,120,0
2.17,16,10224.84,Humanities,1999,65.64,124,0
2.28,28,10215.42,Humanities,1990,70.01,121,2
2.14,4,10196.6,Humanities,2006,67.1,124,4
2.33,4,10239.33,Humanities,1961,69.89,130,3
2.57,16,10248.01,Humanities,1968,66.83,125,3
2.73,49,10276.16,Humanities,1974,64.98,122,1
2.94,12,10305.48,Humanities,2011,66.31,122,0
2.1,3,10218.56,Humanities,1973,66.34,121,0
2.61,30,10245.77,Humanities,1978,68.33,124,0
1.59,23,10158.58,Humanities,1965,69.12,128,2
2.27,3,10221.34,Humanities,1969,67.53,122,2
2.65,3,10265.14,Humanities,1997,68.06,121,0
2.23,70,10223.04,Humanities,2011,69.34,120,2
2.77,55,10274.5,Humanities,2015,68.17,123,1
1.91,8,10191.33,Humanities,2012,65.69,121,2
2.08,22,10207.83,Humanities,2006,67.09,121,2
2.59,0,10275,Humanities,1998,66.22,120,0
3.72,3,10368.26,Humanities,2002,69.24,121,1
2.29,3,10204.98,Humanities,1999,66.18,121,0
3.18,17,10310.22,Humanities,1964,65.72,124,1
2.17,31,10232.08,Humanities,1992,69.54,121,1
3.13,10,10313.64,Humanities,1974,67.8,120,1
2.36,57,10231.95,Humanities,1989,68.01,125,2
1.85,63,10202.46,Humanities,1993,69.16,121,2
1.88,53,10203.33,Humanities,1969,68.31,121,0
1.9,8,10200.75,Humanities,1977,68.16,121,0
2.48,6,10246.47,Humanities,2015,70.8,122,1
3.12,1,10299.21,Humanities,1972,71.73,122,0
3.19,36,10310.36,Humanities,1985,69.59,120,3
3.12,5,10318.4,Humanities,1985,66.73,120,3
2.49,32,10252.98,Humanities,2001,71.6,120,0
2.32,2,10223.7,Humanities,1978,68.77,120,1
1.98,17,10196.2,Humanities,1966,68.52,121,3
2.35,46,10225.23,Humanities,1966,71.86,121,1
1.98,10,10190.64,Humanities,1973,65.98,121,0
2.72,2,10278.57,Humanities,2003,66,127,3
2.32,27,10225.02,Humanities,1999,65.98,121,0
2.04,24,10193.69,Humanities,1967,66.68,121,2
2.6,6,10272.34,Humanities,1975,68.59,123,1
2.3,2,10242.62,Humanities,1986,68.18,121,1
2.64,8,10265.62,Humanities,2003,66.02,122,1
2.28,6,10236.24,Humanities,1978,66.02,120,0
3.48,20,10337.54,Humanities,2014,69.8,121,1
2.88,32,10301.5,Humanities,1982,65.72,120,0
1.8,7,10177.6,Humanities,1972,69.29,120,3
2.82,29,10293.57,Humanities,1996,66.23,120,2
2.84,9,10268.31,Humanities,1974,72.75,121,0
2.7,15,10273.9,Humanities,1965,69.07,120,0
1.67,3,10168.35,Humanities,2009,70.55,120,1
2.27,45,10216.8,Humanities,1972,67.54,120,0
2.42,22,10230.55,Humanities,1963,68.22,121,1
2.72,8,10270.51,Humanities,1995,67.94,125,0
2.64,2,10264.3,Humanities,1971,69.3,121,5
2.09,2,10205.76,Humanities,1965,65.99,123,0
2.3,3,10227.69,Humanities,1994,64.51,124,1
2.57,42,10267.82,Humanities,2011,68.07,120,0
1.93,50,10193.54,Humanities,2006,69.53,121,1
2.23,40,10219.52,Humanities,1966,69.33,121,0
2.23,8,10229.65,Humanities,2003,66.98,124,0
2.43,49,10222.01,Humanities,2013,65.06,128,0
3.09,12,10312.73,Humanities,1963,67.49,123,1
2.35,16,10228.51,Humanities,1972,69.94,123,0
2.93,39,10291.4,Humanities,1978,67.31,129,2
1.94,2,10196.59,Humanities,1982,65.21,120,0
2.8,41,10281.7,Humanities,2003,69.63,122,0
2.53,9,10237.33,Humanities,1970,67.8,121,1
2.75,21,10257.56,Humanities,1998,69.55,120,1
2.28,3,10217.18,Humanities,1971,66.62,122,2
2.11,6,10214.46,Humanities,1977,67.68,123,1
2.44,17,10228.53,Humanities,1964,66.63,122,0
2.35,2,10252.98,Humanities,1966,66.78,126,1
2.48,28,10255.96,Humanities,2001,67.63,120,0
2.21,4,10208.89,Humanities,1961,65.53,120,1
2.22,15,10226.42,Humanities,2005,63.66,120,1
3.3,0,10322.22,Humanities,1993,71.73,120,2
2.45,7,10250.1,Humanities,1969,68.73,121,0
3.2,6,10325.54,Humanities,1977,69.59,123,0
2.05,5,10202.33,Humanities,1998,66.16,124,1
2.74,37,10276.32,Humanities,1965,69.45,121,3
2.41,41,10245.45,Humanities,1992,68.44,121,1
4,46,10405.15,Humanities,1978,68.77,120,2
1.83,47,10172.6,Humanities,1982,69.75,123,0
2.1,16,10215.52,Humanities,1996,69.96,120,0
2.53,12,10252.26,Humanities,1983,69.53,122,0
2.77,0,10274.63,Humanities,1992,69,123,1
2.63,9,10251.54,Humanities,1963,68.12,129,2
1.78,11,10170.16,Humanities,2000,68.76,122,7
2.14,29,10214.97,Humanities,1971,71.56,120,1
3.23,6,10346.04,Humanities,1986,67.75,120,0
2.01,4,10211.11,Humanities,1967,68.74,120,6
2.75,33,10265.79,Humanities,1963,69.97,125,1
2.04,2,10205.96,Humanities,1963,67.84,121,0
2.22,7,10217.71,Humanities,1997,68.94,125,0
2.68,39,10266.96,Humanities,1979,69.9,120,2
2.75,12,10261.73,Humanities,1992,69.11,121,1
2.11,28,10213.54,Humanities,2000,68.81,126,0
2.32,15,10224.74,Humanities,1986,67.92,121,1
2.63,7,10263.21,Humanities,1963,68.3,120,0
3.46,58,10363.74,Humanities,2003,69.48,123,1
3.55,4,10334.56,Humanities,1991,66.01,122,1
2.28,35,10253.98,Humanities,1992,65.07,120,0
3.11,33,10309,Humanities,2010,67.6,121,0
3.12,41,10311.02,Humanities,2004,69.96,123,1
2.32,48,10230.19,Humanities,1990,71.49,122,0
3.13,10,10309.24,Humanities,1963,68.87,120,1
2.93,2,10287.4,Humanities,2006,66.49,120,2
2.22,9,10224.33,Humanities,1964,68.71,128,2
1.92,24,10202.03,Humanities,1995,70.42,121,1
2.6,10,10254.77,Humanities,1987,65.08,122,1
2.92,4,10292.44,Humanities,1982,66.44,122,2
2.64,12,10268.09,Humanities,1974,71,120,0
2.46,22,10239.03,Humanities,1985,65.6,120,2
2.51,22,10255.89,Humanities,1962,68.62,120,2
2.47,25,10228.33,Humanities,1969,67.84,123,1
2.22,25,10213.24,Humanities,1983,66.78,123,2
2.62,40,10251.06,Humanities,2006,69.69,121,0
2.01,27,10208.94,Humanities,1998,68.87,122,0
2.8,9,10262.16,Humanities,2010,65.8,121,1
2.43,64,10252.04,Humanities,1998,66.49,122,1
3.35,17,10313.57,Humanities,2014,66.77,125,2
2.92,36,10299.66,Humanities,1962,69.81,121,1
2.93,24,10280.13,Humanities,2002,70.24,120,0
3.16,4,10320.99,Humanities,1982,68.31,120,0
2.05,23,10184.6,Humanities,1990,66.61,125,2
2.68,7,10270.01,Humanities,2014,66.27,122,1
2.67,29,10277.7,Humanities,1993,69.94,122,2
2.1,3,10198.55,Humanities,2006,67.94,121,0
1.83,2,10188.45,Humanities,1987,69.55,121,2
3.14,5,10331.03,Humanities,1996,66.07,123,2
2.24,26,10238.59,Humanities,1992,67.24,120,0
3.24,4,10311.94,Humanities,1998,67.41,121,0
3.05,30,10284.46,Humanities,1989,67.91,122,0
2.74,86,10269.39,Humanities,1962,68.78,121,0
2.43,12,10259.66,Humanities,1980,69.82,128,0
2.74,6,10280.81,Humanities,1974,65.44,120,1
2.3,33,10226.86,Humanities,1987,65.97,122,1
2.55,2,10258.48,Humanities,1977,69.87,121,2
3.19,69,10318.72,Humanities,2011,69.83,121,1
2.36,19,10241.58,Humanities,2009,65.48,124,0
2.84,28,10284.2,Humanities,2005,66.52,121,0
2.76,51,10263.56,Humanities,1975,69.05,122,2
2.38,26,10231.78,Humanities,2004,71.86,121,1
2.43,5,10232.38,Humanities,1981,67.87,122,0
2.29,16,10244.74,Humanities,1962,68.14,121,1
2.3,0,10221.72,Humanities,1999,67.94,123,1
1.1,34,10118.25,Humanities,2011,68.91,121,1
2.46,35,10256.79,Humanities,1979,66.85,121,2
3.53,6,10363.01,Humanities,1980,68.38,122,1
2.86,11,10278.94,Humanities,1965,63.91,123,0
2.03,7,10186.6,Humanities,1991,73.14,121,1
2.44,18,10247.23,Humanities,1969,66.34,121,0
1.92,41,10202.34,Humanities,1976,66.35,121,0
2.85,16,10292.79,Humanities,1972,68.04,120,0
3.17,42,10327.67,Humanities,1978,70.56,127,2
2.1,20,10236.73,Humanities,1972,70.75,123,1
2.61,12,10263.7,Humanities,1980,69.79,121,0
2.17,2,10208.68,Humanities,1977,67.27,120,1
2.34,49,10234.74,Humanities,1973,69.92,121,3
2.94,56,10279.22,Humanities,1965,71.04,123,1
1.84,31,10180.89,Humanities,1971,69.76,120,3
2.77,24,10276.89,Humanities,1995,68.98,120,2
2.66,7,10279.96,Humanities,1984,73.19,122,1
2.8,26,10301.65,Humanities,1962,68.05,125,1
2.9,55,10289.01,Humanities,1981,66.19,121,1
2.86,48,10280.15,Humanities,1972,66.47,121,1
1.96,26,10199.33,Humanities,2011,70.39,121,1
2.14,1,10183.86,Humanities,2010,73.39,123,1
2.74,7,10283.02,Humanities,1969,67.45,120,1
2.48,1,10237.99,Humanities,2005,67.94,123,2
1.89,3,10192.86,Humanities,2000,69.28,121,0
2.48,17,10248.69,Humanities,2005,67.82,123,2
2.89,114,10278.47,Humanities,2000,69.7,121,1
2.67,11,10262.44,Humanities,2005,67.37,125,1
1.89,3,10169.09,Humanities,1974,65.27,123,0
2.35,17,10234.89,Humanities,1982,71.44,120,1
2.78,7,10268.59,Humanities,1985,67.34,123,0
1.86,54,10181.27,Humanities,1962,71.44,121,1
2.53,1,10249.14,Humanities,2007,67.84,120,2
2.32,15,10222.5,Humanities,1972,65.68,125,1
2.61,26,10248.78,Humanities,1983,67.34,122,3
2.59,31,10248.98,Humanities,1966,67.01,120,0
1.36,27,10106.44,Humanities,1995,69.59,122,0
2.68,1,10277.82,Humanities,1965,69.94,121,1
2.36,3,10250.63,Humanities,1985,70.33,121,0
2.34,39,10219.91,Humanities,1991,67.05,120,0
2.23,31,10211.2,Humanities,1987,72.76,123,0
2.65,6,10255.7,Humanities,1982,68.22,122,2
1.92,3,10197.39,Humanities,1992,66.64,121,4
2.46,8,10243,Humanities,1970,66.77,126,3
2.52,0,10247.66,Humanities,1980,66.48,120,3
1.9,24,10216.04,Humanities,1975,69.43,122,0
1.54,6,10137.77,Humanities,1990,67.51,121,3
3.52,14,10342.78,Humanities,1985,68.2,127,2
2.47,15,10259.4,Humanities,1972,69.87,121,0
2.72,21,10270.88,Humanities,2013,68.03,125,2
2.15,13,10210.36,Humanities,1966,69.87,121,1
2.31,28,10224.46,Humanities,1992,69.54,123,1
3.29,3,10332.77,Humanities,1980,65.07,120,0
1.83,25,10170.87,Humanities,2012,68.63,121,0
2.09,14,10215.86,Humanities,2015,65.44,121,1
2.4,74,10240.09,Humanities,2013,69.73,120,0
2.17,14,10215.09,Humanities,1968,67.16,120,0
2.84,43,10278.37,Humanities,1963,68.2,120,0
2.75,6,10285.99,Humanities,1969,67.32,123,1
2.14,24,10208.28,Humanities,1983,64.77,124,1
2.65,13,10262.61,Humanities,2000,71.55,120,1
2.12,22,10221.48,Humanities,2009,63.33,122,2
2.83,2,10295.8,Humanities,1964,69.05,124,1
2.25,11,10217.55,Humanities,1989,64.11,121,1
2.68,53,10269.35,Humanities,2011,68.29,120,1
