Toss,Location,Time,Tosser,Temprature,Reporter
Heads,BurgerKing,Midday,Kalpana,45,Katia
Tails,MacDonalds,Night,Kalpana,26,Katia
Heads,Tachos,Morning,Katia,74,Arpit
Heads,BurgerKing,Morning,Katia,37,Arpit
Tails,Starbucks,Evening,Katia,42,Katia
Heads,Tachos,Night,Chen,72,Chen
Tails,BurgerKing,Midday,Katia,66,Chen
Tails,Tachos,Evening,John,54,Arpit
Heads,Panera,Midday,John,44,Ayla
Tails,MacDonalds,Night,Katia,26,Ayla
Heads,BurgerKing,Night,Dev,10,Chen
Heads,MacDonalds,Evening,Kalpana,86,Arpit
Tails,Tachos,Evening,Chen,7,Arpit
Heads,Starbucks,Evening,Dev,14,Ayla
Tails,MacDonalds,Night,Kalpana,93,Katia
Heads,Panera,Evening,Katia,60,Katia
Tails,BurgerKing,Morning,John,8,Chen
Tails,MacDonalds,Night,Dev,99,Arpit
Tails,Tachos,Night,John,19,Dev
Tails,Tachos,Evening,John,28,Chen
Tails,MacDonalds,Morning,Kalpana,80,Arpit
Heads,MacDonalds,Morning,Dev,17,Katia
Heads,BurgerKing,Morning,Chen,92,Dev
Heads,Starbucks,Morning,Dev,70,Katia
Tails,Starbucks,Midday,Kalpana,41,Katia
Tails,BurgerKing,Night,Chen,45,Arpit
Heads,Starbucks,Night,Chen,25,Arpit
Tails,MacDonalds,Midday,John,60,Dev
Tails,Tachos,Night,Chen,100,Chen
Heads,Tachos,Morning,Chen,100,Arpit
Heads,Starbucks,Midday,Chen,37,Katia
Tails,MacDonalds,Night,John,1,Katia
Tails,Tachos,Night,Dev,2,Arpit
Tails,BurgerKing,Evening,Kalpana,93,Ayla
Heads,Tachos,Evening,Katia,32,Chen
Tails,Tachos,Midday,Dev,27,Dev
Heads,MacDonalds,Night,Katia,8,Dev
Heads,MacDonalds,Night,Katia,79,Katia
Tails,Panera,Midday,Chen,39,Katia
Tails,BurgerKing,Midday,Chen,10,Dev
Heads,BurgerKing,Morning,John,75,Arpit
Heads,Starbucks,Midday,Katia,33,Dev
Tails,Panera,Night,Kalpana,99,Ayla
Heads,Starbucks,Morning,Katia,84,Dev
Heads,BurgerKing,Morning,Dev,82,Chen
Heads,MacDonalds,Morning,Dev,82,Chen
Tails,MacDonalds,Morning,Kalpana,9,Dev
Tails,BurgerKing,Evening,Kalpana,19,Katia
Tails,Tachos,Midday,Kalpana,96,Ayla
Tails,Tachos,Night,Dev,42,Katia
Tails,Starbucks,Night,Kalpana,43,Dev
Heads,Panera,Morning,John,57,Dev
Tails,MacDonalds,Midday,Dev,47,Dev
Tails,BurgerKing,Midday,Dev,49,Ayla
Tails,Tachos,Evening,Kalpana,20,Arpit
Tails,Panera,Morning,Kalpana,98,Katia
Tails,MacDonalds,Morning,Kalpana,64,Arpit
Heads,Panera,Morning,Chen,90,Katia
Heads,Panera,Evening,Kalpana,61,Chen
Tails,Tachos,Night,Dev,97,Ayla
Heads,BurgerKing,Morning,Chen,80,Katia
Tails,BurgerKing,Evening,Kalpana,22,Katia
Heads,Panera,Midday,Chen,40,Arpit
Heads,BurgerKing,Morning,Dev,96,Arpit
Heads,MacDonalds,Evening,John,94,Chen
Heads,BurgerKing,Midday,John,16,Ayla
Heads,MacDonalds,Night,Dev,3,Katia
Tails,MacDonalds,Midday,Chen,23,Katia
Tails,Tachos,Midday,Dev,70,Katia
Heads,Starbucks,Midday,Kalpana,65,Chen
Tails,Starbucks,Morning,Dev,26,Chen
Heads,Panera,Night,Chen,8,Katia
Heads,Panera,Evening,Chen,45,Chen
Tails,BurgerKing,Midday,Kalpana,46,Katia
Heads,Starbucks,Midday,Dev,36,Katia
Heads,Starbucks,Night,Katia,4,Ayla
Tails,Panera,Evening,Dev,65,Katia
Tails,BurgerKing,Morning,Chen,74,Katia
Tails,Panera,Night,Chen,29,Chen
Heads,BurgerKing,Midday,John,9,Arpit
Heads,Panera,Morning,Chen,77,Arpit
Heads,Panera,Evening,Kalpana,69,Arpit
Heads,Panera,Evening,Dev,44,Arpit
Tails,MacDonalds,Morning,Chen,49,Chen
Tails,Panera,Evening,Dev,49,Dev
Heads,MacDonalds,Morning,John,69,Chen
Tails,BurgerKing,Morning,Katia,80,Katia
Tails,Starbucks,Midday,John,61,Chen
Heads,Starbucks,Midday,John,0,Dev
Tails,MacDonalds,Evening,Kalpana,73,Dev
Tails,BurgerKing,Midday,Dev,43,Katia
Tails,Tachos,Morning,John,41,Ayla
Heads,Starbucks,Midday,Chen,84,Dev
Tails,Starbucks,Morning,Katia,50,Katia
Tails,Tachos,Evening,Dev,34,Dev
Tails,Tachos,Evening,Dev,43,Katia
Heads,Starbucks,Evening,Chen,6,Arpit
Tails,Tachos,Morning,Katia,37,Chen
Tails,BurgerKing,Evening,Kalpana,49,Arpit
Tails,Panera,Morning,Chen,82,Katia
Tails,BurgerKing,Morning,Katia,17,Katia
Tails,BurgerKing,Night,Kalpana,20,Chen
Heads,BurgerKing,Midday,Chen,18,Arpit
Heads,Starbucks,Night,Katia,13,Dev
Tails,Tachos,Night,John,21,Chen
Tails,Starbucks,Morning,Chen,77,Chen
Heads,BurgerKing,Night,John,89,Dev
Tails,BurgerKing,Evening,John,94,Dev
Heads,MacDonalds,Night,Kalpana,25,Dev
Heads,Panera,Morning,Chen,75,Dev
Heads,BurgerKing,Night,John,88,Dev
Heads,Tachos,Midday,Chen,85,Arpit
Heads,MacDonalds,Evening,John,86,Katia
Tails,MacDonalds,Evening,Dev,24,Chen
Heads,MacDonalds,Morning,Dev,80,Arpit
Tails,Tachos,Evening,Katia,26,Arpit
Tails,Tachos,Night,Kalpana,11,Katia
Heads,Starbucks,Evening,Dev,32,Arpit
Heads,Starbucks,Midday,Chen,79,Ayla
Heads,Tachos,Morning,John,26,Chen
Tails,MacDonalds,Morning,Katia,77,Chen
Tails,BurgerKing,Evening,John,67,Dev
Heads,Panera,Morning,Katia,55,Dev
Heads,BurgerKing,Morning,John,49,Chen
Heads,Panera,Night,Katia,31,Katia
Tails,BurgerKing,Midday,Kalpana,37,Chen
Heads,BurgerKing,Night,John,68,Dev
Heads,MacDonalds,Evening,John,53,Chen
Tails,Tachos,Midday,Kalpana,59,Dev
Tails,Tachos,Night,Chen,8,Chen
Tails,Tachos,Evening,Katia,35,Chen
Tails,MacDonalds,Midday,Kalpana,25,Dev
Heads,Tachos,Night,Katia,11,Dev
Heads,Tachos,Night,John,66,Dev
Heads,Panera,Night,Dev,23,Chen
Tails,Starbucks,Night,Dev,62,Arpit
Heads,Tachos,Morning,John,48,Ayla
Heads,Tachos,Night,Dev,79,Arpit
Heads,Starbucks,Night,Katia,97,Katia
Heads,Starbucks,Evening,Chen,71,Arpit
Tails,Tachos,Midday,John,14,Chen
Heads,Starbucks,Evening,John,45,Ayla
Tails,Tachos,Night,Kalpana,34,Chen
Tails,BurgerKing,Night,Chen,94,Dev
Tails,Tachos,Morning,Chen,5,Katia
Tails,Starbucks,Night,Dev,46,Ayla
Heads,MacDonalds,Evening,Kalpana,27,Katia
Heads,Starbucks,Midday,Katia,96,Katia
Tails,Tachos,Midday,Dev,55,Arpit
Heads,BurgerKing,Night,John,95,Ayla
Tails,MacDonalds,Midday,Kalpana,14,Katia
Heads,Tachos,Morning,Kalpana,96,Katia
Tails,BurgerKing,Midday,Chen,12,Katia
Tails,Tachos,Midday,Dev,51,Arpit
Tails,Panera,Night,Kalpana,71,Arpit
Heads,BurgerKing,Night,John,38,Ayla
Heads,Starbucks,Morning,Kalpana,46,Arpit
Heads,BurgerKing,Midday,John,81,Katia
Tails,Starbucks,Night,Katia,92,Dev
Tails,Tachos,Evening,Chen,33,Arpit
Tails,BurgerKing,Evening,Dev,95,Arpit
Tails,MacDonalds,Morning,John,77,Dev
Tails,BurgerKing,Morning,Kalpana,45,Ayla
Heads,MacDonalds,Midday,Kalpana,56,Chen
Tails,BurgerKing,Evening,Chen,87,Chen
Heads,MacDonalds,Night,Dev,98,Arpit
Tails,BurgerKing,Morning,Kalpana,81,Chen
Tails,MacDonalds,Evening,Chen,33,Chen
Heads,Starbucks,Midday,Kalpana,79,Arpit
Tails,MacDonalds,Evening,Chen,33,Dev
Heads,BurgerKing,Night,Katia,55,Ayla
Tails,Panera,Midday,John,50,Dev
Heads,Panera,Midday,Katia,14,Arpit
Tails,Panera,Evening,Kalpana,71,Arpit
Heads,Tachos,Night,Kalpana,68,Dev
Heads,Starbucks,Night,John,58,Arpit
Heads,Starbucks,Evening,Katia,63,Katia
Heads,MacDonalds,Evening,Chen,24,Chen
Heads,BurgerKing,Midday,Katia,32,Ayla
Heads,Tachos,Midday,John,9,Arpit
Tails,Tachos,Midday,Kalpana,95,Chen
Heads,MacDonalds,Midday,Dev,94,Ayla
Heads,BurgerKing,Midday,Chen,34,Chen
Tails,MacDonalds,Morning,Kalpana,55,Ayla
Tails,Panera,Morning,Kalpana,62,Ayla
Tails,Tachos,Night,Katia,53,Katia
Heads,MacDonalds,Midday,John,42,Arpit
Heads,Panera,Midday,Dev,3,Chen
Heads,Starbucks,Morning,Dev,74,Dev
Heads,Tachos,Night,Katia,31,Dev
Tails,Panera,Night,John,11,Ayla
Tails,Tachos,Night,Kalpana,66,Katia
Tails,MacDonalds,Midday,Chen,74,Katia
Tails,Starbucks,Night,Dev,39,Ayla
Heads,Panera,Evening,Kalpana,91,Arpit
Heads,Tachos,Midday,Chen,48,Katia
Tails,Panera,Night,Katia,47,Ayla
Heads,BurgerKing,Night,John,22,Arpit
Heads,Tachos,Morning,John,98,Ayla
Heads,MacDonalds,Morning,Kalpana,41,Ayla
Heads,Starbucks,Night,Dev,57,Dev
Tails,Panera,Night,Kalpana,36,Katia
Tails,BurgerKing,Morning,Kalpana,82,Arpit
Heads,Starbucks,Midday,John,3,Katia
Heads,MacDonalds,Evening,Kalpana,34,Ayla
Tails,Tachos,Midday,Katia,41,Dev
Tails,Tachos,Midday,John,12,Katia
Tails,MacDonalds,Midday,Kalpana,84,Katia
Tails,Starbucks,Evening,Dev,20,Chen
Heads,Tachos,Midday,Katia,79,Arpit
Tails,Tachos,Morning,Katia,28,Dev
Heads,Starbucks,Evening,John,82,Katia
Tails,Panera,Evening,John,83,Chen
Tails,Starbucks,Night,Kalpana,34,Chen
Heads,MacDonalds,Evening,Kalpana,30,Ayla
Tails,Starbucks,Evening,Dev,30,Katia
Tails,Starbucks,Midday,Kalpana,83,Dev
Heads,BurgerKing,Midday,Dev,31,Arpit
Heads,Panera,Evening,Chen,29,Arpit
Heads,Tachos,Evening,Chen,78,Arpit
Tails,Starbucks,Night,Katia,50,Arpit
Tails,Panera,Midday,Kalpana,90,Ayla
Tails,Tachos,Midday,Kalpana,60,Arpit
Heads,BurgerKing,Evening,John,19,Chen
Tails,Tachos,Evening,Kalpana,5,Chen
Tails,MacDonalds,Evening,Chen,67,Dev
Heads,BurgerKing,Night,Katia,37,Chen
Heads,Starbucks,Evening,Chen,31,Ayla
Heads,Starbucks,Night,Dev,78,Arpit
Heads,MacDonalds,Midday,Dev,92,Arpit
Tails,Panera,Night,Kalpana,42,Chen
Heads,Panera,Midday,Chen,53,Ayla
Tails,Starbucks,Morning,Kalpana,32,Dev
Tails,Starbucks,Evening,John,3,Katia
Tails,BurgerKing,Morning,John,28,Arpit
Heads,Starbucks,Night,John,100,Ayla
Heads,Panera,Night,Chen,99,Dev
Tails,MacDonalds,Midday,Dev,11,Katia
Heads,MacDonalds,Evening,John,43,Katia
Tails,BurgerKing,Morning,John,76,Dev
Heads,BurgerKing,Evening,Chen,10,Katia
Heads,Tachos,Evening,Kalpana,59,Arpit
Tails,Tachos,Midday,Dev,39,Arpit
Tails,Panera,Evening,Dev,98,Katia
Tails,BurgerKing,Evening,Kalpana,33,Ayla
Heads,MacDonalds,Night,Chen,7,Katia
Heads,Starbucks,Morning,Katia,78,Dev
Heads,BurgerKing,Midday,Katia,14,Arpit
Tails,Panera,Morning,Dev,16,Ayla
Heads,Tachos,Night,Chen,26,Arpit
Tails,Tachos,Morning,John,64,Chen
Heads,Starbucks,Evening,Katia,2,Dev
Tails,Tachos,Morning,Dev,1,Katia
Heads,BurgerKing,Evening,Katia,24,Chen
Heads,MacDonalds,Night,Katia,43,Dev
Tails,Tachos,Evening,John,33,Arpit
Tails,MacDonalds,Midday,Kalpana,95,Ayla
Heads,MacDonalds,Midday,Kalpana,88,Ayla
Tails,Starbucks,Midday,Katia,26,Dev
Tails,Panera,Morning,Chen,93,Chen
Tails,Tachos,Midday,John,46,Katia
Heads,Starbucks,Morning,John,100,Chen
Heads,MacDonalds,Evening,Chen,81,Arpit
Heads,Starbucks,Midday,John,70,Ayla
Heads,MacDonalds,Midday,Chen,62,Katia
Heads,Starbucks,Night,Chen,89,Arpit
Tails,Starbucks,Midday,Kalpana,75,Chen
Heads,Starbucks,Morning,John,86,Ayla
Tails,Panera,Morning,Kalpana,77,Ayla
Tails,Tachos,Evening,John,58,Arpit
Heads,Panera,Night,Katia,70,Arpit
Heads,Panera,Morning,John,17,Arpit
Heads,Starbucks,Morning,Dev,20,Arpit
Tails,MacDonalds,Night,Katia,77,Chen
Heads,Tachos,Evening,Katia,81,Arpit
Heads,Panera,Morning,Kalpana,46,Chen
Heads,Starbucks,Midday,Kalpana,41,Chen
Heads,Starbucks,Evening,Kalpana,17,Dev
Tails,Tachos,Evening,Dev,11,Chen
Tails,MacDonalds,Night,John,38,Chen
Heads,BurgerKing,Midday,John,42,Arpit
Tails,Tachos,Midday,Chen,70,Katia
Tails,Starbucks,Night,Kalpana,34,Katia
Heads,Tachos,Night,John,16,Dev
Heads,Starbucks,Morning,Kalpana,18,Katia
Tails,Starbucks,Night,Chen,82,Katia
Heads,MacDonalds,Evening,Kalpana,33,Ayla
Tails,Starbucks,Evening,John,26,Katia
Heads,Starbucks,Night,Chen,70,Arpit
Heads,Starbucks,Evening,Kalpana,69,Katia
Heads,Starbucks,Evening,Chen,91,Dev
Heads,Panera,Morning,Chen,88,Dev
Heads,BurgerKing,Morning,Kalpana,7,Arpit
Heads,Starbucks,Night,Kalpana,95,Chen
Heads,MacDonalds,Evening,John,48,Katia
Tails,Starbucks,Midday,Chen,32,Ayla
Tails,MacDonalds,Midday,Kalpana,28,Arpit
Tails,BurgerKing,Morning,Kalpana,91,Dev
Tails,Panera,Midday,John,99,Ayla
Tails,Tachos,Night,Kalpana,43,Ayla
Heads,Starbucks,Midday,Chen,2,Chen
Tails,Tachos,Evening,John,1,Katia
Tails,Tachos,Morning,Katia,11,Chen
Heads,Panera,Night,Dev,23,Dev
Tails,Tachos,Midday,Chen,39,Ayla
Tails,MacDonalds,Morning,Kalpana,50,Dev
Tails,BurgerKing,Evening,Kalpana,88,Chen
Tails,Starbucks,Night,John,92,Katia
Heads,Starbucks,Evening,Chen,99,Chen
Tails,Starbucks,Morning,John,24,Dev
Tails,Panera,Night,Kalpana,50,Arpit
Heads,BurgerKing,Morning,Dev,34,Arpit
Heads,Starbucks,Night,Chen,82,Arpit
Tails,MacDonalds,Night,John,88,Katia
Heads,BurgerKing,Morning,Kalpana,51,Dev
Heads,BurgerKing,Morning,Katia,50,Chen
Tails,Panera,Night,Kalpana,58,Chen
Heads,MacDonalds,Morning,Dev,64,Arpit
Tails,Panera,Evening,Chen,20,Dev
Heads,Tachos,Morning,John,3,Arpit
Tails,Tachos,Evening,Kalpana,0,Arpit
Heads,Panera,Midday,John,73,Arpit
Heads,Starbucks,Midday,Kalpana,94,Ayla
Heads,Starbucks,Night,Katia,24,Dev
Heads,BurgerKing,Evening,Kalpana,59,Katia
Heads,BurgerKing,Morning,John,33,Arpit
Tails,Panera,Morning,John,100,Dev
Heads,BurgerKing,Morning,Kalpana,100,Chen
Tails,Panera,Morning,John,51,Chen
Tails,MacDonalds,Midday,Katia,30,Dev
Tails,MacDonalds,Morning,Kalpana,12,Ayla
Tails,Panera,Morning,Chen,64,Katia
Tails,Panera,Night,Kalpana,81,Arpit
Tails,MacDonalds,Morning,Kalpana,83,Katia
Heads,Starbucks,Evening,John,53,Chen
Heads,Panera,Night,Kalpana,41,Dev
Tails,BurgerKing,Night,Kalpana,35,Arpit
Heads,Panera,Evening,Katia,84,Katia
Heads,MacDonalds,Night,Chen,6,Ayla
Tails,BurgerKing,Morning,Dev,89,Ayla
Tails,BurgerKing,Evening,Kalpana,92,Dev
Tails,Tachos,Midday,Dev,90,Katia
Heads,BurgerKing,Morning,Katia,6,Chen
Tails,Tachos,Night,Katia,54,Arpit
Tails,Panera,Night,Kalpana,54,Ayla
Tails,Tachos,Morning,Chen,23,Arpit
Tails,MacDonalds,Night,John,52,Katia
Heads,Panera,Morning,Katia,70,Dev
Tails,BurgerKing,Midday,John,48,Ayla
Heads,Starbucks,Night,Chen,43,Chen
Tails,Panera,Midday,Katia,70,Arpit
Heads,Starbucks,Night,John,6,Ayla
Tails,Tachos,Midday,Kalpana,41,Dev
Tails,MacDonalds,Morning,John,16,Dev
Heads,Tachos,Midday,Chen,84,Chen
Heads,MacDonalds,Midday,Chen,86,Ayla
Heads,Starbucks,Morning,Katia,1,Arpit
Heads,Panera,Night,Dev,11,Dev
Tails,MacDonalds,Evening,Dev,91,Dev
Tails,MacDonalds,Midday,Dev,60,Chen
Tails,Tachos,Night,Chen,75,Chen
Tails,Tachos,Midday,John,60,Dev
Heads,BurgerKing,Night,John,60,Arpit
Heads,Starbucks,Morning,Kalpana,80,Chen
Heads,Panera,Morning,Katia,61,Arpit
Heads,BurgerKing,Midday,Chen,6,Ayla
Tails,Tachos,Night,John,47,Katia
Heads,Panera,Morning,John,56,Dev
Heads,MacDonalds,Night,Dev,13,Arpit
Tails,BurgerKing,Night,Dev,26,Katia
Heads,BurgerKing,Midday,Chen,99,Katia
Heads,Starbucks,Midday,Kalpana,79,Dev
Tails,Panera,Night,John,33,Chen
Heads,Starbucks,Evening,Chen,83,Chen
Tails,BurgerKing,Evening,John,51,Arpit
Tails,MacDonalds,Morning,John,54,Dev
Heads,BurgerKing,Morning,John,90,Arpit
Tails,BurgerKing,Evening,Kalpana,77,Katia
Tails,Panera,Evening,John,57,Dev
Heads,Tachos,Morning,Chen,61,Chen
Heads,BurgerKing,Night,Chen,81,Arpit
Heads,BurgerKing,Morning,Dev,100,Arpit
Tails,BurgerKing,Night,Dev,16,Arpit
Heads,BurgerKing,Morning,Chen,98,Dev
Tails,Panera,Morning,Kalpana,13,Dev
Heads,Starbucks,Midday,Katia,24,Chen
Heads,BurgerKing,Morning,Chen,57,Dev
Tails,Tachos,Night,Kalpana,46,Ayla
Tails,Panera,Night,Kalpana,60,Katia
Heads,MacDonalds,Morning,Chen,56,Ayla
Heads,MacDonalds,Morning,Chen,10,Ayla
Tails,Panera,Morning,Kalpana,81,Katia
Heads,Panera,Midday,Dev,11,Katia
Tails,Tachos,Morning,Katia,40,Dev
Tails,Panera,Midday,Kalpana,9,Dev
Tails,Starbucks,Night,Kalpana,30,Katia
Heads,Starbucks,Midday,Katia,42,Dev
Tails,BurgerKing,Morning,Kalpana,46,Dev
Heads,BurgerKing,Midday,Katia,23,Arpit
Tails,Tachos,Midday,Kalpana,62,Chen
Heads,BurgerKing,Midday,John,69,Ayla
Tails,MacDonalds,Night,Kalpana,79,Ayla
Tails,Starbucks,Morning,John,79,Katia
Heads,Starbucks,Midday,Kalpana,57,Arpit
Heads,Starbucks,Midday,Chen,47,Chen
Heads,MacDonalds,Midday,Katia,58,Arpit
Tails,Tachos,Morning,Kalpana,53,Katia
Tails,Starbucks,Evening,Dev,46,Arpit
Tails,Starbucks,Evening,Dev,35,Chen
Tails,Tachos,Evening,Dev,99,Dev
Heads,Tachos,Night,Dev,91,Ayla
Tails,Tachos,Evening,Katia,69,Dev
Tails,Panera,Midday,John,76,Ayla
Tails,BurgerKing,Night,Dev,88,Chen
Tails,BurgerKing,Morning,Kalpana,80,Ayla
Tails,BurgerKing,Midday,Katia,69,Dev
Heads,BurgerKing,Midday,John,60,Arpit
Tails,Tachos,Night,John,37,Katia
Heads,Tachos,Midday,John,67,Arpit
Tails,Starbucks,Night,Katia,47,Chen
Heads,MacDonalds,Midday,Katia,47,Arpit
Tails,MacDonalds,Midday,Kalpana,15,Chen
Tails,Tachos,Midday,Chen,90,Dev
Tails,Panera,Night,Katia,5,Arpit
Heads,MacDonalds,Evening,Katia,69,Arpit
Heads,BurgerKing,Evening,Chen,1,Ayla
Tails,MacDonalds,Evening,Katia,0,Chen
Tails,Panera,Night,John,41,Katia
Heads,BurgerKing,Midday,Katia,73,Arpit
Tails,Tachos,Evening,Chen,1,Ayla
Heads,Starbucks,Morning,Chen,25,Ayla
Tails,MacDonalds,Midday,Katia,40,Chen
Heads,Panera,Night,John,93,Ayla
Heads,BurgerKing,Morning,Katia,25,Chen
Heads,Starbucks,Night,Dev,88,Arpit
Tails,Panera,Night,Kalpana,82,Katia
Heads,Starbucks,Morning,John,83,Katia
Tails,Panera,Evening,Dev,76,Dev
Tails,Starbucks,Midday,John,24,Dev
Tails,Starbucks,Midday,Dev,22,Ayla
Tails,Starbucks,Morning,Kalpana,40,Dev
Heads,Starbucks,Morning,Chen,29,Chen
Tails,Starbucks,Evening,Katia,49,Arpit
Tails,BurgerKing,Morning,Chen,23,Ayla
Heads,MacDonalds,Midday,John,34,Katia
Heads,MacDonalds,Evening,Chen,51,Arpit
Heads,BurgerKing,Evening,John,88,Chen
Tails,Tachos,Morning,Katia,49,Dev
Heads,BurgerKing,Night,Chen,13,Ayla
Heads,Panera,Midday,Dev,1,Dev
Heads,Panera,Morning,John,10,Dev
Heads,MacDonalds,Night,Dev,5,Ayla
Tails,Tachos,Midday,John,53,Dev
Tails,Tachos,Midday,Dev,33,Katia
Heads,Panera,Midday,Dev,18,Arpit
Heads,Tachos,Evening,Chen,99,Katia
Tails,BurgerKing,Night,Kalpana,3,Arpit
Tails,Tachos,Night,John,72,Katia
Tails,Tachos,Evening,Chen,14,Ayla
Tails,BurgerKing,Midday,Chen,62,Ayla
Heads,BurgerKing,Midday,Katia,65,Katia
Heads,MacDonalds,Evening,Katia,85,Katia
Heads,Panera,Evening,Chen,83,Katia
Tails,MacDonalds,Night,Katia,87,Chen
Heads,Starbucks,Morning,Dev,2,Arpit
Tails,BurgerKing,Morning,Kalpana,58,Katia
Heads,BurgerKing,Morning,Chen,50,Arpit
Heads,Starbucks,Evening,Chen,100,Dev
Tails,Tachos,Midday,Chen,33,Ayla
Tails,BurgerKing,Evening,John,48,Dev
Heads,Starbucks,Night,Kalpana,79,Chen
Heads,Starbucks,Evening,John,98,Arpit
Tails,Tachos,Night,Chen,17,Ayla
Tails,MacDonalds,Midday,Kalpana,66,Chen
Tails,BurgerKing,Night,Kalpana,8,Katia
Heads,Panera,Morning,Dev,4,Katia
Heads,Panera,Night,John,91,Arpit
Tails,MacDonalds,Midday,Dev,73,Dev
Tails,MacDonalds,Evening,Kalpana,78,Arpit
Heads,Starbucks,Night,Kalpana,5,Dev
Heads,Starbucks,Morning,Chen,9,Chen
Tails,Starbucks,Night,Dev,46,Dev
Tails,Tachos,Midday,Katia,41,Dev
Heads,Panera,Evening,John,26,Arpit
Tails,Starbucks,Evening,Chen,22,Katia
Tails,Tachos,Midday,Chen,36,Dev
Heads,Panera,Morning,John,22,Arpit
Heads,BurgerKing,Morning,Katia,55,Ayla
Heads,BurgerKing,Night,John,40,Chen
Heads,Panera,Night,Chen,1,Ayla
Tails,Tachos,Night,Katia,46,Chen
Tails,BurgerKing,Morning,Dev,11,Chen
Tails,MacDonalds,Morning,Katia,6,Dev
Heads,Panera,Midday,Katia,97,Arpit
Tails,Tachos,Morning,Katia,4,Katia
Heads,BurgerKing,Midday,Katia,60,Katia
Tails,Tachos,Night,Chen,64,Chen
Tails,MacDonalds,Night,Katia,98,Dev
Heads,Starbucks,Morning,John,8,Dev
Heads,BurgerKing,Evening,Chen,15,Arpit
Tails,Starbucks,Midday,Katia,13,Katia
Heads,MacDonalds,Midday,Chen,75,Katia
Tails,Starbucks,Evening,Chen,51,Katia
Heads,Tachos,Night,Kalpana,46,Arpit
Heads,MacDonalds,Evening,Chen,38,Chen
Heads,Panera,Morning,John,57,Ayla
Tails,Starbucks,Midday,Katia,46,Arpit
Heads,MacDonalds,Evening,Katia,24,Ayla
Heads,Panera,Midday,Kalpana,83,Arpit
Heads,Starbucks,Midday,Katia,100,Dev
Heads,MacDonalds,Night,Dev,79,Dev
Heads,BurgerKing,Night,Chen,88,Chen
Heads,MacDonalds,Midday,Katia,27,Chen
Tails,Panera,Night,Dev,17,Dev
Tails,Tachos,Midday,Katia,85,Katia
Tails,Panera,Evening,Chen,98,Ayla
Heads,MacDonalds,Midday,Chen,17,Chen
Heads,Panera,Night,Chen,95,Dev
Tails,Panera,Evening,Dev,26,Chen
Heads,Tachos,Night,Chen,24,Dev
Heads,MacDonalds,Morning,Dev,92,Ayla
Heads,MacDonalds,Midday,Katia,96,Chen
Tails,MacDonalds,Morning,Kalpana,30,Dev
Heads,Starbucks,Morning,Dev,3,Ayla
Heads,Panera,Night,Kalpana,13,Chen
Heads,Panera,Midday,Dev,71,Ayla
Tails,BurgerKing,Evening,Chen,81,Ayla
Heads,MacDonalds,Morning,John,79,Chen
Heads,Starbucks,Evening,Dev,1,Katia
Tails,MacDonalds,Night,Chen,14,Ayla
Heads,Starbucks,Morning,Chen,93,Arpit
Tails,Tachos,Evening,Dev,46,Dev
Heads,Tachos,Night,Katia,44,Dev
Heads,MacDonalds,Night,John,49,Arpit
Heads,Panera,Morning,John,38,Arpit
Heads,Tachos,Evening,Katia,91,Ayla
Tails,MacDonalds,Night,Kalpana,19,Arpit
Tails,Starbucks,Midday,Katia,32,Arpit
Tails,Tachos,Night,Dev,48,Arpit
Tails,BurgerKing,Evening,Chen,11,Dev
Heads,MacDonalds,Midday,Kalpana,70,Arpit
Heads,Starbucks,Midday,John,92,Arpit
Heads,MacDonalds,Midday,Dev,22,Chen
Tails,Panera,Morning,Kalpana,87,Katia
Heads,MacDonalds,Morning,Dev,93,Arpit
Tails,MacDonalds,Evening,Kalpana,73,Ayla
Tails,Tachos,Midday,John,29,Chen
Tails,Panera,Midday,Kalpana,23,Katia
Tails,BurgerKing,Morning,Dev,10,Dev
Tails,Tachos,Midday,Katia,48,Dev
Tails,Tachos,Night,Chen,33,Arpit
Heads,MacDonalds,Morning,Chen,21,Arpit
Heads,BurgerKing,Morning,Chen,12,Katia
Tails,Tachos,Evening,John,6,Katia
Tails,MacDonalds,Morning,Chen,61,Chen
Heads,Starbucks,Evening,Chen,81,Chen
Tails,MacDonalds,Evening,Kalpana,14,Ayla
Heads,Starbucks,Night,Katia,4,Dev
Tails,BurgerKing,Night,Chen,30,Ayla
Heads,MacDonalds,Night,Chen,35,Dev
Tails,Panera,Morning,John,73,Katia
Tails,Tachos,Morning,Chen,68,Katia
Heads,BurgerKing,Midday,John,41,Katia
Tails,Tachos,Evening,John,5,Arpit
Heads,Starbucks,Midday,Chen,73,Ayla
Tails,Tachos,Night,John,16,Ayla
Tails,Panera,Morning,John,85,Ayla
Heads,Panera,Midday,Katia,85,Katia
Heads,MacDonalds,Night,Kalpana,4,Ayla
Heads,Tachos,Morning,Katia,92,Arpit
Tails,Starbucks,Midday,John,95,Dev
Tails,Starbucks,Midday,Chen,97,Ayla
Heads,MacDonalds,Evening,Dev,12,Katia
Tails,Tachos,Midday,Kalpana,16,Arpit
Tails,Panera,Midday,Kalpana,53,Arpit
Heads,Tachos,Evening,John,94,Chen
Heads,BurgerKing,Morning,John,57,Arpit
Heads,BurgerKing,Morning,John,17,Chen
Heads,Starbucks,Evening,Chen,38,Katia
Heads,Panera,Evening,Chen,82,Katia
Tails,MacDonalds,Midday,John,57,Ayla
Tails,MacDonalds,Midday,Chen,74,Arpit
